"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","HTR2C","NXPH2","ROR1","LHFPL3","KCNIP1","QRFPR","SPON1","CARD11","PLPPR1","ZNF385D","GRIN3A","FAT1","ADAMTSL3","MMD2","PTGER3","SLC24A3","FGFR1","BCL11B","GRM4","GNA14","COL11A1","MCC","RANBP17","SDK1","TLL1","SORCS2","AFDN","PCP4","TLE4","GRIP1","CDH6","NR4A3","PCDH17","SEMA5B","LUZP2","VWC2L","PHLDB2","SPHKAP","CRYM","SEL1L3","ERC1","ASIC2","HS3ST4","PRR16","PLCE1","ASTN2","GHR","DIP2A","IRAG2","DGKD","TSHZ2","KLHL5","ITGA8","HPSE2","TRMT9B","TMEM132C","ABLIM3","DLC1","ZNF704","SEMA3E","ASAP2","CDH8","UST","FARP1","CDH11","DAB1","NCK2","PAPSS2","SLC24A2","TMTC2","SAMD4A","CLMP","ABLIM1","PDZRN4","CAMK2D","KIAA1217","OSBPL9","ALCAM","CORO6","MEIS2","ADCY2","SATB1","TOX","GRM8","NYAP2","MOB3B","KCNT2","PDE3B","DPP10","TSHZ3","CHN2","RALGPS2","MDGA2","GRM3","SLC1A2","OLFM3","SPOCK1","TRHDE","NLGN1","CAP2","EPHA7","MYRIP","DIP2B","DOCK4","GRIK3","XKR6","KIAA1671","BMPER","LRRTM3","LRP1B","CDH13","ZNF385B","PLXNA4","TMEM232","PARD3","ST8SIA1","CNTN4","SLC35F1","SH3RF3","EPHA5","ST6GAL2","GARNL3","NKAIN2","NELL1","FAM135B","GALNT14","CSMD2","AUTS2","STARD13","GPR158","CHSY3","SNTG1","CNTNAP2","CLSTN2","GRIA4","SGCZ","DCC"
"GO:MF","glutamate receptor activity","GO:0008066","true","0.000009203492147331299","5.036047353899174","27","131","6","20212",,,,,,,,,,,"IDA,ISS,IBA,IEA",,,,,,,,"IMP,IBA,IEA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IMP,IBA,IEA",,,,,,,,,,"IBA,TAS,IEA",,,,,,,,,,,"IDA,ISS,IBA,TAS,IEA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IDA,ISS,IBA,IEA",,
"GO:MF","adenylate cyclase inhibiting G protein-coupled glutamate receptor activity","GO:0001640","false","0.0001089887547707692","3.962618309334065","9","131","4","20212",,,,,,,,,,,,,,,,,,,"IBA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IBA",,,,,,,,,,"IBA,IEA",,,,,,,,,,,"IDA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GO:MF","G protein-coupled glutamate receptor activity","GO:0098988","false","0.0001089887547707692","3.962618309334065","9","131","4","20212",,,,,,,,,,,,,,,,,,,"IBA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IBA",,,,,,,,,,"IBA,IEA",,,,,,,,,,,"IDA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GO:MF","calcium ion binding","GO:0005509","true","0.039010143884120524","1.4088224478434421","726","131","15","20212",,,,,"IDA,IBA,IEA",,,,,,,"IEA",,,,,,,,,,"IEA",,,"IEA",,,"IDA,IBA",,,"IBA,IEA",,"IEA",,,,,,,,,,,,,"IDA",,,,,,,,,,,,,,,,"IBA,IEA",,,"IBA,IEA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IDA,IEA",,,,,,,,,,,,,"IEA","IBA,IEA",,,,,,,,,,,,,"IEA",,,,,,,,,,"IEA",,,
"GO:BP","system development","GO:0048731","true","2.808648574931576e-8","7.551502597400715","3973","130","58","21031",,,"IBA,IEA",,,,,,"ISS",,"ISS,IEA","IEA",,"IDA",,,"IMP,TAS,IEA","IEA",,,"IEA",,,"ISS,IEA","TAS",,,"IMP",,"ISS",,,"IEA","IBA,IEA",,"IEA",,,,,,"TAS,IEA",,,"IMP","IBA,IEA","IEA","ISS,IEA",,,,,"IMP,IEA",,,,,"ISS",,"IDA,ISS,IBA,IEA",,,"IEA","ISS,IEA","ISS,TAS,IEA","IBA,IEA","IEA","IEA",,,,"IMP",,,,"ISS",,"ISS,IEA",,"IBA,IEA",,,"ISS,IEA",,"ISS,IBA,IEA",,,"IMP,IEA",,,,,"ISS,IBA",,"IEA","IEA","IDA,ISS,NAS",,"IDA,IMP,IGI,ISS,IBA,TAS,NAS,IEA",,"ISS,IBA,IEA",,"ISS,IEA",,,,,"IDA,IGI,IBA,IEA","IDA,IMP,IEA",,"IDA,IBA",,"ISS,IBA,IEA",,"ISS,TAS",,"IMP,ISS,IBA,TAS,IEA",,,"IEP,ISS,IBA,IEA",,,,"TAS",,,,"ISS","IMP,IGI","ISS,IEA",,,"IEP,ISS,TAS,NAS","IBA,IEA",,"IBA","IBA,TAS,IEA"
"GO:BP","nervous system development","GO:0007399","false","2.9015199178896822e-8","7.537374443813947","2531","130","45","21031",,,"IBA,IEA",,,,,,"ISS",,"ISS,IEA",,,"IDA",,,"IMP,TAS,IEA","IEA",,,,,,"ISS,IEA",,,,"IMP",,"ISS",,,"IEA","IBA,IEA",,"IEA",,,,,,"TAS,IEA",,,,"IBA,IEA",,"ISS,IEA",,,,,"IEA",,,,,"ISS",,"IDA,IBA,IEA",,,"IEA","ISS,IEA","IEA","IBA,IEA","IEA",,,,,,,,,,,"ISS,IEA",,"IBA",,,"ISS,IEA",,"ISS,IBA,IEA",,,,,,,,"ISS,IBA",,"IEA","IEA","IDA,ISS,NAS",,"IDA,IMP,IGI,ISS,IBA,TAS,NAS,IEA",,"ISS,IBA,IEA",,"ISS,IEA",,,,,,"IDA,IMP,IEA",,,,"ISS,IBA,IEA",,"ISS,TAS",,"IMP,ISS,IBA,TAS,IEA",,,"IEP,ISS,IBA,IEA",,,,"TAS",,,,"ISS",,"ISS,IEA",,,"IEP,ISS,TAS,NAS","IBA,IEA",,,"IBA,TAS,IEA"
"GO:BP","neuron projection development","GO:0031175","false","3.279907085317473e-8","7.484138459003401","1014","130","28","21031",,,"IBA",,,,,,,,"ISS,IEA",,,,,,"IEA","IEA",,,,,,"IEA",,,,,,"ISS",,,,"IBA,IEA",,,,,,,,,,,,,,"ISS",,,,,,,,,,,,"IBA",,,"IEA","ISS,IEA","IEA","IEA","IEA",,,,,,,,,,,"ISS,IEA",,,,,"ISS,IEA",,"ISS,IBA,IEA",,,,,,,,,,,,"IDA",,"IDA,IGI,ISS,NAS,IEA",,"IBA,IEA",,"ISS,IEA",,,,,,,,,,"ISS,IBA,IEA",,"TAS",,"ISS,IBA,TAS,IEA",,,"ISS,IBA",,,,,,,,"ISS",,,,,"ISS",,,,"IBA,TAS,IEA"
"GO:BP","generation of neurons","GO:0048699","false","4.350770729772797e-8","7.361433801887244","1514","130","34","21031",,,"IBA",,,,,,,,"ISS,IEA",,,"IDA",,,"IMP,TAS,IEA","IEA",,,,,,"IEA",,,,"IMP",,"ISS",,,,"IBA,IEA",,"IEA",,,,,,,,,,"IBA,IEA",,"ISS",,,,,,,,,,,,"IDA,IBA",,,"IEA","ISS,IEA","IEA","IBA,IEA","IEA",,,,,,,,,,,"ISS,IEA",,,,,"ISS,IEA",,"ISS,IBA,IEA",,,,,,,,"ISS",,,"IEA","IDA,ISS",,"IDA,IGI,ISS,NAS,IEA",,"IBA,IEA",,"ISS,IEA",,,,,,,,,,"ISS,IBA,IEA",,"TAS",,"IMP,ISS,IBA,TAS,IEA",,,"IEP,ISS,IBA",,,,,,,,"ISS",,,,,"ISS,NAS",,,,"IBA,TAS,IEA"
"GO:BP","neuron differentiation","GO:0030182","false","4.579364677338928e-8","7.339194770088896","1431","130","33","21031",,,"IBA",,,,,,,,"ISS,IEA",,,"IDA",,,"IMP,IEA","IEA",,,,,,"IEA",,,,"IMP",,"ISS",,,,"IBA,IEA",,"IEA",,,,,,,,,,,,"ISS",,,,,,,,,,,,"IDA,IBA",,,"IEA","ISS,IEA","IEA","IEA","IEA",,,,,,,,,,,"ISS,IEA",,,,,"ISS,IEA",,"ISS,IBA,IEA",,,,,,,,"ISS",,,"IEA","IDA,ISS",,"IDA,IGI,ISS,NAS,IEA",,"IBA,IEA",,"ISS,IEA",,,,,,,,,,"ISS,IBA,IEA",,"TAS",,"IMP,ISS,IBA,TAS,IEA",,,"IEP,ISS,IBA",,,,,,,,"ISS",,,,,"ISS,NAS",,,,"IBA,TAS,IEA"
"GO:BP","cell morphogenesis","GO:0000902","false","9.692645420779171e-8","7.013557674461255","986","130","27","21031",,,,,,,,,,,,"IEA",,,,,,"IEA",,,,,,,,,,,,"ISS","IBA",,,"IBA,IEA",,,,,,,,,,,,,,"ISS",,,,,,,,,,"IMP",,"IBA,IEA",,"IBA","IEA","ISS,IEA","IBA,IEA","IEA",,,,,,,,,,,,"ISS,IEA",,,,,,,"ISS,IBA,IEA",,,,,,,,,,,,,,"IGI,ISS,NAS,IEA","IBA","IBA,IEA",,"ISS,IEA",,,,,,,,"IBA",,"ISS,IBA,IEA",,"TAS",,"IBA,TAS,IEA",,,"ISS,IBA",,,,,,,,"ISS",,,,,"ISS",,,,"IBA,TAS,IEA"
