"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","COL5A2","GRIK1","GLIS3","CUX2","NTNG1","CNTNAP2","MAGI2","PTPRM","CA10","RIT2","HDAC9","TAFA5","TMEM132C","CACNA2D3","ADCY8","ARL15","MAST4","ATRNL1","FMN1","ARHGAP26","RFX3","AUTS2","GRM7","LIMCH1","PLCB1","TMEM132D","NR3C2","SLC44A5","FRMD5","TAFA1","GRIA3","ST6GALNAC5","SGCD","RHBDL3","SCHIP1","PTPRK","NPAS3","SNTG1","FAT3","OXR1","SLC35F3","KLF12","KCNB2","SLC38A11","LHFPL6","KIRREL3","UNC5D","CADPS2","HS6ST3","GPC6","MYRIP","EPHA6","ROBO1","GRM8","PRKG1","LRRTM4","LSAMP","DCC","RORB","ROBO2"
"GO:MF","glutamate receptor activity","GO:0008066","true","0.0004751041047023056","3.323211217440486","27","57","4","20212",,"IDA,IBA,TAS,IEA",,,,,,,,,,,,,,,,,,,,,"IDA,IBA,IEA",,,,,,,,"IDA,IBA,IEA",,,,,,,,,,,,,,,,,,,,,,,"IMP,IBA,IEA",,,,,,
"GO:MF","group III metabotropic glutamate receptor activity","GO:0001642","true","0.003906931486903805","2.408164204623823","2","57","2","20212",,,,,,,,,,,,,,,,,,,,,,,"IDA,IBA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IBA",,,,,,
"GO:MF","signaling receptor activity","GO:0038023","true","0.025106012587718503","1.6002222577634388","1491","57","14","20212",,"IDA,IBA,TAS,IEA",,,,,,"IDA",,,,,,,,,,,,,,,"IDA,IBA,IEA",,,,"IBA,TAS",,,,"IDA,IBA,IEA",,,,,"NAS",,,,,,,,,,,"IBA,IEA",,,"NAS",,"IBA,IEA","IDA,IEA","IMP,IBA,IEA",,,,"TAS","IBA,TAS,IEA","ISS,NAS"
"GO:MF","molecular transducer activity","GO:0060089","false","0.025106012587718503","1.6002222577634388","1491","57","14","20212",,"IDA,IBA,TAS,IEA",,,,,,"IDA",,,,,,,,,,,,,,,"IDA,IBA,IEA",,,,"IBA,TAS",,,,"IDA,IBA,IEA",,,,,"NAS",,,,,,,,,,,"IBA,IEA",,,"NAS",,"IBA,IEA","IDA,IEA","IMP,IBA,IEA",,,,"TAS","IBA,TAS,IEA","ISS,NAS"
"GO:BP","neuron development","GO:0048666","true","0.000015336767787396585","4.814266157988431","1167","57","17","21031",,,,"ISS,IEA","ISS,IEA","ISS,NAS","ISS","IDA,IMP",,"IGI,ISS,IBA,IEA",,,,,,,,,,,,"ISS","IMP",,,,,,,,,,,,,,,,"IEA",,,,,,,"IEA","IBA,IEA",,,,,"IBA","IDA,ISS,IEA",,"IEA",,,"IBA,TAS,IEA","ISS,IEA","IDA,ISS,IEA"
"GO:BP","neuron projection development","GO:0031175","false","0.000015447188984871134","4.811150540150543","1014","57","16","21031",,,,"ISS,IEA","ISS,IEA","ISS","ISS","IDA,IMP",,"IGI,ISS,IBA,IEA",,,,,,,,,,,,"ISS","IMP",,,,,,,,,,,,,,,,"IEA",,,,,,,"IEA","IBA,IEA",,,,,"IBA","IDA,ISS,IEA",,"IEA",,,"IBA,TAS,IEA",,"IDA,ISS,IEA"
"GO:BP","generation of neurons","GO:0048699","false","0.000017839735566670287","4.748611587335851","1514","57","19","21031",,,,"ISS,IEA","ISS,IEA","ISS,NAS","ISS","IDA,IMP",,"IGI,ISS,IBA,IEA","IEA",,,,,,,,,,,"ISS","IMP",,,,,,,"ISS,IBA,IEA",,,,,,,,,"IEA",,,,,,,"IEA","IBA,IEA",,,,,"IBA","IDA,ISS,IEA",,"IEA",,,"IBA,TAS,IEA","ISS,IEA","IDA,ISS,IEA"
"GO:BP","nervous system development","GO:0007399","false","0.000024157831982497953","4.6169420435726805","2531","57","24","21031",,"TAS",,"ISS,IEA","ISS,IEA","IEP,ISS,TAS,NAS","ISS,IEA","IDA,IMP","NAS","IGI,ISS,IBA,IEA","IEA",,,,,,,,,"NAS",,"ISS","IMP",,"ISS,IEA",,,,,"ISS,IBA,IEA",,,,,,,,,"IEA",,,,,,,"ISS,IBA,IEA","IBA,IEA",,,,,"IBA","IDA,ISS,TAS,IEA",,"IEA",,"TAS","IBA,TAS,IEA","ISS,IEA","IDA,IEP,ISS,NAS,IEA"
"GO:BP","negative regulation of locomotion","GO:0040013","true","0.00004781610398976315","4.320425812676064","336","57","10","21031",,,,,,,"ISS","IMP",,,,"IEA",,,,,,,,,,,,"IMP","ISS,IEA",,,,"IMP",,,,,,,"IDA",,,,,,,,,,,,,,,,,"IDA,IMP",,"IDA,IEA",,,,,"IDA"
"GO:BP","neuron differentiation","GO:0030182","false","0.0000482540193567955","4.316466505910341","1431","57","18","21031",,,,"ISS,IEA","ISS,IEA","ISS,NAS","ISS","IDA,IMP",,"IGI,ISS,IBA,IEA","IEA",,,,,,,,,,,"ISS","IMP",,,,,,,,,,,,,,,,"IEA",,,,,,,"IEA","IBA,IEA",,,,,"IBA","IDA,ISS,IEA",,"IEA",,,"IBA,TAS,IEA","ISS,IEA","IDA,ISS,IEA"
"GO:BP","system development","GO:0048731","false","0.00012066149383423925","3.9184313022588735","3973","57","29","21031","IMP,IEA","TAS",,"ISS,IEA","ISS,IEA","IEP,ISS,TAS,NAS","ISS,IEA","IDA,IMP","NAS","IGI,ISS,IBA,IEA","IMP,ISS,IEA","IEA",,,,,,,"IEA","NAS","ISS,IEA","ISS","IMP",,"ISS,IEA",,,,,"ISS,IBA,IEA",,,"IBA,IEA",,,,,,"IEA",,,,,,,"ISS,IBA,IEA","IBA,IEA",,,,,"IBA","IDA,IMP,ISS,TAS,IEA",,"IEA",,"TAS","IBA,TAS,IEA","ISS,IEA","IDA,IMP,IEP,ISS,NAS,IEA"
"GO:BP","neurogenesis","GO:0022008","false","0.0001711537188586789","3.766613659995244","1742","57","19","21031",,,,"ISS,IEA","ISS,IEA","ISS,NAS","ISS","IDA,IMP",,"IGI,ISS,IBA,IEA","IEA",,,,,,,,,,,"ISS","IMP",,,,,,,"ISS,IBA,IEA",,,,,,,,,"IEA",,,,,,,"IEA","IBA,IEA",,,,,"IBA","IDA,ISS,IEA",,"IEA",,,"IBA,TAS,IEA","ISS,IEA","IDA,ISS,IEA"
"GO:BP","negative regulation of cell motility","GO:2000146","false","0.00025037486787025855","3.6014092668875146","301","57","9","21031",,,,,,,"ISS","IMP",,,,"IEA",,,,,,,,,,,,"IMP","ISS,IEA",,,,"IMP",,,,,,,"IDA",,,,,,,,,,,,,,,,,"IMP",,"IDA,IEA",,,,,
"GO:BP","neuron projection morphogenesis","GO:0048812","false","0.0003357281162893754","3.474012286282506","655","57","12","21031",,,,"ISS,IEA","ISS,IEA","ISS",,"IDA",,,,,,,,,,,,,,"ISS",,,,,,,,,,,,,,,,,,,,,,,,"IEA","IBA,IEA",,,,,"IBA","IDA,ISS,IEA",,"IEA",,,"IBA,TAS,IEA",,"IDA,ISS,IEA"
"GO:BP","plasma membrane bounded cell projection morphogenesis","GO:0120039","false","0.0004353006971302491","3.3612106373232407","671","57","12","21031",,,,"ISS,IEA","ISS,IEA","ISS",,"IDA",,,,,,,,,,,,,,"ISS",,,,,,,,,,,,,,,,,,,,,,,,"IEA","IBA,IEA",,,,,"IBA","IDA,ISS,IEA",,"IEA",,,"IBA,TAS,IEA",,"IDA,ISS,IEA"
"GO:BP","cell projection morphogenesis","GO:0048858","false","0.00047142620837508357","3.3265862770592896","676","57","12","21031",,,,"ISS,IEA","ISS,IEA","ISS",,"IDA",,,,,,,,,,,,,,"ISS",,,,,,,,,,,,,,,,,,,,,,,,"IEA","IBA,IEA",,,,,"IBA","IDA,ISS,IEA",,"IEA",,,"IBA,TAS,IEA",,"IDA,ISS,IEA"
"GO:BP","glutamate receptor signaling pathway","GO:0007215","true","0.0005362024455672892","3.27067120957366","50","57","5","21031",,"TAS,IEA",,,,,,,,,,,,,,,,,,,,,"IDA,IBA",,"ISS,IEA",,,,,,"TAS,IEA",,,,,,,,,,,,,,,,,,,,,,,"IMP,IBA",,,,,,
"GO:BP","cell migration","GO:0016477","false","0.0005752030614785259","3.240178811116669","1496","57","17","21031",,,,,"ISS,IEA",,"ISS","IMP",,,"IMP","IEA",,,,,,,,,,"ISS",,"IMP","ISS,IEA",,,,"IMP",,,,,,,"IDA,IMP",,,"IEA",,,,,,,"IEA","IEA",,,"IDA,IBA",,,"IDA,IMP",,"IDA,IEA",,,"IBA,IEA",,
"GO:BP","cell motility","GO:0048870","false","0.0007124357931047235","3.147254269504446","1709","57","18","21031",,,,,"ISS,IEA",,"ISS","IMP",,,"IMP","IEA",,,,,,,,,"ISS,IEA","ISS",,"IMP","ISS,IEA",,,,"IMP",,,,,,,"IDA,IMP",,,"IEA",,,,,,,"IEA","IEA",,,"IDA,IBA",,,"IDA,IMP",,"IDA,IEA",,,"IBA,IEA",,
