"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","TSHZ2","GABRG1","ST8SIA4","VWC2L","FGF10","TOX","IL1RAPL2","ALCAM","PTK7","INPP4B","FOXP2","ATP10A","RORB","TSHZ3","DCC","RARB","PTCHD4","PLCXD3","RORA","GLDN","POU6F2","ZMAT4","FSTL5","SLC38A11","KCNAB1","KIF16B","PAPSS2","KCNH5","SLC35F1","SLC44A5","SATB1","TAFA2","CTNNA2","LSAMP","TRHDE","KHDRBS2","EPHA5","HS3ST4","PDZRN4","SLIT1","CNTN5","GABRG3","SPOCK1","PDZRN3","FSTL4"
"GO:BP","nervous system development","GO:0007399","true","0.000006708232252225233","5.17339190967452","2531","43","21","21031",,,"TAS","IEA","ISS,IEA","ISS,IEA","IDA,IMP,TAS","ISS,IEA","IMP,IEA",,"IMP,IEP",,"ISS,IEA",,"IBA,TAS,IEA","IEA",,,"ISS,IEA","IEA","TAS",,,,,,,,,,,,"IMP,ISS","TAS",,,"IEP,ISS,IBA,IEA",,,"IDA,IMP,ISS,IBA,NAS,IEA","IBA,IEA",,"IDA,ISS,NAS",,"IEA"
"GO:BP","central nervous system development","GO:0007417","false","0.00016980578264571037","3.770047524172392","1035","43","13","21031",,,,,"IEA","ISS,IEA","TAS",,,,"IMP,IEP",,,,"IEA","IEA",,,"ISS,IEA",,"TAS",,,,,,,,,,,,"ISS",,,,"ISS",,,"NAS,IEA","IBA",,"ISS",,
"GO:BP","neurogenesis","GO:0022008","false","0.00028061414942666824","3.551890434294843","1742","43","16","21031",,,,"IEA","ISS,IEA","ISS,IEA",,"ISS,IEA","IMP,IEA",,,,"ISS,IEA",,"IBA,TAS,IEA","IEA",,,"IEA","IEA",,,,,,,,,,,,,"IMP,ISS",,,,"IEP,ISS,IBA",,,"IDA,IMP,IBA,IEA","IBA",,"IDA,ISS",,"IEA"
"GO:BP","neuron differentiation","GO:0030182","false","0.0010304616348225325","2.986968172827064","1431","43","14","21031",,,,"IEA",,"ISS,IEA",,"ISS,IEA","IMP,IEA",,,,"ISS,IEA",,"IBA,TAS,IEA",,,,"IEA","IEA",,,,,,,,,,,,,"IMP,ISS",,,,"IEP,ISS,IBA",,,"IDA,IMP,IBA,IEA","IBA",,"IDA,ISS",,"IEA"
"GO:BP","generation of neurons","GO:0048699","false","0.002033310571865491","2.6917962812999834","1514","43","14","21031",,,,"IEA",,"ISS,IEA",,"ISS,IEA","IMP,IEA",,,,"ISS,IEA",,"IBA,TAS,IEA",,,,"IEA","IEA",,,,,,,,,,,,,"IMP,ISS",,,,"IEP,ISS,IBA",,,"IDA,IMP,IBA,IEA","IBA",,"IDA,ISS",,"IEA"
"GO:BP","system development","GO:0048731","false","0.003801730402039486","2.420018684171785","3973","43","22","21031",,,"TAS","IEA","IDA,IMP,IEP,ISS,IBA,IEA","ISS,IEA","IDA,IMP,TAS","ISS,IEA","IMP,IEA",,"IMP,IEP",,"ISS,IEA",,"IBA,TAS,IEA","IMP,IEA",,,"IMP,ISS,IEA","IEA","TAS",,,,,,"IEA",,,,,,"IMP,ISS","TAS",,,"IEP,ISS,IBA,IEA",,,"IDA,IMP,ISS,IBA,NAS,IEA","IBA,IEA",,"IDA,ISS,NAS",,"IEA"
"GO:BP","neuron development","GO:0048666","false","0.004970963995696607","2.3035593824105716","1167","43","12","21031",,,,,,"ISS,IEA",,"ISS,IEA","IMP,IEA",,,,"ISS,IEA",,"IBA,TAS,IEA",,,,,"IEA",,,,,,,,,,,,,"IMP,ISS",,,,"IEP,ISS,IBA",,,"IDA,IMP,IBA,IEA","IBA",,"IDA",,"IEA"
"GO:BP","axonogenesis","GO:0007409","false","0.00803195440368753","2.0951787656227494","466","43","8","21031",,,,,,,,"ISS,IEA","IEA",,,,,,"IBA,TAS,IEA",,,,,,,,,,,,,,,,,,"ISS",,,,"ISS,IBA",,,"IDA,IMP,IBA,IEA","IBA",,,,"IEA"
"GO:BP","multicellular organism development","GO:0007275","false","0.013505739083429539","1.8694816446440714","4643","43","23","21031",,,"TAS","IEA","IDA,IMP,IEP,ISS,IBA,IEA","ISS,IEA","IDA,IMP,TAS","ISS,IEA","IMP,IEA",,"IMP,IEP",,"ISS,IEA",,"IBA,TAS,IEA","IMP,IEA",,,"IMP,ISS,IEA","IEA","TAS",,,,,"ISS","IEA",,,,,,"IMP,ISS","TAS",,,"IEP,ISS,IBA,IEA",,,"IDA,IMP,ISS,IBA,NAS,IEA","IBA,IEA",,"IDA,ISS,NAS",,"IEA"
"GO:BP","axon development","GO:0061564","false","0.019751393917839994","1.70440224943174","527","43","8","21031",,,,,,,,"ISS,IEA","IEA",,,,,,"IBA,TAS,IEA",,,,,,,,,,,,,,,,,,"ISS",,,,"ISS,IBA",,,"IDA,IMP,IBA,IEA","IBA",,,,"IEA"
"GO:BP","developmental growth involved in morphogenesis","GO:0060560","true","0.02141295911252557","1.669323312274005","248","43","6","21031",,,,,"IDA,IEA",,,"ISS","IEA",,,,,,"TAS",,,,,,,,,,,,,,,,,,,,,,,,,"IDA,IEA",,,,,"IEA"
"GO:BP","axon guidance","GO:0007411","false","0.02190850836632803","1.6593871902314064","249","43","6","21031",,,,,,,,"ISS,IEA","IEA",,,,,,"IBA,IEA",,,,,,,,,,,,,,,,,,,,,,"ISS,IBA",,,"IDA,IMP,IBA,IEA","IBA",,,,
"GO:BP","neuron projection guidance","GO:0097485","false","0.02190850836632803","1.6593871902314064","249","43","6","21031",,,,,,,,"ISS,IEA","IEA",,,,,,"IBA,IEA",,,,,,,,,,,,,,,,,,,,,,"ISS,IBA",,,"IDA,IMP,IBA,IEA","IBA",,,,
"GO:BP","dorsal/ventral axon guidance","GO:0033563","false","0.024468364443676754","1.6113950595336002","3","43","2","21031",,,,,,,,,,,,,,,"IEA",,,,,,,,,,,,,,,,,,,,,,,,,"IEA",,,,,
"GO:BP","brain development","GO:0007420","false","0.029059096211698516","1.5367178971397164","736","43","9","21031",,,,,"IEA","ISS,IEA",,,,,"IMP,IEP",,,,,"IEA",,,"ISS,IEA",,,,,,,,,,,,,,"ISS",,,,"ISS",,,"NAS,IEA","IBA",,,,
"GO:BP","cell morphogenesis involved in neuron differentiation","GO:0048667","false","0.04853435683277323","1.3139507211820924","597","43","8","21031",,,,,,,,"ISS,IEA","IEA",,,,,,"IBA,TAS,IEA",,,,,,,,,,,,,,,,,,"ISS",,,,"ISS,IBA",,,"IDA,IMP,IBA,IEA","IBA",,,,"IEA"
"GO:BP","head development","GO:0060322","false","0.049387599899899964","1.306382078830489","787","43","9","21031",,,,,"IEA","ISS,IEA",,,,,"IMP,IEP",,,,,"IEA",,,"ISS,IEA",,,,,,,,,,,,,,"ISS",,,,"ISS",,,"NAS,IEA","IBA",,,,
"GO:CC","axon","GO:0030424","true","0.00011732493476859099","3.930609678578488","656","44","10","22097",,,,,,,,"ISS,IEA","IBA",,,,,"IEA","IBA,IEA",,,,,"IEA",,,,,"IBA",,,,,,,,"ISS,IEA",,,,"ISS,IEA",,,,"IBA",,"ISS",,
"GO:CC","neuron projection","GO:0043005","false","0.0018309043779047183","2.7373343368740266","1334","44","12","22097",,"IBA",,,,,,"ISS,IEA","IBA",,,,,"IEA","IBA,IEA",,,,,"IEA",,,,,"IBA",,,,,,,,"ISS,IEA",,,,"IDA,ISS,IBA,IEA",,,,"IBA","IBA","ISS",,
"REAC","Nuclear Receptor transcription pathway","REAC:R-HSA-383280","false","0.029134637570953505","1.5355903800764565","41","24","3","10842",,,,,,,,,,,,,"REAC",,,"REAC",,,"REAC",,,,,,,,,,,,,,,,,,,,,,,,,,
