"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","NFIA","THEMIS","HS3ST5","GRIK4","GRIK3","MCTP1","LRP1B","PRKD1","CNTN6","LARGE1","CNTN4","GALNT14","SLC39A11","GBE1","SOX5","RUNX1T1","DPP10","MYO1D","TMEFF2","PDGFC","IGSF21","ITGA8","HS3ST2","AK5","SLC16A10","SORCS1","CTNNA2","ADAMTS3","EFNA5","CCK","SLC35F3","GPM6A","NCAM2","NOS1AP","OPCML","SNTB2","ARHGEF28","DCLK2","NETO1","CLSTN2","PCDH9","SLIT3","GRIA1","PEX5L","GAP43","RXFP1","DMD","CAMK1D","GRM8","KAZN","FMNL2","PDE4D","CDH12","CHN2","GAB2","ZNF804A","SLC35F1","ZEB2","PTK2","TENM3","PTPRK","KCNT2","SYN2","DGKG","COBL","RAP1GAP2","SLIT1","MBOAT2","UNC5C","NRG1","PLXNA4","PLXDC2","BRINP3","TENM4","KCTD16","XYLT1","SPOCK1","INPP4B","ST6GAL2","NELL1","SGCZ","RALYL","DOK6","NKAIN2","TMEM132D","CADPS","ATRNL1","ROBO1","SHISA9","BMPER","KCNQ3","SLC24A2","CACNA2D3","CDH9","ASTN2","CDH13","PTPRG","RPS6KA2","GABRG3","LSAMP","POU6F2","PDZRN4","GRID2","ROBO2","PDZD2"
"GO:MF","glutamate receptor activity","GO:0008066","true","0.00014093642381937926","3.850976752671406","27","101","5","20212",,,,"IBA,TAS,IEA","IDA,ISS,IBA,TAS,IEA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IDA,IBA,TAS,IEA",,,,,,"IMP,IBA,IEA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IBA,TAS,IEA",,
"GO:MF","glutamate-gated receptor activity","GO:0004970","false","0.00145195666787715","2.838046344505522","19","101","4","20212",,,,"IBA,TAS,IEA","IDA,ISS,IBA,IEA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IDA,IBA,IEA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IEA",,
"GO:MF","cell adhesion molecule binding","GO:0050839","true","0.0029858709399821696","2.5249289679656157","561","101","13","20212",,,,,,,,,"IBA",,"IBA",,,,,,,,,,,"IBA",,,,,"HDA,IEA",,,,,,,,,,,,,,,,,,,,"IEA",,,,"HDA",,"IBA",,,,,,"IPI","IBA",,,,,,,,,,"IDA",,,,"IBA",,,,,,,,,,,,,,,,,,,,"IBA",,"IDA,IBA",,,,,,,,,
"GO:MF","transmitter-gated monoatomic ion channel activity involved in regulation of postsynaptic membrane potential","GO:1904315","false","0.005436260859119651","2.264699711807448","55","101","5","20212",,,,"IBA","IBA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IBA,IEA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IEA",,,,"IBA",,
"GO:MF","neurotransmitter receptor activity involved in regulation of postsynaptic membrane potential","GO:0099529","false","0.0064916778657076145","2.1876430391564483","57","101","5","20212",,,,"IBA","IBA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IBA,IEA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IEA",,,,"IBA",,
"GO:MF","transmitter-gated channel activity","GO:0022835","false","0.009078914408259845","2.041966078206726","61","101","5","20212",,,,"IBA,TAS,IEA","IDA,ISS,IBA,IEA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IDA,IBA,IEA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IBA,IEA",,,,"IBA,IEA",,
"GO:MF","transmitter-gated monoatomic ion channel activity","GO:0022824","false","0.009078914408259845","2.041966078206726","61","101","5","20212",,,,"IBA,TAS,IEA","IDA,ISS,IBA,IEA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IDA,IBA,IEA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IBA,IEA",,,,"IBA,IEA",,
"GO:MF","postsynaptic neurotransmitter receptor activity","GO:0098960","false","0.020444690106454298","1.689419467945393","72","101","5","20212",,,,"IBA","IBA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IBA,IEA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IEA",,,,"IBA",,
"GO:MF","extracellular ligand-gated monoatomic ion channel activity","GO:0005230","false","0.023353339328645882","1.6316510102450903","74","101","5","20212",,,,"IBA,TAS,IEA","IDA,ISS,IBA,IEA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IDA,IBA,IEA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IBA,IEA",,,,"IBA,IEA",,
"GO:MF","ligand-gated monoatomic ion channel activity involved in regulation of presynaptic membrane potential","GO:0099507","true","0.043709266109749","1.3594264853694655","16","101","3","20212",,,,"IDA,IMP,NAS","IEA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IDA,IMP,NAS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
