"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","OLFML2B","KLHL1","NTNG2","MCTP2","SNTB1","LRMDA","SFMBT2","CACHD1","POSTN","STK32B","B3GAT2","ABCC3","GNB4","HPSE2","SULF1","NR4A2","SYNPR","LAMA4","CTNNA3","PLD5","RAB31","ZNF804B","BMP6","CRTAC1","GALNT14","SPOCK3","GNAO1","RGS12","ADRA1B","ZNF804A","THEMIS","AFF2","CPNE5","STPG2","SOX5","KCNMB2","TLL1","ADAMTS19","SORBS2","PTPRU","CUX1","GSG1L","ANKRD13A","MGAT5","ERC2","GBE1","SAMD5","TRPC4","CHN2","GNG2","GRIP1","LRIG1","GFRA1","CADPS","TENM3","KCTD16","UNC5C","CYTH1","CHST11","GPD2","TESC","SCD5","GPC5","PDZRN4","NWD2","KLF7","AK5","ABCC8","AKAP13","TEX2","TRPC5","GRIK2","SPOCK1","ATP8B1","FRAS1","ATP10A","EPB41L4A","TRHDE","TMEM163","CDH12","TMTC2","PPP1R12B","FHOD3","TENM4","MMP16","SGCZ","CACNA1E","SETBP1","PHACTR3","CLSTN2","CNTN6","GAB1","DSCAML1","DIP2A","SASH1","ENOX1","HS3ST4","KANSL1L","PACRG","KIF13A","SH3GL3","CSGALNACT1","SYBU","CNTN4","PCDH9","NBEA","TRPS1","CTDSPL","CADPS2","USP43","DYSF","STXBP5","ST8SIA5","ARMC2","PRICKLE2","GALNT2","RETREG1","LSAMP","CTNNAL1","PPP6R2","SLIT1","GAB2","TMEM132D","MPP7","CARMIL1","LRFN2","SSBP2","INPP4B","SORCS3","ADCY2","ALCAM","TEAD1","SRGAP3","ZEB2","RIMS2","DGKI","PLCL1","TIAM2","ADAM23","SATB2","KCNC2","SCHIP1","FRMD5","RPS6KA2","HOMER1","SYNJ2","HSPA12A","IGSF21","RIT2","BRINP2","KCNQ3","PTPRK","EFNA5","PDE1A","CA10","CPNE4","NTNG1"
"GO:MF","signaling adaptor activity","GO:0035591","true","0.011108239698988599","1.954354757403514","104","154","7","20212",,,,,,,,,,,,,"IBA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NAS",,,,,,,,,,,,,,,,,,"IDA,IBA",,,,,,,,,,,,,,,,,,,,,,,"IBA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IDA,IBA",,"TAS,NAS",,,,,,,,,,,,,,,,,,,,,"IC",,,,,,,,,,,,
"GO:MF","cell adhesion molecule binding","GO:0050839","true","0.019584995924577176","1.708076514488024","561","154","15","20212",,,,,,,,,"IBA",,,,,,,,,,"TAS,IEA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IPI",,,,,"IEA",,"IBA",,,,,,,,,,,,,,,,,,,,,,,,,"IBA",,,,"IBA",,,,,,,"IBA",,"IBA",,,,,,,,,,,"IBA",,,,,,,,,,,,,,,"IEA",,,,,"HDA",,,,,,,,,,,,,,,"TAS",,,,"IDA",,,,,,,,,,,,,,"IPI,IGI"
"GO:MF","beta-catenin binding","GO:0008013","true","0.04570671790831384","1.3400199632541887","89","154","6","20212",,,,,,,,,,,,,,,,"TAS",,,"IPI,IBA",,,,,,,,,,,,,,,,,,,,,"IPI,IEA",,,,,,,,"IPI",,,"TAS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IPI",,,,,
"GO:BP","nervous system development","GO:0007399","true","6.261195567355714e-9","8.20334273089034","2531","148","50","21031",,"IBA,IEA","ISS,IEA",,,,,,"IEA",,,,"HEP",,"ISS,IEA","ISS,IBA,TAS,IEA",,,,,,,"IEA","IBA",,,,,,"IMP,IGI",,"TAS","IDA",,"IGI",,,,,,"ISS",,,,,,,"IEA",,,"ISS","IEA","IBA,IEA",,"ISS,IBA",,"IDA,ISS,IBA,TAS,IEA",,,,,,,,,"ISS,IEA",,"IEA",,,"TAS,IEA",,"IDA,ISS,NAS","IEA",,,,,"IMP",,,,,"IMP,ISS,IBA,IEA",,,,,,"IBA,IEA","IBA,TAS",,"IDA,IBA,NAS,IEA","ISS,IEA",,,,,,,"TAS,IEA",,"IBA,IEA","IMP,ISS,IBA,TAS,IEA","IEA",,,,,,,,,,,,,"TAS",,,"IDA,IMP,ISS,IBA,NAS,IEA",,,,,,,,,,"ISS,IEA",,,"NAS,IEA","IDA",,,"IBA","TAS","IEA","IEA",,,,,,,"ISS,IEA","IGI,ISS,IBA,IEA","IBA,IEA","IEA",,"IBA,TAS,IEA",,"NAS",,"ISS,IEA"
"GO:BP","system development","GO:0048731","false","1.393153116838752e-8","7.8560011490866275","3973","148","64","21031",,"IBA,IEA","ISS,IEA",,,,,,"IEA",,,,"HEP",,"IDA,ISS,IBA,IEA","ISS,IBA,TAS,IEA",,"IEA",,,,,"IDA,TAS,IEA","IBA",,,,,,"IMP,IGI",,"TAS","IDA",,"IDA,IGI,ISS,IBA",,"TAS",,"ISS",,"ISS",,,,,,,"IEA",,,"ISS","IEA","IBA,IEA",,"IMP,ISS,IBA",,"IDA,ISS,IBA,TAS,IEA",,"IEA",,,,,,,"ISS,IEA",,"IEA","ISS",,"TAS,IEA",,"IDA,ISS,NAS","IEA","IEA",,,,"IMP",,,,"IBA,IEA","IMP,ISS,IBA,IEA","IBA,IEA","IBA",,,,"IBA,IEA","IBA,TAS","IMP","IDA,IBA,NAS,IEA","ISS,IEA","IMP",,,,,,"TAS,IEA","IEA","IBA,IEA","IMP,ISS,IBA,TAS,IEA","IEA",,"IMP,ISS",,,,,,,,,,,"TAS",,,"IDA,IMP,ISS,IBA,NAS,IEA",,,,,,,,,,"ISS,IEA",,,"NAS,IEA","IDA",,,"IBA","TAS","IEA","IEA",,,"IEA",,,,"ISS,IEA","IGI,ISS,IBA,IEA","IBA,IEA","IEA",,"IBA,TAS,IEA",,"NAS",,"ISS,IEA"
"GO:BP","neurogenesis","GO:0022008","false","0.0000013439097727190726","5.871629887923266","1742","148","37","21031",,"IBA,IEA","ISS,IEA",,,,,,"IEA",,,,,,,"ISS,IBA,TAS,IEA",,,,,,,"IEA","IBA",,,,,,"IMP,IGI",,,"IDA",,"IGI",,,,,,"ISS",,,,,,,"IEA",,,"ISS",,"IEA",,"ISS,IBA",,"ISS,IBA,TAS,IEA",,,,,,,,,"ISS,IEA",,"IEA",,,"IEA",,"IDA,ISS","IEA",,,,,,,,,,"IMP,ISS,IBA,IEA",,,,,,,"IBA",,"IBA,NAS,IEA","ISS",,,,,,,"IEA",,,"IMP,ISS,IBA,TAS,IEA",,,,,,,,,,,,,,,,,"IDA,IMP,IBA,IEA",,,,,,,,,,"ISS,IEA",,,"IEA","IDA",,,"IBA",,"IEA",,,,,,,,,"IGI,ISS,IBA,IEA","IEA","IEA",,"IBA,IEA",,,,"ISS,IEA"
"GO:BP","multicellular organism development","GO:0007275","false","0.0000015075105239981058","5.8217396473481084","4643","148","66","21031",,"IBA,IEA","ISS,IEA",,,,,,"IEA",,,,"HEP",,"IDA,ISS,IBA,IEA","ISS,IBA,TAS,IEA",,"IEA",,,,,"IDA,TAS,IEA","IBA",,,,,,"IMP,IGI",,"TAS","IDA",,"IDA,IGI,ISS,IBA",,"IBA,TAS",,"ISS",,"ISS",,,,,,,"IEA",,,"ISS","IEA","IBA,IEA",,"IMP,ISS,IBA",,"IDA,ISS,IBA,TAS,IEA",,"IEA",,"IDA,IMP,IBA",,,,,"IMP,ISS,IEA",,"IEA","ISS",,"TAS,IEA",,"IDA,ISS,NAS","IEA","IEA",,,,"IMP",,,,"IBA,IEA","IMP,ISS,IBA,IEA","IBA,IEA","IBA",,,,"IBA,IEA","IBA,TAS","IMP","IDA,IBA,NAS,IEA","ISS,IEA","IMP",,,,,,"TAS,IEA","IEA","IBA,IEA","IMP,ISS,IBA,TAS,IEA","IEA",,"IMP,ISS",,,,,,,,,,,"TAS",,,"IDA,IMP,ISS,IBA,NAS,IEA",,,,,,,,,,"ISS,IEA","IBA",,"NAS,IEA","IDA",,,"IBA","TAS","IEA","IEA",,,"IEA",,,,"ISS,IEA","IGI,ISS,IBA,IEA","IBA,IEA","IEA",,"IBA,TAS,IEA",,"NAS",,"ISS,IEA"
"GO:BP","generation of neurons","GO:0048699","false","0.0000018780691537929548","5.726288420292623","1514","148","34","21031",,"IBA,IEA","ISS,IEA",,,,,,"IEA",,,,,,,"ISS,IBA,TAS,IEA",,,,,,,"IEA","IBA",,,,,,"IMP,IGI",,,"IDA",,"IGI",,,,,,"ISS",,,,,,,,,,"ISS",,"IEA",,"ISS,IBA",,"ISS,IBA,TAS,IEA",,,,,,,,,"ISS,IEA",,,,,"IEA",,"IDA,ISS","IEA",,,,,,,,,,"IMP,IBA",,,,,,,"IBA",,"IBA,NAS,IEA","ISS",,,,,,,"IEA",,,"IMP,ISS,IBA,TAS,IEA",,,,,,,,,,,,,,,,,"IDA,IMP,IBA,IEA",,,,,,,,,,"ISS,IEA",,,,"IDA",,,"IBA",,"IEA",,,,,,,,,"IGI,ISS,IBA,IEA","IEA","IEA",,"IBA,IEA",,,,"ISS,IEA"
"GO:BP","neuron development","GO:0048666","false","0.000004252445658394257","5.371361227488539","1167","148","29","21031",,"IBA,IEA","ISS,IEA",,,,,,"IEA",,,,,,,"IEA",,,,,,,,"IBA",,,,,,"IMP,IGI",,,"IDA",,,,,,,,"ISS",,,,,,,,,,"ISS",,"IEA",,"ISS,IBA",,"ISS,IBA,TAS,IEA",,,,,,,,,"ISS,IEA",,,,,"IEA",,"IDA","IEA",,,,,,,,,,"IMP,IBA",,,,,,,"IBA",,"IBA,NAS,IEA","ISS",,,,,,,,,,"ISS,IBA,TAS,IEA",,,,,,,,,,,,,,,,,"IDA,IMP,IBA,IEA",,,,,,,,,,"ISS,IEA",,,,"IDA",,,"IBA",,,,,,,,,,,"IGI,ISS,IBA,IEA",,"IEA",,"IBA,IEA",,,,"ISS,IEA"
"GO:BP","anterograde trans-synaptic signaling","GO:0098916","false","0.000005030525578049615","5.2983866384584815","750","148","23","21031",,,"IEA","IBA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IBA,IEA",,,,,,,,,"IEA",,,,,,,,,,,,,,"IEA",,,,"IDA,IMP,IBA,TAS,IEA",,,,,,,,,,,,,,,"IBA,TAS",,,"IBA,IEA",,,,,,,,,,,,,"IEA","TAS",,,,,"IEA",,"IBA","IEA",,,,,,,,,,,,,,"IEA",,,"IEA",,,,,,"ISS,IBA","IBA,IEA","IEA",,,,,,,"TAS","ISS,TAS",,,,"TAS",,"TAS,IEA",,,,,,"IEA"
