gene	logFC	AveExpr	t	P.Value	adj.P.Val	B	FC
HTR2C	2.671357696	7.330391765	419.6091692	0	0	39890.33569	6.370284017
NXPH2	1.639989804	7.300401801	335.2500309	0	0	30877.7992	3.116636292
ROR1	2.155540293	7.333303666	333.3257493	0	0	30662.34448	4.455354704
LHFPL3	3.13336211	7.400228758	307.9916341	0	0	27789.13765	8.774774863
KCNIP4	-5.535994291	13.90246705	-280.3513299	0	0	24585.71788	0.0215526
KCNIP1	2.398534308	7.428456316	226.8605443	0	0	18265.61519	5.272672202
QRFPR	0.698304004	7.27616936	184.8460154	0	0	13341.049	1.622596187
SPON1	0.984485216	7.301723833	167.4420346	0	0	11365.76956	1.978607178
CD36	0.565759012	7.275243994	166.5665675	0	0	11268.00924	1.48016603
CARD11	0.627913879	7.27931533	163.9351631	0	0	10975.23166	1.545328849
PLPPR1	1.157715335	7.358631316	146.3739787	0	0	9067.937943	2.231038384
ZNF385D	2.103693965	7.526694145	146.1216036	0	0	9041.193142	4.298084854
GRIN3A	1.449730235	7.372536806	142.6096184	0	0	8671.213736	2.731569698
LRRTM4	-4.186754728	12.12902558	-142.2723522	0	0	8635.90365	0.054911239
HMGA2	0.408771457	7.263345827	135.2747227	0	0	7912.484104	1.327554839
FAM89A	0.184160626	7.256815634	132.0792897	0	0	7588.285702	1.136155754
FAT1	0.908866553	7.339859277	129.8260771	0	0	7362.140139	1.877569815
SCHIP1	-3.196173069	11.49021654	-128.8947937	0	0	7269.282671	0.109107859
C4H4orf19	0.362083543	7.269125833	128.4650445	0	0	7226.555353	1.285280763
ADAMTSL3	1.608875245	7.484574376	127.7233937	0	0	7153.001461	3.050139538
MMD2	1.219188154	7.428966738	121.3965427	0	0	6535.3166	2.328156683
PTGER3	0.620543243	7.300084806	119.3855879	0	0	6342.805503	1.537453997
SLC24A3	0.969416934	7.350627431	116.6478301	0	0	6083.817164	1.958049088
FGFR1	1.435321537	7.469017934	114.8925439	0	0	5919.700981	2.70442434
VWA2	0.26776107	7.262627243	114.3277696	0	0	5867.223099	1.203937976
BCL11B	1.697130781	7.558585101	112.8174948	0	0	5727.686268	3.242554406
PLPP4	0.416279871	7.27792932	111.3109668	0	0	5589.665419	1.334482023
GRM4	1.233259765	7.467988479	110.6645213	0	0	5530.804548	2.350975925
TRPC7	0.272400832	7.262132534	109.7919411	0	0	5451.703519	1.207816119
AASS	0.366221341	7.275555572	108.4028911	0	0	5326.622539	1.288972372
OTOL1	0.428297569	7.27858584	107.3402609	0	0	5231.639511	1.345644731
CCDC80	0.16958196	7.257978745	107.3178652	0	0	5229.644312	1.124732531
ROBO3	0.273692187	7.267307177	106.5710619	0	0	5163.270454	1.208897718
ERG	0.577214349	7.282249446	102.010878	0	0	4764.755646	1.49196568
GNA14	0.655813918	7.32063955	101.9650901	0	0	4760.81449	1.575504547
COL11A1	1.382691573	7.610085486	101.1408605	0	0	4690.078466	2.607543956
COBL	-1.886948654	9.25621359	-100.9117091	0	0	4670.483091	0.270378314
SPATA13	0.512590789	7.299798576	99.58560978	0	0	4557.692614	1.4266098
TRIM67	0.199161014	7.261570412	97.6350369	0	0	4393.695076	1.148030535
CAMK1D	-1.87969007	10.14969333	-96.30403701	0	0	4283.113011	0.271742087
MCC	1.115013587	7.439137569	95.56768962	0	0	4222.403502	2.16597049
RANBP17	1.809296645	7.785484574	92.40904186	0	0	3965.828372	3.504713821
KIRREL3	-3.03210014	10.41145039	-91.14650418	0	0	3865.047241	0.122249448
TMEM132D	-2.480973096	10.37474981	-90.34867741	0	0	3801.892509	0.179123547
KCNQ5	-1.876862921	11.07764683	-89.04864387	0	0	3699.874516	0.272275123
FAT3	-2.073962136	9.637681508	-88.86150923	0	0	3685.280965	0.237506329
SDK1	0.607374216	7.330694883	88.24014484	0	0	3636.990637	1.523483861
TLL1	1.669614675	7.546409077	87.84269153	0	0	3606.23646	3.181296139
NTRK3	-2.427547033	9.874103773	-87.79938717	0	0	3602.892013	0.185881226
BARX2	0.281683152	7.267132143	86.68926854	0	0	3517.585071	1.215612278
