gene	logFC	AveExpr	t	P.Value	adj.P.Val	B	FC
BCAS1	0.337900512	7.259208938	79.87957877	0	0	3010.746457	1.263915936
RFTN2	0.260977078	7.259495599	66.6626059	0	0	2128.220498	1.198289982
ZNF536	0.530661212	7.279775318	65.59554099	0	0	2062.818365	1.444591125
FA2H	0.24383434	7.25907898	63.17050526	0	0	1917.565002	1.184135634
UGT8	0.202721772	7.257282704	59.88132028	0	0	1728.169511	1.150867522
DOCK5	0.482989473	7.278433582	59.34888318	0	0	1698.347064	1.397636774
SLC1A3	0.464902774	7.272388054	58.60399576	0	0	1657.019687	1.380224334
COL4A5	0.18816121	7.257254049	57.83353111	0	0	1614.759591	1.139310679
ZCCHC24	0.23238551	7.259823924	57.11177249	0	0	1575.621717	1.174775848
ST18	0.286263926	7.26289769	56.01034466	0	0	1516.740711	1.219478165
HEPACAM	0.267880036	7.264117628	54.40729379	0	0	1432.879576	1.204037258
FRMD4B	0.351044511	7.269749653	54.24528735	0	0	1424.526234	1.275483743
PLP1	0.476301976	7.286006331	54.03196891	0	0	1413.561379	1.391173133
FBXL7	0.567614977	7.294478467	53.46230249	0	0	1384.470768	1.482071425
CNDP1	0.210402831	7.258274125	51.36492869	0	0	1279.774605	1.157011201
LRP4	0.208199421	7.260139737	50.73666993	0	0	1249.155103	1.155245461
ALDH1L1	0.209144421	7.259634588	50.57672079	0	0	1241.414545	1.156002423
RNF220	0.717731779	7.338569874	47.35379125	0	0	1090.225485	1.644594352
OPALIN	0.125077078	7.255681909	46.57180524	0	0	1054.92534	1.090565996
SLC25A48	0.158061	7.257829851	46.26652757	0	0	1041.292254	1.115786499
DOCK1	0.393527193	7.286860667	45.87795793	0	0	1024.059741	1.313601057
PLLP	0.130606096	7.256493914	45.38761704	0	0	1002.506366	1.094753526
PREX2	0.341718245	7.275424611	44.15172987	0	0	949.1382343	1.267265004
PARD3B	0.396874013	7.286397424	43.02479128	0	0	901.6737843	1.316651937
MOBP	0.209877741	7.263147894	42.71393232	0	0	888.7831095	1.156590167
ASPA	0.109799494	7.255886294	42.58600082	0	0	883.5034991	1.079078256
ERBB4	1.097137332	7.49514078	42.53623653	0	0	881.4537858	2.139297809
ABCA8	0.125187278	7.256414257	42.37148515	0	0	874.683971	1.090649302
ATP1A2	0.327522457	7.277379687	42.33275859	0	0	873.0962318	1.254856556
SHROOM4	0.166637912	7.259399604	42.2335559	0	0	869.0352633	1.122439676
FOLH1	0.175043301	7.261112867	41.52559612	0	0	840.3140348	1.12899829
DAAM2	0.367844897	7.280032124	41.21374636	0	0	827.8074621	1.29042375
ERBB3	0.177822577	7.261520625	40.99079677	0	0	818.9205945	1.131175342
DOCK10	0.70746934	7.345851517	40.76060205	0	0	809.7925864	1.632937236
SOX6	0.302634714	7.275004597	40.65646688	0	0	805.6791888	1.233394838
ATP10B	0.232292272	7.266824411	40.01988029	0	0	780.7495496	1.174699927
NCKAP5	0.724295781	7.351644967	39.31649438	0	0	753.6363629	1.652094007
MOG	0.220569124	7.267617179	39.08472324	0	0	744.8020135	1.165193149
TF	0.406629351	7.305619146	38.79639804	0	0	733.881076	1.325585154
PRDM16	0.114037164	7.256284863	38.50126973	3.96043021706343e-320	1.9989283389336e-317	722.7818529	1.082252523
GLI3	0.132185511	7.257566364	37.78427179	0.00E+00	7.52E-306	696.1521035	1.095952682
NKX2-2	0.033129758	7.252892555	37.45685362	2.55E-303	1.22E-300	684.149861	1.023229496
C10H10orf90	0.363569623	7.283228605	37.4048112	1.71E-302	8.01E-300	682.2512426	1.286605377
SLC6A1	0.334633688	7.290159935	36.86739932	4.99E-294	2.25E-291	662.7926384	1.261057176
VCAN	0.200371646	7.261080128	36.86732465	5.00E-294	2.25E-291	662.7899532	1.148994304
HIF3A	0.368299386	7.288675983	35.7993079	1.51E-277	6.62E-275	624.9165495	1.290830334
CD22	0.102145049	7.256584157	35.77365534	3.70E-277	1.59E-274	624.0199455	1.073368197
MYRF	0.073671312	7.254564581	35.75219909	7.84E-277	3.30E-274	623.2704819	1.052391362
SALL3	0.028803821	7.252784453	35.60020303	1.58E-274	6.52E-272	617.9736147	1.020165927
ACSS1	0.176004046	7.263654284	34.72656424	1.84E-261	7.43E-259	587.9469998	1.129750383
NDRG2	0.147561364	7.260948047	34.57077924	3.65E-259	1.44E-256	582.6677943	1.107695513
MAL	0.102651274	7.256800691	34.05657855	1.19E-251	4.60E-249	565.4042288	1.073744896
LPAR1	0.157851519	7.260161217	33.91681148	1.25E-249	4.77E-247	560.754649	1.115624497
ERMN	0.062126108	7.25410572	33.08259979	1.02E-237	3.80E-235	533.3852869	1.044003181
KCNH8	0.398726558	7.29462407	32.75584876	3.94E-233	1.44E-230	522.8436751	1.318343718
FGFR3	0.102125259	7.256954024	32.69263247	3.00E-232	1.08E-229	520.8158235	1.073353474
GPRC5B	0.175384146	7.265500941	32.68975835	3.29E-232	1.17E-229	520.7237171	1.129265054
CLDN11	0.654892485	7.407658482	32.45075532	6.90E-229	2.40E-226	513.0917184	1.574498611
