gene	logFC	AveExpr	t	P.Value	adj.P.Val	B	FC
PLCH1	2.149861084	7.818934469	121.4079692	0	0	6536.030724	4.437850551
CLMN	0.717674642	7.391992526	119.1324178	0	0	6318.342421	1.64452922
MYLK	0.721672408	7.378980811	111.7448677	0	0	5629.006056	1.649092597
NTNG1	1.690321081	8.072389288	100.9882746	0	0	4676.833085	3.22728521
ADCY8	1.010742485	7.645000719	90.94288544	0	0	3848.77711	2.014947829
CCDC68	0.563282564	7.394292987	90.5908117	0	0	3820.905739	1.477627441
TRHDE	1.709841051	8.557478862	89.52289646	0	0	3736.860252	3.271247805
ARHGAP24	0.83472421	7.545266893	88.07534953	0	0	3624.135233	1.783516064
VIPR2	0.191434508	7.272066053	85.26384622	0	0	3409.197912	1.14189857
OLFM2	0.803857564	7.646318677	85.16292651	0	0	3401.582235	1.745762816
CTNND1	0.90740028	8.004001074	81.43397591	0	0	3125.118322	1.875662529
RPS6KA2	-1.426181574	9.415670181	-79.82979616	0	0	3009.186178	0.372114477
PTPRT	1.961582858	9.527325481	77.58424403	0	0	2850.000816	3.894890739
OSBPL3	0.766490874	7.715918654	76.6114962	0	0	2782.180286	1.701127027
COL5A2	1.461874992	8.126754225	75.92522633	0	0	2734.750934	2.754661395
ADAMTS6	0.325963005	7.310413191	74.55518074	0	0	2641.106673	1.253500877
SNTG1	1.266020596	9.244087243	73.12034771	0	0	2544.536338	2.404972831
GRIA1	-1.138889572	9.340513155	-71.89065398	0	0	2463.008489	0.454108966
MYO1E	0.621734437	7.548394029	69.73287958	0	0	2322.739854	1.538723954
POU6F2	1.574923172	8.569157859	69.18780389	0	0	2287.874462	2.97919627
RORB	1.580837737	8.474930103	67.67844166	0	0	2192.536669	2.991435045
NELL1	-1.027058186	9.452104144	-66.8034146	0	0	2138.084356	0.490709741
DOCK8	0.301288339	7.32992073	66.58376211	0	0	2124.510404	1.232244327
MAST4	1.045835126	9.144141944	66.47390939	0	0	2117.736113	2.064561116
FNDC3B	0.684123065	7.78910949	66.26751661	0	0	2105.034341	1.606725045
AUTS2	0.926240246	10.47365676	66.2082808	0	0	2101.395104	1.900317192
COBLL1	0.455198309	7.406944557	66.06526301	0	0	2092.620081	1.370971242
SLC38A11	1.169879939	8.423072536	65.28274878	0	0	2044.896078	2.249929723
GRM7	1.12877227	10.36904562	63.97223426	0	0	1966.066971	2.186725712
UTRN	0.666732348	7.634157504	63.5624791	0	0	1941.70308	1.587473322
ARL15	0.997490894	9.116590657	62.84344734	0	0	1899.277809	1.996524664
KCNB2	1.172418246	9.384340898	62.2898573	0	0	1866.9	2.253891779
TNNT2	0.354443852	7.393056908	62.20615225	0	0	1862.026052	1.278492637
STC2	0.063507829	7.258701295	61.70951094	0	0	1833.225383	1.045003539
RIT2	1.054375403	8.219271624	61.55326036	0	0	1824.205956	2.076818879
WLS	0.336635622	7.363160553	60.69357303	0	0	1774.93929	1.262808278
LAMA2	0.454694521	7.411125313	60.67702695	0	0	1773.997029	1.370492583
KCNH5	0.975719297	8.368343267	60.39139362	0	0	1757.766423	1.966621469
GOLIM4	0.401256673	7.409600201	59.91218276	0	0	1730.687317	1.320657781
CALB1	0.261307698	7.343507757	59.87823963	0	0	1728.776466	1.198564624
GRM1	-0.945249391	8.855470051	-59.42059287	0	0	1703.106092	0.519339768
CNTNAP5	1.105499199	9.94947536	59.0593511	0	0	1682.965979	2.151733192
MAGI2	0.737851001	11.46812148	58.59741179	0	0	1657.369881	1.667689842
FMN1	0.88125996	9.575164675	58.4058665	0	0	1646.808505	1.841983272
UNC5D	1.104842524	10.01123098	58.4010852	0	0	1646.545267	2.150754004
SNTG2	0.693614143	7.681285262	58.05357821	0	0	1627.464134	1.617330075
GRM4	0.438818653	7.467988479	57.98063924	0	0	1623.471979	1.35549393
PTPRM	0.776939977	7.746151252	57.93148098	0	0	1620.78392	1.713492618
IL1RAP	0.559892856	7.672636028	57.85003275	0	0	1616.334646	1.474159732
SLIT3	-1.345462541	9.054547653	-57.46344499	0	0	1595.292345	0.393527799
CPLX2	-0.65551529	8.117200023	-57.07787607	0	0	1574.430507	0.634848701
PPP1R13L	0.158927153	7.29202559	57.06007326	0	0	1573.470277	1.116456586
HGF	0.114117954	7.271308617	56.65299244	0	0	1551.586413	1.08231313
LPP	0.502462395	7.610823854	56.03849655	0	0	1518.817294	1.416629406
PDZD2	-1.505690285	9.495434735	-55.56395956	0	0	1493.730515	0.35216165
NCAM2	-0.99535513	10.27288301	-55.15059146	0	0	1472.033314	0.501612383
