gene	logFC	AveExpr	t	P.Value	adj.P.Val	B	FC
NFIA	1.783165818	7.657048787	169.5350196	0	0	11599.58021	3.441806089
CNTNAP5	-2.101929157	9.94947536	-134.3723025	0	0	7820.207404	0.232946546
SH2D1B	0.44218096	7.323340253	124.0083811	0	0	6787.898806	1.358656693
THEMIS	0.85875066	7.414363446	120.1177346	0	0	6412.455392	1.813467211
HS3ST5	0.837966857	7.492083859	112.9082646	0	0	5735.864446	1.787529259
GRIK4	1.328404058	7.978195396	111.1900011	0	0	5578.469274	2.511247213
ADAMTS16	0.552180218	7.369651376	107.5164028	0	0	5247.197284	1.466299913
GRIK3	1.218541843	7.721743482	106.0723778	0	0	5118.984291	2.327113929
TMEM233	0.423211073	7.337891335	104.2506562	0	0	4958.891418	1.340908758
MCTP1	1.90441405	8.973855709	102.226682	0	0	4783.232222	3.743568233
PRRX1	0.477457507	7.345974565	101.4434103	0	0	4715.886702	1.392287844
LRP1B	2.348772771	11.00085483	101.1674244	0	0	4692.24271	5.093907533
PRKD1	1.176270955	7.810042413	98.19372076	0	0	4440.339375	2.259918828
CNTN6	1.015034314	7.763762247	87.82818078	0	0	3605.07248	2.020950961
LARGE1	1.175987061	9.682971607	85.06992835	0	0	3394.60903	2.259474164
CNTN4	1.283136339	8.480945681	84.53246799	0	0	3354.201027	2.433674696
GALNT14	1.112675559	7.764742285	82.85608202	0	0	3229.444659	2.162463166
SLC39A11	1.318631131	8.806656814	82.53322874	0	0	3205.642184	2.494293321
GBE1	0.725287939	7.687500071	82.20728065	0	0	3181.685495	1.653230562
SOX5	1.338732298	8.396897587	81.79799262	0	0	3151.708994	2.529289715
RUNX1T1	0.983830964	8.772755304	80.65981801	0	0	3068.969462	1.977710098
DPP10	1.897201913	10.74304464	78.29108066	0	0	2899.735693	3.724900562
ENSPTRG00000016532	0.568684999	7.448117355	77.33937886	0	0	2832.882114	1.48317106
MYO1D	1.077037577	8.932116552	77.32788011	0	0	2832.078402	2.109699584
TMEFF2	1.175563915	8.827291277	74.22892596	0	0	2619.023855	2.258811552
PDGFC	0.703093418	7.722727126	74.12491453	0	0	2611.996707	1.627991784
IGSF21	0.906998293	8.607681129	73.72433002	0	0	2585.008445	1.875139975
ITGA8	1.039303246	7.891611703	73.14060903	0	0	2545.897793	2.055234832
HS3ST2	1.060230591	7.828300221	72.99453537	0	0	2536.150698	2.08526479
AK5	1.195857993	9.359042322	72.69371244	0	0	2516.128409	2.290810297
CNTN5	-1.311734604	9.411286514	-72.3335732	0	0	2492.248254	0.402836244
SLC16A10	0.729167025	7.841865066	72.06100657	0	0	2474.240326	1.657681713
SORCS1	1.311175593	10.02757659	71.71154458	0	0	2451.234781	2.481436598
CUX2	-1.765751939	9.029168304	-71.65046889	0	0	2447.223644	0.294073372
EDIL3	-0.957423051	8.797638778	-70.25424629	0	0	2356.30588	0.514975945
CPNE9	0.578604281	7.73846411	70.10175904	0	0	2346.467143	1.493403773
CTNNA2	1.00728093	11.22220649	70.10170534	0	0	2346.463681	2.010119025
ADAMTS3	0.918834689	7.971663978	69.81791452	0	0	2328.200828	1.890587588
SDK2	0.54141003	7.505605404	68.48242269	0	0	2243.096139	1.455394264
EFNA5	0.968314706	9.656300907	68.46373355	0	0	2241.915019	1.956553698
CCN4	0.310948801	7.338538207	68.43275258	0	0	2239.957679	1.240523273
CCK	0.603783418	7.813257432	67.06992559	0	0	2154.600275	1.519696697
SLC35F3	1.185097339	9.652248778	66.88641058	0	0	2143.217871	2.273787355
VIT	0.095475598	7.265095763	66.80046101	0	0	2137.896047	1.068417564
GPM6A	0.623693053	10.10567967	65.44128764	0	0	2054.517248	1.540814359
NCAM2	1.088882081	10.27288301	65.41119504	0	0	2052.687837	2.12709148
OPRK1	0.208912291	7.30450692	65.32383068	0	0	2047.380813	1.155816437
ENSPTRG00000052371	0.948625978	7.898835297	65.22956307	0	0	2041.66128	1.930033619
NOS1AP	0.829796215	8.525060547	65.19463391	0	0	2039.543813	1.777434277
OPCML	0.79562639	12.33510851	64.98452704	0	0	2026.827345	1.735830875
SNTB2	0.85170094	8.546194406	64.89711291	0	0	2021.547112	1.804627331
ARHGEF28	0.694991431	7.818218661	64.52466312	0	0	1999.117978	1.618874818
DCLK2	0.752843949	8.598246513	63.7552943	0	0	1953.139081	1.685111377
NETO1	0.829729152	9.088113424	63.47976923	0	0	1936.789222	1.777351655
CLSTN2	1.453691709	8.940433493	62.83465939	0	0	1898.748188	2.73908058
PCDH9	0.839632452	11.78882508	62.24521817	0	0	1864.285192	1.789594158
SLIT3	1.34177125	9.054547653	61.75530711	0	0	1835.85688	2.534623129
SLIT2	-0.976812996	8.577347167	-61.46167066	0	0	1818.911906	0.508100928
PLD5	0.485056451	7.431895537	61.09400816	0	0	1797.794683	1.399640631
ZMAT4	-0.881256391	8.874861711	-61.07515178	0	0	1796.71463	0.542894438
GRIA1	0.908409241	9.340513155	60.78923764	0	0	1780.373873	1.876974748
PPP1R14C	0.389178706	7.525270985	60.74831661	0	0	1778.040626	1.309647639
PEX5L	1.13677148	9.988286912	60.63888086	0	0	1771.807556	2.198883973
GAP43	0.727151643	8.560052554	60.42492358	0	0	1759.649808	1.655367621
TNS3	0.490954433	7.600428117	60.29269723	0	0	1752.155146	1.405374311
RXFP1	0.757264215	7.71500345	60.28667007	0	0	1751.813867	1.690282299
DMD	0.813593194	10.16675588	60.23582112	0	0	1748.935814	1.757583455
CAMK1D	0.721981673	10.14969333	59.86585238	0	0	1728.059875	1.649446143
SRPX	0.153069244	7.28457718	59.74128362	0	0	1721.056405	1.111932525
GRM8	1.128903093	8.421275023	59.58548563	0	0	1712.315262	2.186924012
KAZN	1.369186862	10.45572007	59.45972383	0	0	1705.273993	2.583249269
TRIM36	0.335110954	7.450297775	59.11269273	0	0	1685.912179	1.261474422
CEMIP2	0.45327087	7.614294743	58.8863853	0	0	1673.339791	1.369140849
FMNL2	0.643300424	9.684032429	58.8593927	0	0	1671.843077	1.561898198
PDE4D	0.651784469	11.32537479	58.47396775	0	0	1650.537851	1.5711103
CDH12	0.830237361	8.741593783	58.36550485	0	0	1644.564665	1.777977863
DACH1	0.479184598	7.492755824	58.35597837	0	0	1644.040499	1.393955588
MTSS1	0.542101337	7.765817826	58.28099623	0	0	1639.91748	1.456091824
SVEP1	0.458437363	7.602343118	58.21344602	0	0	1636.207141	1.374052724
