source	term_name	term_id	highlighted	adjusted_p_value	negative_log10_of_adjusted_p_value	term_size	query_size	intersection_size	effective_domain_size	RASGRF2	PCSK6	GPC6	RFX3	CDH9	MAP7	PTPN13	GALNT13	ADAMTS3	LRRTM4	SLC4A4	DAPK1	NTRK3	KCNMB2	PLEKHA5	GRIA4	CUX2	GALNT18	ROBO1	ATP6V1H	SIPA1L1	PARD3	CBLN2	RGS6	IL1RAPL1	BRINP2	NEDD4L	GSG1L	PTPRO	TANC2	TAFA1	MLIP	EPHA6	DGKB	CACNG3	KCTD16	F13A1	GRM1	CADPS	PTK2B	DOK6	TMEM108	ITPR2	GALNTL6	CACNB2	SLIT2	PRKCA	PDE8B	ROBO2	SCHIP1	CNTN4	CDH13	NCAM2	KIRREL3	KCND2	PEX5L	ASIC2	NTM	SLIT3	GRIK1	KCNH7
GO:MF	gated channel activity	GO:0022836	True	0.0003579753995859	3.4461468174655128	315	84	10	20212														IDA,IBA,IEA		IDA,IMP,ISS,IBA,NAS,IEA																			IBA,NAS					ISS,IEA			ISS,IBA,TAS,IEA		IDA,IMP,IEA										IDA,IMP,ISS,IBA,NAS,IEA		IBA,TAS,IEA			IDA,IBA,TAS,IEA	IBA,IEA
GO:MF	inorganic cation transmembrane transporter activity	GO:0022890	True	0.0019298206967489	2.714483040230545	569	84	12	20212											IDA,IMP,IBA,TAS			IDA,IBA,IEA		IDA,IBA				IEA															IBA,NAS,IEA					ISS,IEA			ISS,IBA,TAS,IEA		IDA,IMP,NAS,IEA										IDA,IMP,ISS,IBA,NAS,IEA		IBA,TAS,IEA			IDA,IBA,TAS	IBA,IEA
GO:MF	glutamate receptor activity	GO:0008066	True	0.0022199429437294	2.65365818750516	27	84	4	20212																IDA,ISS,IBA,IEA																						IDA,IBA,TAS,IEA		ISS,IEA																				IDA,IBA,TAS,IEA	
GO:MF	polypeptide N-acetylgalactosaminyltransferase activity	GO:0004653	True	0.0367691877516333	1.4345159637911813	20	84	3	20212								IDA,IBA,TAS,IEA										IDA,IBA,IEA																										IDA,IBA,IEA																	
GO:BP	synapse organization	GO:0050808	True	1.6060565878e-06	5.794239156848856	485	84	15	21031					IEA		IEA										ISS,IEA				ISS		ISS,IBA,IEA		IDA,IMP,ISS				IEA	ISS,IBA				IEA						IEA		ISS,IBA,IEA			IBA,TAS				ISS					ISS,IBA,IEA			IEA				
GO:BP	regulation of biological quality	GO:0065008	True	7.918309153e-06	5.1013675461772685	2846	84	33	21031	IEA	IDA,IBA	IBA,IEA	ISS,IEA			IEA				IDA,IMP,IGI,ISS,IBA			IDA,TAS		IEA	ISS,IEA			NAS	ISS		IEA		IDA,IMP,ISS		IDA,IMP,ISS	IEA	ISS,IBA,IEA	ISS,IBA				TAS,IEA	IBA,IEA		IDA,IBA,TAS,IEA	IEA		IMP,ISS,TAS,IEA		ISS,IEA			IMP	IDA	IDA,TAS	IEA	ISS		TAS				IDA,TAS,IEA		IEA			IEA	IBA
GO:BP	trans-synaptic signaling	GO:0099537	True	1.30600727139e-05	4.88405440505415	756	84	17	21031	IEA															IBA	ISS,IEA				ISS		ISS,IEA		IDA,IMP									IEA	IBA			IBA,TAS,IEA	IEA	ISS,TAS,IEA		ISS,IEA			IBA,IEA						TAS				TAS		TAS			IBA,TAS	
GO:BP	apoptotic process involved in luteolysis	GO:0061364	True	0.0001280596104434	3.892587823630891	3	84	3	21031																																														IEP			IEP										IEP		
GO:BP	regulation of negative chemotaxis	GO:0050923	True	0.0005107585822847	3.2917843271769542	4	84	3	21031																			IDA																											IDA			IDA												
GO:BP	regulation of signaling	GO:0023051	True	0.0008257847348199	3.0831331496094645	3437	84	33	21031	TAS,IEA	TAS	IEA	ISS,IEA			IDA		IDA			ISS	IDA,IBA			IBA	ISS,IEA		IMP,ISS		ISS,IEA		IEA	IBA,TAS,IEA					ISS,IBA,IEA		ISS			IEA	ISS,IBA	IBA,IEA		IBA,IEA		IMP,ISS,TAS,IEA	IBA	ISS,IEA				IDA,IMP	IDA,IMP,ISS	IEA	ISS	IBA	TAS	IDA,IMP				ISS			IMP	IBA,TAS	
GO:BP	Roundabout signaling pathway	GO:0035385	True	0.001273208067631	2.895100618153036	5	84	3	21031																			IMP,IEA																											IMP,IC													IMP		
GO:BP	neuron recognition	GO:0008038	True	0.0020228953697955	2.69402657965903	45	84	5	21031																			ISS,IEA																														ISS		IBA,TAS		IEA					TAS			
GO:BP	regulation of system process	GO:0044057	True	0.0033116689274626	2.479953086791426	542	84	12	21031														TAS			ISS,IEA					ISS							ISS,IBA,IEA			ISS						IEA		ISS,IEA		ISS,IEA			IMP		ISS								NAS		IEA				
GO:BP	negative regulation of chemokine-mediated signaling pathway	GO:0070100	True	0.004430527263669	2.3535445866266187	7	84	3	21031																			IMP																											IMP													IMP		
GO:BP	aortic valve morphogenesis	GO:0003180	True	0.0328320443374087	1.483702074419191	38	84	4	21031																			ISS																											ISS			ISS										ISS,IEA		
GO:BP	negative regulation of retinal ganglion cell axon guidance	GO:0090260	True	0.0328410432684871	1.483583055007213	2	84	2	21031																													ISS																	IDA															
GO:BP	ventricular septum morphogenesis	GO:0060412	True	0.0446349362762921	1.3503250809164318	41	84	4	21031																			ISS																											ISS			ISS										ISS,IEA		
GO:CC	postsynapse	GO:0098794	True	1.6710907457453255e-09	8.776999965841872	650	86	19	22097					IEA					IEA		IEA			IEA	ISS,IBA,IEA					ISS,IEA				NAS			IEA	ISS,IEA	IDA,IBA,IEA				IEA	IBA,IEA	IBA,IEA		IBA,IEA		ISS,IBA,TAS,IEA		ISS,IBA,IEA													ISS,IBA,NAS,IEA		IEA			IBA,IEA	
GO:CC	neuron projection	GO:0043005	True	4.644112660600944e-08	7.333097253342626	1334	86	24	22097						ISS							IBA			ISS,IBA,IEA			IBA,IEA		ISS,IEA	ISS		IBA	ISS,IEA	IBA,IEA			ISS,IEA	IDA,IBA,IEA			IBA		IEA			IEA		ISS,IBA,IEA		ISS,IBA,IEA							ISS	ISS,IEA	IBA,NAS	IDA	IEA	ISS,IEA	ISS,IBA,NAS,IEA		IEA				
GO:CC	ionotropic glutamate receptor complex	GO:0008328	True	0.006062920586978	2.2173181201805177	41	86	4	22097																ISS,IBA																			ISS,IBA,IEA					ISS,IEA																				IBA	
