logFC	AveExpr	t	P.Value	adj.P.Val	B
ARHGAP15	0.72650399464089	7.30124275049411	159.315210641171	0	0	10463.9573245633
PLCH1	2.74815423179402	7.81893446911016	133.527395735768	0	0	7733.8868780418
PCDH7	-2.11615732269919	10.3825798937402	-118.298062295311	0	0	6238.91912800481
MYLK	0.873620206366242	7.37898081073511	114.439161048755	0	0	5877.04407942615
OTOGL	1.05122059671528	7.49899047002398	112.623167648114	0	0	5709.32681650261
ADAMTS6	0.54208316934037	7.31041319086125	109.771510607871	0	0	5449.40704963015
ENSPTRG00000047800	0.668891556762683	7.34061664667201	108.997147447314	0	0	5379.56875805847
ARHGAP24	1.12745317214	7.54526689265827	102.292510989033	0	0	4788.67651504845
C12H12orf42	0.815526683380051	7.41487354524601	102.057356689909	0	0	4768.41339431462
PEX5L	-2.21621596961904	9.98828691213972	-97.147071529092	0	0	4352.74707299607
ENSPTRG00000043636	-1.42076908586016	12.5351457603222	-95.2110682618714	0	0	4192.86469856427
ROBO2	-2.72575257435974	11.4090245078006	-93.7146623826309	0	0	4070.88155982495
DGKB	-1.74268053470398	9.38097149515951	-88.5016351965259	0	0	3657.10367122728
MEGF10	0.337454341397494	7.29418825178382	87.3784038700905	0	0	3570.27910951643
CMAH	0.405408930389961	7.31948828306787	87.3439109988855	0	0	3567.62618308701
PROX1	0.170784141188383	7.26464733598258	86.9657125419759	0	0	3538.59042858809
KIRREL3	-2.14669296394144	10.4114503938732	-85.068719941419	0	0	3394.40903286083
MME	0.214672646465782	7.26939679866415	85.0549556587595	0	0	3393.37182062121
PKP1	0.16218511261011	7.26653775775867	83.706105163	0	0	3292.35990578066
PLCB1	-1.33581943931164	11.375411719456	-83.5267282660179	0	0	3279.02139846301
LCORL	0.965149750328126	7.78263003524969	81.7956858657761	0	0	3151.45226948694
GAL	0.0735473032869649	7.25542696934559	80.8815091675223	0	0	3084.93093251478
ROR2	0.626484419689037	7.43123703582842	80.8613639420801	0	0	3083.47169456708
BTNL9	0.215841732401595	7.27324021132868	80.4860586575398	0	0	3056.33879794723
ANGPT1	0.680695364400421	7.4502570649829	79.7118418396344	0	0	3000.68335251214
ABCC3	0.873198941887847	7.502419890188	78.8424606585145	0	0	2938.69868492354
ASIC2	-1.83369460583607	11.1284720136891	-77.5560782398993	0	0	2847.9841207018
SNTG2	1.06632243914371	7.6812852617839	76.7406883667115	0	0	2791.10728997518
CDH19	0.15632861207878	7.26576584745615	76.3968085742018	0	0	2767.26629488733
RGS6	-1.76831476680604	10.3395544019722	-76.3510932521979	0	0	2764.10342297024
TNNT2	0.508286195103245	7.39305690801752	76.3486374964657	0	0	2763.9335619517
OPCML	-1.17075472518004	12.3351085094539	-76.0160673649601	0	0	2740.97120875028
ERC2	-1.26451913175227	10.5009535895868	-75.7251686025818	0	0	2720.95296684375
PTGFRN	0.5231861047595	7.41756840091512	75.4126498789736	0	0	2699.51668198534
TSHZ2	2.33139854535273	8.26048997971132	74.1951771338567	0	0	2616.69992471301
LIPG	0.195726906944912	7.27841933020997	73.2534832329566	0	0	2553.40297102197
