"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","FBXL7","KIT","FGF13","NTNG1","EYA4","ARHGAP31","STAC","SV2C","UNC13C","CACNA2D1","TRPC3","PREX2","NRG1","MYO16","VAT1L","IGSF11","NWD2","KIRREL1","JAM2","TPD52L1","ST6GAL2","PDZD2","SLC6A1","FSTL5","NKAIN3","PMEPA1","LUZP2","GRIN2A","TMEM132D","PTCHD4","FGF14","EPHA3","ADAMTSL1","ALK","NFIB","PKP2","PDGFD","MACROD2","TACR1","CDH13","TOX","NXPH2","BCL11B","ROR2","PTPRT","PID1","ATP8A2","CLSTN2","GAD2","SGCZ","DGKD","RPH3A","RIMBP2","GRM5","NYAP2","GRIA4","DOCK9","SGK1","LTBP1","COBL","RGS7","SPHKAP","WWOX","PTPRB","LRIG1","PPFIBP1","NFIA","TOX2","RIMS1","TMTC2","CHST11","EGFR","CCDC85A","WWP1","MAP3K5","GRK3","KCNIP1","GABBR2","FRY","SYN2","KCTD16","BRINP2","IL1RAPL1","MCTP1","RAB3C","SH3RF3","UNC5C","MTSS1","UBASH3B","NFIX","UNC5D","CSMD3","PDE8B","MAML3","ADARB2","ZNF536","SYT1","SAMD12","TMEM132B","DSCAML1","GREB1L","LRRTM3","FMNL2","MSRA","SLC8A1","KCNAB1","GRIN3A","DNER","QKI","TENM4","DPP6","LRRC7","KAZN","PRKCB","SPOCK1","RORA","DLGAP1","CTNNA2","RBMS3","ROR1","CNTNAP5"
"GO:MF","transmembrane receptor protein kinase activity","GO:0019199","true","0.00022356071786339027","3.650604504515031","82","115","7","20212",,"IDA,IBA,IEA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IDA,IBA,IEA",,"IDA,IBA,TAS,IEA",,,,,,,,,,"IBA,TAS,IEA",,,,,,,,,,,,,,,"NAS",,,,,,,,,,,,,"IDA,IMP,IBA,TAS,NAS,IEA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TAS",
"GO:MF","cell adhesion molecule binding","GO:0050839","true","0.0003595241725343782","3.444271904598565","561","115","15","20212",,,,"IPI,IGI",,,,,,,,,"IDA",,,,,"IBA","IDA",,,,,,,,,,,,,,,,,"HDA,IBA,IC",,,,"IDA,IBA",,,,,"IPI,IEA",,,,,,,,,,,,"HDA",,,,,,,"IPI,IBA",,"HDA",,,,,,"HDA,IEA",,,,,,,,,,,,,,,,,,,,,,,,,,,,"IBA",,,"HDA",,,,,,,"IBA",,,,,,,,"HDA,IEA",,,
"GO:MF","transmembrane receptor protein tyrosine kinase activity","GO:0004714","false","0.0008083374249892265","3.0924073134567465","63","115","6","20212",,"IDA,IBA,IEA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IDA,IBA,IEA",,"IDA,IBA,TAS,IEA",,,,,,,,,,"IBA,TAS,IEA",,,,,,,,,,,,,,,,,,,,,,,,,,,,"IDA,IMP,IBA,TAS,NAS,IEA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TAS",
"GO:MF","ion channel regulator activity","GO:0099106","true","0.0008397697482582018","3.0758397743767785","143","115","8","20212",,,"IDA,ISS,IBA,IEA",,,,,,,,,,,,,,,,,,,,,,,,,,,,"IBA",,,,,"ISS",,,,,,,,,,,,,,,,,,,,,,"IBA,TAS",,,,,,,,,,,,,,,,,,,"IDA,IBA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IDA,IBA,TAS",,,,,"IDA,ISS,IBA",,,"IEA",,,,,,,
"GO:MF","channel regulator activity","GO:0016247","false","0.0010872285871970442","2.9636791369426825","148","115","8","20212",,,"IDA,ISS,IBA,IEA",,,,,,,,,,,,,,,,,,,,,,,,,,,,"IBA",,,,,"ISS",,,,,,,,,,,,,,,,,,,,,,"IBA,TAS",,,,,,,,,,,,,,,,,,,"IDA,IBA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IDA,IBA,TAS",,,,,"IDA,ISS,IBA",,,"IEA",,,,,,,
"GO:MF","transporter regulator activity","GO:0141108","false","0.0010872285871970442","2.9636791369426825","148","115","8","20212",,,"IDA,ISS,IBA,IEA",,,,,,,,,,,,,,,,,,,,,,,,,,,,"IBA",,,,,"ISS",,,,,,,,,,,,,,,,,,,,,,"IBA,TAS",,,,,,,,,,,,,,,,,,,"IDA,IBA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IDA,IBA,TAS",,,,,"IDA,ISS,IBA",,,"IEA",,,,,,,
"GO:MF","transmembrane transporter binding","GO:0044325","true","0.008054489714779142","2.093961968724037","140","115","7","20212",,,"ISS,IEA",,,,"IBA,IEA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ISS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IBA",,,,,,,,"IBA",,,,,,,,,,,,,,,,,,,,,,,,,,,,"ISS","IBA",,,,,,,,,,,,,,,
"GO:MF","glutamate receptor activity","GO:0008066","true","0.00821573380849679","2.085353640415376","27","115","4","20212",,,,,,,,,,,,,,,,,,,,,,,,,,,,"IDA,IMP,ISS,IBA,TAS,IEA",,,,,,,,,,,,,,,,,,,,,,,,,,"IDA,IBA,IEA",,"IDA,ISS,IBA,IEA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IDA,ISS,IBA,IEA",,,,,,,,,,,,,,
"GO:MF","protein tyrosine kinase activator activity","GO:0030296","true","0.016468748460355467","1.783339403709054","32","115","4","20212",,,,,,,,,,,,,"IDA,IBA,NAS,IC",,,,,,,,,,,,,,,,,,,,,"IDA",,,,,,,,,,,,,,,,,,,,"TAS",,,,,,,,,,,,,,,,,,"IDA,IEA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GO:MF","protein binding","GO:0005515","false","0.02478713773721785","1.6057736199324586","14838","115","102","20212","IPI,IEA","IDA,IPI,IBA,IEA","IPI,ISS,TAS,IEA","IPI,IGI","IPI","IPI,IEA","IPI,IBA,IEA","IPI","IBA",,"IPI,IEA","IEA","IDA,IPI,IBA,TAS,NAS,IEA","IPI,ISS,IBA,IEA","IPI","IPI,IEA","IEA","IPI,IBA","IDA,IPI","IDA,IPI","IPI","IEA","IPI,IEA","IPI,IEA",,"IPI,IBA,IEA",,"IPI","IPI",,"IPI,TAS,IEA","IPI,IEA",,"IPI,IEA","IPI","IPI,HDA,ISS,IBA,IC,IEA","IBA,IEA",,"IPI","IDA,IPI,ISS,IBA,IEA","IPI","IBA","IPI","IPI,IBA,IEA","IDA,IPI,IEA","IPI","IPI","IEA","IPI","IPI","IDA,IPI,IEA","IPI,IEA","IEA","IPI,ISS,IEA","IPI","IPI","IPI,HDA","IPI","IPI,IEA","IPI,ISS,IBA,IEA","IDA,IPI,IEA","IDA,IPI,IBA","IPI,IEA","IPI,IBA,IEA","IPI,IEA","IPI,HDA,IEA","IPI","IPI","IPI,ISS,IBA,IEA","IPI,IEA",,"IDA,IPI,HDA,ISS,IBA,IEA","IPI","IPI,IEA","IDA,IPI,IEA","IPI,IBA","IPI,IBA","IPI",,"IPI,IEA","IPI,IEA",,"IPI,ISS",,"IPI,IBA,IEA","IPI,IEA","IPI,IEA","IDA,IPI,IBA,IEA","IPI,IEA","IPI","IEA",,,"IPI",,,"IDA,IPI,ISS,IBA,IEA","IEA",,"IDA,IBA,IEA",,"IEA","HDA,IBA,IEA","IPI","IDA,IPI,ISS,IEA","IPI,IBA","IPI,ISS,IEA","IPI,IBA,TAS,IEA","IPI,IEA","IPI,ISS,IBA,IEA",,"IEA","IPI,IEA","IDA,IPI","IPI,IEA","IPI,IEA","IPI","IDA,IPI,HDA,IBA,IEA",,"IPI,IBA,IEA",
