"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","DOCK5","RNF220","PLP1","TF","DAAM2","CTNNA3","CLDN11","MBP","KCNH8","ARAP2","PLEKHH1","PHLPP1","PIP4K2A","SLC44A1","PDE8A","TMTC2","SLC39A11","NFIA","QKI","DIP2B","SLC1A2","DLG1","ELMO1","FBXL7","DOCK10","FMNL2","COBL","NCKAP5","UNC5C","WWOX","PCDH9","NRG1","NFIB","ADARB2","IL1RAPL1","PDE4B","FGF13","DSCAM","CDH13"
"GO:MF","cytoskeletal protein binding","GO:0008092","true","0.02638320908496951","1.5786723807710359","1002","37","9","20212",,,,,"IEA","IBA,IEA",,,,,,,,,,,,,,"ISS,IEA",,"TAS",,,,"IBA,IEA","ISS,IBA,IEA",,"IPI,IEA",,,,,,,"IEA","ISS,IEA",,
"GO:BP","nervous system development","GO:0007399","true","0.000018463659013119556","4.7336822290014","2531","38","19","21031",,"IEA","HEP,IBA,TAS,IEA",,"ISS,IBA,IEA",,"IEA","HEP,IBA,TAS,IEA",,,,,,,,,,"IEA","ISS,IEA","ISS,IEA","IEA","IEA",,,"ISS,IBA,IEA",,"ISS,IEA",,"IDA,ISS,IBA,TAS,IEA",,"IEA","IBA,TAS,IEA","IMP,ISS,IEA",,"IDA,IMP,ISS",,"ISS,TAS,IEA","IDA,ISS,IBA,TAS,IEA",
"GO:BP","cell morphogenesis","GO:0000902","false","0.00014873250833508794","3.8275940977353975","986","38","12","21031",,,,,,,,,,,,,,,,,,"IEA",,"ISS,IEA",,"IMP",,,"ISS,IBA,IEA","IMP,IBA,IEA","ISS,IEA",,"ISS,IBA,TAS,IEA",,,,"ISS,IEA",,"ISS",,"ISS","IDA,ISS,IBA,IEA","IBA"
"GO:BP","system development","GO:0048731","false","0.00017319348508113252","3.761468448615031","3973","38","22","21031",,"IEA","HEP,IBA,TAS,IEA",,"ISS,IBA,IEA",,"IEA","HEP,IBA,TAS,IEA",,,,"IEA",,,,,,"IEA","IDA,ISS,IEA","ISS,IEA","IEA","IEA",,,"ISS,IBA,IEA",,"ISS,IEA",,"IDA,ISS,IBA,TAS,IEA","ISS,IEA","IEA","IDA,ISS,IBA,TAS,IEA","IMP,ISS,IEA",,"IDA,IMP,ISS",,"ISS,TAS,IEA","IDA,ISS,IBA,TAS,IEA","IDA,IBA"
"GO:BP","anatomical structure development","GO:0048856","false","0.0004359152422416943","3.3605979451467407","5899","38","26","21031","IBA","IEA","HEP,IBA,TAS,IEA","IEA","ISS,IBA,IEA",,"IEA","IDA,HEP,IBA,TAS,IEA",,,,"IEA","IEA",,,,,"IEA","IDA,ISS,IEA","ISS,IEA","IEA","IMP,IEA",,,"ISS,IBA,IEA","IMP,IBA,IEA","ISS,IEA",,"IDA,ISS,IBA,TAS,IEA","ISS,IEA","IEA","IDA,ISS,IBA,TAS,IEA","IMP,ISS,IEA",,"IDA,IMP,ISS",,"ISS,TAS,IEA","IDA,ISS,IBA,TAS,IEA","IDA,IBA"
"GO:BP","regulation of cardiac muscle cell contraction","GO:0086004","true","0.0006517492761128642","3.18591944252306","34","38","4","21031",,,,,,"IMP",,,,,,,,,,,,,,,,"ISS,IEA",,,,,,,,,,,,,,"ISS,IEA","ISS,IEA",,
"GO:BP","regulation of actin filament-based movement","GO:1903115","false","0.0012744260031126754","2.8946853758657944","40","38","4","21031",,,,,,"IMP",,,,,,,,,,,,,,,,"ISS,IEA",,,,,,,,,,,,,,"ISS,IEA","ISS,IEA",,
"GO:BP","actin-mediated cell contraction","GO:0070252","false","0.0017330470636899144","2.7611896431583904","102","38","5","21031",,,,,,"IMP",,,,,,,,,,,,,"IEA",,,"ISS,IEA",,,,,,,,,,,,,,"ISS,IEA","ISS,IEA",,
"GO:BP","actin filament-based process","GO:0030029","false","0.001837641931598367","2.735739107901178","805","38","10","21031",,,,"IEA","IDA,IMP,IEA","IMP",,,,,,,,,,,,,"IEA",,,"IDA,ISS,IEA","IGI,IBA,IEA",,,"IMP,IBA,IEA","ISS,IBA,IEA",,,,,,,,,"ISS,IEA","ISS,IEA",,
"GO:BP","anatomical structure morphogenesis","GO:0009653","false","0.0019446560729394753","2.7111571957943155","2684","38","17","21031","IBA",,,,,,,"IDA",,,,,,,,,,"IEA","IDA,IEA","ISS,IEA",,"IMP,IEA",,,"ISS,IBA,IEA","IMP,IBA,IEA","ISS,IEA",,"ISS,IBA,TAS,IEA","ISS,IEA",,"IDA","ISS,IEA",,"ISS",,"ISS,IEA","IDA,ISS,IBA,IEA","IDA,IBA"
