"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","PCSK5","ZFHX3","COL25A1","HCRTR2","MDFIC","ADAMTSL1","NFIA","SEMA3E","LRMDA","DLC1","CNTNAP4","TENM1","COL19A1","ADRA1A","NKAIN1","SDK2","MCTP2","HS3ST4","KIAA1217","TLE4","ARSJ","PITPNC1","RYR3","ADAMTSL3","XKR4","RERG","SEMA3A","GARNL3","DSCAML1","KCNK2","TENM3","SEZ6L","ASTN2","AMOTL1","MCC","GRIK3","GAS7","DPP4","RALGPS2","SCN9A","NKAIN3","SORCS3","SGCZ","DIP2A","FGFR1","DCBLD1","DGKG","RXFP1","ZNF385D","ITPR2","DGKH","NPFFR2","TNIK","FRMD3","KCNMB4","GRM5","ASAP2","EPHA5","MCTP1","CNTNAP5","CAMK2D","PTCHD4","ZFPM2","CELF2","LRIG1","MDGA2","CLMP","PCDH15","ROBO2","RNF130","PCDH17","FKBP5","LHFPL3","SPOCK3","CDH10","DPP10","SLC8A1","TBC1D1","ADD3","UTRN","NRXN1","RIPOR2","BCL11B","RASGRP1","TMEFF2","ARHGAP22","TRPM3","CEP126","SLC1A2","LMO3","BRINP3","ALCAM","PLCB4","ARPP21","DOCK4","GRID2","HDAC4","STXBP5","SEC24D","TEAD1","PRKCE","SEL1L3","RAP1GAP2","NRP1","POU6F2","BICD1","ASIC2","GREB1L","CHST11","NOS1AP","NFIB","AOPEP","UST","SLC35F1","CACNA2D3","CADPS","SPARCL1","GRK3","GSG1L","DMD","ERC1","EPHA3","DNAH14","LRP1B","SLC24A2","DDAH1","WWOX","GAB2","PRKG1","BCL11A","STARD13","KCNH5","VWC2L","DOK6","KCNMB2","PDE4B","CNTN4","SLC39A11","MARCHF1","CLSTN2","DPYD","LHFPL6","SLIT3","NKAIN2","GPC5","MEIS2","CDH9","KAZN","MT-CO3"
"GO:MF","calcium ion binding","GO:0005509","true","0.00012024378561386924","3.91993735938943","726","142","20","20212",,,,,,,,,,,,,,,,,"IDA,IBA",,,,,,"IEA",,,,,,,,,,"IDA",,"IEA",,,,,,,,,,,,"IEA",,,"IBA",,,,,,,,,"IDA,IBA",,,,,,,,,"IEA",,,"IEA",,,"IEA","IBA,IEA",,"ISS",,,,"ISS",,,"IMP,TAS,IEA",,,,,,,,,"IEA",,,,,,,,,,,,,,,,,,,,,,,,"IBA,IEA",,,,,,,"IEA",,,,,,,,,,,,,,,,"IEA",,,"NAS,IEA",,,,"IBA,IEA",,
"GO:MF","metal ion transmembrane transporter activity","GO:0046873","true","0.0003889836501800534","3.410068652622386","445","142","15","20212",,,,,,,,,,,,,,,,,,,,,,,"IMP,ISS,IBA,TAS,IEA",,,,,,,"ISS,IBA,IEA",,,,,,"IDA,IBA",,,,"IDA,IBA,TAS,IEA",,,,,,,,,,"ISS,IBA,TAS,IEA",,,,,"IDA,IBA,IEA",,,,,,,,,,,,,,,,,,,,,,"IDA,IMP,IBA,TAS,IEA",,,,,,,,,,"IDA,TAS,IEA",,"IDA,IBA,TAS,IEA",,,,,,,,,,,,,,,,,,"IBA,TAS,IEA",,,,,,,,"IBA,IEA",,,,,,,,,,"IDA,IBA,TAS,IEA",,,,,,,"IBA,IEA",,,"IDA,IBA,IEA",,,"ISS,IBA,IEA",,,,,,,,,,,
"GO:MF","inorganic cation transmembrane transporter activity","GO:0022890","false","0.001727525701037773","2.762575482746323","569","142","16","20212",,,,,,,,,,,,,,,,,,,,,,,"IMP,ISS,IBA,TAS,IEA",,,,,,,"ISS,IBA,IEA",,,,,,"IDA,IBA",,,,"IDA,IBA,TAS,IEA",,,,,,,,,,"ISS,IBA,TAS,IEA",,,,,"IDA,IBA,IEA",,,,,,,,,,,,,,,,,,,,,,"IDA,IMP,IBA,TAS,IEA",,,,,,,,,,"IDA,TAS,IEA",,"IDA,IBA,TAS,IEA",,,,,,,,,,,,,,,,,,"IBA,TAS,IEA",,,,,,,,"IBA,IEA",,,,,,,,,,"IDA,IBA,TAS,IEA",,,,,,,"IBA,IEA",,,"IDA,IBA,IEA",,,"ISS,IBA,IEA",,,,,,,,,,,"IBA,IEA"
"GO:MF","monoatomic cation channel activity","GO:0005261","false","0.003076548925455278","2.5119361740632593","336","142","12","20212",,,,,,,,,,,,,,,,,,,,,,,"IMP,ISS,IBA,TAS,IEA",,,,,,,"ISS,IBA,IEA",,,,,,"IDA,IBA",,,,"IDA,IBA,TAS,IEA",,,,,,,,,,"ISS,IBA,TAS,IEA",,,,,"IDA,IBA,IEA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IDA,IBA,TAS,IEA",,,,,,,,,,,,,,,,,,,,"IBA,TAS,IEA",,,,,,,,"IBA,IEA",,,,,,,,,,"IBA,IEA",,,,,,,"IBA,IEA",,,"IDA,IBA,IEA",,,,,,,,,,,,,,
"GO:MF","monoatomic cation transmembrane transporter activity","GO:0008324","false","0.004009486552355417","2.3969112387902585","608","142","16","20212",,,,,,,,,,,,,,,,,,,,,,,"IMP,ISS,IBA,TAS,IEA",,,,,,,"ISS,IBA,IEA",,,,,,"IDA,IBA",,,,"IDA,IBA,TAS,IEA",,,,,,,,,,"ISS,IBA,TAS,IEA",,,,,"IDA,IBA,IEA",,,,,,,,,,,,,,,,,,,,,,"IDA,IMP,IBA,TAS,IEA",,,,,,,,,,"IDA,IBA,TAS,IEA",,"IDA,IBA,TAS,IEA",,,,,,,,,,,,,,,,,,"IBA,TAS,IEA",,,,,,,,"IBA,IEA",,,,,,,,,,"IDA,IBA,TAS,IEA",,,,,,,"IBA,IEA",,,"IDA,IBA,IEA",,,"ISS,IBA,IEA",,,,,,,,,,,"IBA,IEA"
"GO:MF","ion channel regulator activity","GO:0099106","true","0.00519365969697933","2.2845265099561978","143","142","8","20212",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ISS",,,,,,,,,,,,,,,,,,,,,,,,,"IBA,IEA",,,,,,"IDA",,,,,,,,,,,,,,,"ISS,IBA",,,,,"ISS,IEA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IDA",,,,,,"IBA,TAS,IEA","ISS,IEA",,,,,,,,,,,,,
"GO:MF","channel regulator activity","GO:0016247","false","0.006684636413746578","2.174922209613331","148","142","8","20212",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ISS",,,,,,,,,,,,,,,,,,,,,,,,,"IBA,IEA",,,,,,"IDA",,,,,,,,,,,,,,,"ISS,IBA",,,,,"ISS,IEA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IDA",,,,,,"IBA,TAS,IEA","ISS,IEA",,,,,,,,,,,,,
"GO:MF","transporter regulator activity","GO:0141108","false","0.006684636413746578","2.174922209613331","148","142","8","20212",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ISS",,,,,,,,,,,,,,,,,,,,,,,,,"IBA,IEA",,,,,,"IDA",,,,,,,,,,,,,,,"ISS,IBA",,,,,"ISS,IEA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IDA",,,,,,"IBA,TAS,IEA","ISS,IEA",,,,,,,,,,,,,
"GO:MF","monoatomic ion transmembrane transporter activity","GO:0015075","false","0.009466989207786661","2.0237881179709687","727","142","17","20212",,,,,,,,,,,,,,,,,,,,,,,"IMP,ISS,IBA,TAS,IEA",,,,,,,"ISS,IBA,IEA",,,,,,"IDA,ISS,IBA,IEA",,,,"IDA,IBA,TAS,IEA",,,,,,,,,,"ISS,IBA,TAS,IEA",,,,,"IDA,IBA,IEA",,,,,,,,,,,,,,,,,,,,,,"IDA,IMP,IBA,TAS,IEA",,,,,,,,,,"IDA,IBA,TAS,IEA",,"IDA,IBA,TAS,IEA",,,,,,,"IBA,IEA",,,,,,,,,,,"IBA,TAS,IEA",,,,,,,,"IBA,IEA",,,,,,,,,,"IDA,IBA,TAS,IEA",,,,,,,"IBA,IEA",,,"IDA,IBA,IEA",,,"ISS,IBA,IEA",,,,,,,,,,,"IBA,IEA"
"GO:MF","gated channel activity","GO:0022836","false","0.009605356406565098","2.0174865160149014","315","142","11","20212",,,,,,,,,,,,,,,,,,,,,,,"IMP,ISS,IBA,TAS,IEA",,,,,,,"ISS,IBA,IEA",,,,,,"IDA,ISS,IBA,IEA",,,,"IBA",,,,,,,,,,"ISS,IBA,TAS,IEA",,,,,"IDA,IBA,IEA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IBA,IEA",,,,,,,,,,,"IBA,TAS,IEA",,,,,,,,"IBA",,,,,,,,,,,,,,,,,"IBA,IEA",,,"IDA,IBA,IEA",,,,,,,,,,,,,,
