"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","DPP10","ERBB4","SLIT2","TMEM132C","ADAMTS17","KHDRBS2","HS6ST3","PRKG1","ZNF804A","FMN1","ZNF385D","SLC9A9","KLF12","SPARCL1","SHISA9","KCNC2","ROR1","GRIA4","PLXNA4","SOX6","KIAA1217","KCNAB1","KCND2","MYO5B","FGF12","PTPRM","ATRNL1","RPS6KA2","AGBL4","MAGI1","CACNB4","LRRTM4","GPC5","RASGRF2","KCNH1","CNTNAP5","MYO16","MMP16","DTNA","GABRG3","ASTN2","RBFOX1","ZMAT4","TENM2","OPRD1","EPHA6","PRKCA","CPLX1","SETBP1","GPC6","ANK1","SFMBT2","ERC2","CNTNAP2","SLC24A2","FRMD5","SH3RF3","SUPT3H","KCNMB2","OXR1","LDB2","KAZN","TAFA2","ST6GALNAC5","VWC2","TENM1","CUX2","MAGI2","SRRM4","LUZP2","GRM5","KCNMA1","KIF26B","CAMK1D","UNC5D","ADCY8","MDGA2","PLCE1","DLGAP1","ETV6","MEF2C","CADPS","HCN1","NALF1","CLEC16A","ADGRB3","OSBPL3","CACNA1A","OPCML","ST8SIA1","XYLT1","MAST4","RUNX2","TRPM3","FAM78B","PPP2R2B","SLC26A4","SULF1","ZFPM2","PPARGC1A","SORBS1","UBE2E2","GALNT7","PLCXD3","RYR2","GRIK3","FSTL4","ASAP1","RAP1GAP2","TEAD1","ITPR1","PTPN13","PLCL1","NDST3","SYN2","ALK","PTPRD","PCDH9","GHR","LDLRAD4","NAV1","SRRM3","RASA1","FAM81A","PTCHD4","TRIO","PPFIA2","ASIC2","ZNF536","CAMTA1","IL1RAPL1"
"GO:MF","gated channel activity","GO:0022836","true","6.779592821233281e-8","7.168796388847059","315","127","16","20212",,,,,,,,,,,,,,,,"ISS,IBA,IEA",,"IDA,IMP,ISS,IBA,NAS,IEA",,,,"IEA","IDA,IMP,ISS,IBA,NAS,IEA",,,,,,,,"IDA,IEA",,,,"IDA,IBA,TAS,IEA",,,,,"IBA,IEA",,,,,,,,,,,,,,,,,,,"IDA,IBA,IEA",,,,,,,,,,,,,"IDA,IMP,IBA,IEA",,,,,,,,,,,"IDA,IMP,ISS,IBA,IEA","IBA",,,,"IDA,IMP,IGI,IBA,IEA",,,,,,,,,,,,,,,,,"IDA,ISS,IBA,IEA","IDA,ISS,IBA,IEA",,,,,"ISS,IBA,TAS,IEA",,,,,,,,,,,,,,,,,"IBA,TAS,IEA",,,
"GO:MF","monoatomic ion channel activity","GO:0005216","false","1.735855404773314e-7","6.7604864540008","444","127","18","20212",,,,,,,,,,,,,,,,"ISS,IBA,IEA",,"IDA,IMP,ISS,IBA,NAS,IEA",,,,"IEA","IDA,IMP,ISS,IBA,NAS,IEA",,,,,,,,"IDA,IEA",,,,"IDA,IBA,TAS,IEA",,,,,"IBA,IEA",,,,,,,,,,,,,,,"IBA,IEA",,,,"IDA,IBA,IEA",,,,,,,,,,,,,"IDA,IMP,IBA,IEA",,,,,,,,,,,"IDA,IMP,ISS,IBA,NAS,IEA","IBA",,,,"IDA,IMP,IGI,IBA,IEA",,,,,,"IDA,IBA,TAS,IEA",,,,,,,,,,,"IDA,ISS,IBA,IEA","IDA,ISS,IBA,IEA",,,,,"ISS,IBA,TAS,IEA",,,,,,,,,,,,,,,,,"IBA,TAS,IEA",,,
"GO:MF","monoatomic cation channel activity","GO:0005261","false","1.7484328997475463e-7","6.757351030113988","336","127","16","20212",,,,,,,,,,,,,,,,"ISS,IBA,IEA",,,,,,"IEA","IDA,IMP,ISS,IBA,NAS,IEA",,,,,,,,"IDA,IEA",,,,"IDA,IBA,TAS,IEA",,,,,,,,,,,,,,,,,,,,"IBA,IEA",,,,"IDA,IBA,IEA",,,,,,,,,,,,,"IDA,IMP,IBA,IEA",,,,,,,,,,,"IDA,IMP,ISS,IBA,NAS,IEA","IBA",,,,"IDA,IMP,IGI,IBA,IEA",,,,,,"IDA,IBA,TAS,IEA",,,,,,,,,,,"IDA,ISS,IBA,IEA","IDA,IBA",,,,,"ISS,IBA,TAS,IEA",,,,,,,,,,,,,,,,,"IBA,TAS,IEA",,,
"GO:MF","metal ion transmembrane transporter activity","GO:0046873","false","0.0000013654286781713992","5.864730979878369","445","127","17","20212",,,,,,,,,,,,"ISS,IBA,TAS,IEA",,,,"ISS,IBA,IEA",,,,,,"IEA","IDA,IMP,ISS,IBA,NAS,IEA",,,,,,,,"IDA,IEA",,,,"IDA,IBA,TAS,IEA",,,,,,,,,,,,,,,,,,,,"IDA,IBA,TAS,IEA",,,,"IDA,IBA,IEA",,,,,,,,,,,,,"IDA,IMP,IBA,IEA",,,,,,,,,,,"IMP,ISS,IBA,NAS,IEA","IBA",,,,"IDA,IMP,IGI,IBA,IEA",,,,,,"IDA,TAS,IEA",,,,,,,,,,,"IDA,ISS,IBA,IEA","IDA,IBA",,,,,"ISS,IBA,TAS,IEA",,,,,,,,,,,,,,,,,"IBA,TAS,IEA",,,
"GO:MF","channel activity","GO:0015267","false","0.0000014241812005365507","5.846434751298368","507","127","18","20212",,,,,,,,,,,,,,,,"ISS,IBA,IEA",,"IDA,IMP,ISS,IBA,NAS,IEA",,,,"IEA","IDA,IMP,ISS,IBA,NAS,IEA",,,,,,,,"IDA,IEA",,,,"IDA,IBA,TAS,IEA",,,,,"IBA,IEA",,,,,,,,,,,,,,,"IBA,IEA",,,,"IDA,IBA,IEA",,,,,,,,,,,,,"IDA,IMP,IBA,IEA",,,,,,,,,,,"IDA,IMP,ISS,IBA,NAS,IEA","IBA",,,,"IDA,IMP,IGI,IBA,IEA",,,,,,"IDA,IBA,TAS,IEA",,,,,,,,,,,"IDA,ISS,IBA,IEA","IDA,ISS,IBA,IEA",,,,,"ISS,IBA,TAS,IEA",,,,,,,,,,,,,,,,,"IBA,TAS,IEA",,,
"GO:MF","passive transmembrane transporter activity","GO:0022803","false","0.0000014688336989888776","5.833027372147035","508","127","18","20212",,,,,,,,,,,,,,,,"ISS,IBA,IEA",,"IDA,IMP,ISS,IBA,NAS,IEA",,,,"IEA","IDA,IMP,ISS,IBA,NAS,IEA",,,,,,,,"IDA,IEA",,,,"IDA,IBA,TAS,IEA",,,,,"IBA,IEA",,,,,,,,,,,,,,,"IBA,IEA",,,,"IDA,IBA,IEA",,,,,,,,,,,,,"IDA,IMP,IBA,IEA",,,,,,,,,,,"IDA,IMP,ISS,IBA,NAS,IEA","IBA",,,,"IDA,IMP,IGI,IBA,IEA",,,,,,"IDA,IBA,TAS,IEA",,,,,,,,,,,"IDA,ISS,IBA,IEA","IDA,ISS,IBA,IEA",,,,,"ISS,IBA,TAS,IEA",,,,,,,,,,,,,,,,,"IBA,TAS,IEA",,,
"GO:MF","inorganic molecular entity transmembrane transporter activity","GO:0015318","false","0.000005777146160906192","5.238286644736232","692","127","20","20212",,,,,,,,,,,,"ISS,IBA,TAS,IEA",,,,"ISS,IBA,IEA",,"IDA,IBA",,,,"IEA","IDA,IMP,ISS,IBA,NAS,IEA",,,,,,,,"IDA,IEA",,,,"IDA,IBA,TAS,IEA",,,,,"IBA,IEA",,,,,,,,,,,,,,,"IDA,IBA,TAS,IEA",,,,"IDA,IBA,IEA",,,,,,,,,,,,,"IDA,IMP,IBA,IEA",,,,,,,,,,,"IMP,ISS,IBA,NAS,IEA","IBA",,,,"IDA,IMP,IGI,IBA,IEA",,,,,,"IDA,TAS,IEA",,,"IDA,IMP,IBA,TAS,IEA",,,,,,,,"IDA,ISS,IBA,IEA","IDA,IBA",,,,,"ISS,IBA,TAS,IEA",,,,,,,,,,,,,,,,,"IBA,TAS,IEA",,,
"GO:MF","inorganic cation transmembrane transporter activity","GO:0022890","false","0.00000850718788064314","5.070213975726243","569","127","18","20212",,,,,,,,,,,,"ISS,IBA,TAS,IEA",,,,"ISS,IBA,IEA",,"IDA,IBA",,,,"IEA","IDA,IMP,ISS,IBA,NAS,IEA",,,,,,,,"IDA,IEA",,,,"IDA,IBA,TAS,IEA",,,,,,,,,,,,,,,,,,,,"IDA,IBA,TAS,IEA",,,,"IDA,IBA,IEA",,,,,,,,,,,,,"IDA,IMP,IBA,IEA",,,,,,,,,,,"IMP,ISS,IBA,NAS,IEA","IBA",,,,"IDA,IMP,IGI,IBA,IEA",,,,,,"IDA,TAS,IEA",,,,,,,,,,,"IDA,ISS,IBA,IEA","IDA,IBA",,,,,"ISS,IBA,TAS,IEA",,,,,,,,,,,,,,,,,"IBA,TAS,IEA",,,
"GO:MF","monoatomic ion transmembrane transporter activity","GO:0015075","false","0.000013104291992483644","4.8825864384383895","727","127","20","20212",,,,,,,,,,,,"ISS,IBA,TAS,IEA",,,,"ISS,IBA,IEA",,"IDA,IMP,ISS,IBA,NAS,IEA",,,,"IEA","IDA,IMP,ISS,IBA,NAS,IEA",,,,,,,,"IDA,IEA",,,,"IDA,IBA,TAS,IEA",,,,,"IBA,IEA",,,,,,,,,,,,,,,"IDA,IBA,TAS,IEA",,,,"IDA,IBA,IEA",,,,,,,,,,,,,"IDA,IMP,IBA,IEA",,,,,,,,,,,"IDA,IMP,ISS,IBA,NAS,IEA","IBA",,,,"IDA,IMP,IGI,IBA,IEA",,,,,,"IDA,IBA,TAS,IEA",,,"IDA,IMP,IBA,TAS,IEA",,,,,,,,"IDA,ISS,IBA,IEA","IDA,ISS,IBA,IEA",,,,,"ISS,IBA,TAS,IEA",,,,,,,,,,,,,,,,,"IBA,TAS,IEA",,,
"GO:MF","potassium ion transmembrane transporter activity","GO:0015079","false","0.00003477824056696735","4.458692392758414","161","127","10","20212",,,,,,,,,,,,"ISS,IBA,IEA",,,,"ISS,IBA,IEA",,,,,,"IEA","IDA,IMP,ISS,IBA,NAS,IEA",,,,,,,,,,,,"IDA,IBA,TAS,IEA",,,,,,,,,,,,,,,,,,,,"IDA,IBA,TAS,IEA",,,,"IDA,IBA,IEA",,,,,,,,,,,,,"IDA,IMP,IBA,IEA",,,,,,,,,,,"IMP,ISS,IBA,NAS,IEA",,,,,,,,,,,,,,,,,,,,,,,"IDA,IBA",,,,,,,,,,,,,,,,,,,,,,,,,
