"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","ADARB2","RELN","GALNTL6","FSTL5","NPAS3","MAML3","NCAM2","KCNIP4","CNTN5","CXCL14","SHISA9","INPP4B","GRIK2","PLD5","CNTNAP4","CHRNA7","NRXN1","NKAIN2","ADRA1A","DOCK10","KCNQ5","IL1RAPL2","GAS7","PRR16","NCKAP5","SORCS1","ERBB4","CHST11","DCC","ASIC2","DGKB","PCSK2","ZBTB16","CHL1","KCNT2","DAB1","KCNB2","HPSE2","SEZ6L","PID1","SORCS3","COBL","PRKCA","ARPP21","CSMD3","CCDC85A","SDK2","NFIB","EGFR","SLC8A1","HS3ST5","FREM1","SPOCK1","PHACTR1","CCK"
"GO:MF","potassium channel activity","GO:0005267","true","0.008523834065208829","2.0693650133531434","124","52","5","20212",,,,,,,,"IEA",,,,,"IDA,IBA,TAS,IEA",,,,,,,,"IDA,IMP,IBA,IEA",,,,,,,,,,,,,,"IMP,IBA,IEA",,"ISS,IBA,TAS,IEA",,,,,,,,,,,,,,,,,,
"GO:MF","metal ion transmembrane transporter activity","GO:0046873","false","0.008601924367327712","2.0654043803121094","445","52","8","20212",,,,,,,,"IEA",,,,,"IDA,IBA,TAS,IEA",,,"TAS",,,,,"IDA,IMP,IBA,IEA",,,,,,,,,"IBA,TAS,IEA",,,,,"IMP,IBA,IEA",,"ISS,IBA,TAS,IEA",,,,,,,,,,,,,"IDA,IMP,IBA,TAS,IEA",,,,,
"GO:MF","epidermal growth factor receptor activity","GO:0005006","true","0.010022569086410676","1.9990209414387756","3","52","2","20212",,,,,,,,,,,,,,,,,,,,,,,,,,,"IEA",,,,,,,,,,,,,,,,,,,,,,"IDA,IMP,IBA,NAS,IEA",,,,,,
"GO:MF","monoatomic cation channel activity","GO:0005261","false","0.011956541734311259","1.9223944159067592","336","52","7","20212",,,,,,,,"IEA",,,,,"IDA,IBA,TAS,IEA",,,"IDA,ISS,IBA,TAS,IEA",,,,,"IDA,IMP,IBA,IEA",,,,,,,,,"IBA,TAS,IEA",,,,,"IMP,IBA,IEA",,"ISS,IBA,TAS,IEA",,,,,,,,,,,,,,,,,,
"GO:MF","potassium ion transmembrane transporter activity","GO:0015079","false","0.029838045009074325","1.5252296352739407","161","52","5","20212",,,,,,,,"IEA",,,,,"IDA,IBA,TAS,IEA",,,,,,,,"IDA,IMP,IBA,IEA",,,,,,,,,,,,,,"IMP,IBA,IEA",,"ISS,IBA,TAS,IEA",,,,,,,,,,,,,,,,,,
"GO:MF","inorganic cation transmembrane transporter activity","GO:0022890","false","0.04890588373153085","1.310638888965913","569","52","8","20212",,,,,,,,"IEA",,,,,"IDA,IBA,TAS,IEA",,,"TAS",,,,,"IDA,IMP,IBA,IEA",,,,,,,,,"IBA,TAS,IEA",,,,,"IMP,IBA,IEA",,"ISS,IBA,TAS,IEA",,,,,,,,,,,,,"IDA,IMP,IBA,TAS,IEA",,,,,
"GO:BP","neuron projection development","GO:0031175","true","6.536649426043454e-7","6.184644806516039","1014","54","17","21031",,"ISS,IEA",,,,,"IEA",,"IBA",,,,,,,"ISS","IGI,TAS,NAS",,,"ISS,IBA,IEA",,,"IBA",,,,,,"IBA,TAS,IEA",,,,,"IEA",,"IEA",,,,,,"ISS,IEA",,,"ISS,IEA",,,"ISS,IEA","IEA",,,,"IDA","ISS,IEA","ISS"
"GO:BP","neuron projection morphogenesis","GO:0048812","false","0.000001505650371025304","5.8222758644983745","655","54","14","21031",,"ISS,IEA",,,,,,,"IBA",,,,,,,"ISS","TAS,NAS",,,"ISS,IBA,IEA",,,"IBA",,,,,,"IBA,TAS,IEA",,,,,"IEA",,"IEA",,,,,,"ISS,IEA",,,,,,"ISS,IEA","IEA",,,,,"ISS,IEA","ISS"
"GO:BP","plasma membrane bounded cell projection morphogenesis","GO:0120039","false","0.0000020571743274126653","5.686728904112072","671","54","14","21031",,"ISS,IEA",,,,,,,"IBA",,,,,,,"ISS","TAS,NAS",,,"ISS,IBA,IEA",,,"IBA",,,,,,"IBA,TAS,IEA",,,,,"IEA",,"IEA",,,,,,"ISS,IEA",,,,,,"ISS,IEA","IEA",,,,,"ISS,IEA","ISS"
"GO:BP","cell projection morphogenesis","GO:0048858","false","0.0000022641067512290043","5.645103100285569","676","54","14","21031",,"ISS,IEA",,,,,,,"IBA",,,,,,,"ISS","TAS,NAS",,,"ISS,IBA,IEA",,,"IBA",,,,,,"IBA,TAS,IEA",,,,,"IEA",,"IEA",,,,,,"ISS,IEA",,,,,,"ISS,IEA","IEA",,,,,"ISS,IEA","ISS"
"GO:BP","neuron differentiation","GO:0030182","false","0.0000022733333265575983","5.643336881357611","1431","54","19","21031",,"ISS,NAS,IEA",,,,,"IEA",,"IBA",,,,,,,"ISS","IGI,ISS,TAS,NAS",,,"ISS,IBA,IEA",,,"IBA",,,,"ISS,IEA",,"IBA,TAS,IEA",,,,,"IEA",,"IEA",,,,,,"ISS,IEA",,,"ISS,IEA",,"ISS,IEA","ISS,IEA","IEA",,,,"IDA,ISS","ISS,IEA","ISS"
"GO:BP","neuron development","GO:0048666","false","0.000005561437494959298","5.254812939454088","1167","54","17","21031",,"ISS,IEA",,,,,"IEA",,"IBA",,,,,,,"ISS","IGI,TAS,NAS",,,"ISS,IBA,IEA",,,"IBA",,,,,,"IBA,TAS,IEA",,,,,"IEA",,"IEA",,,,,,"ISS,IEA",,,"ISS,IEA",,,"ISS,IEA","IEA",,,,"IDA","ISS,IEA","ISS"
"GO:BP","generation of neurons","GO:0048699","false","0.000005809024190360824","5.235896814999353","1514","54","19","21031",,"ISS,IBA,NAS,IEA",,,,,"IEA",,"IBA",,,,,,,"ISS","IGI,ISS,TAS,NAS",,,"ISS,IBA,IEA",,,"IBA",,,,"ISS,IEA",,"IBA,TAS,IEA",,,,,"IEA",,"IBA,IEA",,,,,,"ISS,IEA",,,"ISS,IEA",,"ISS,IEA","ISS,IEA","IEA",,,,"IDA,ISS","ISS,IEA","ISS"
"GO:BP","nervous system development","GO:0007399","false","0.000005934497041332293","5.226616082342077","2531","54","24","21031",,"ISS,IBA,NAS,IEA",,,,,"IEA",,"IBA,IEA",,,,,,,"ISS","IGI,ISS,TAS,NAS,IEA",,,"ISS,IBA,IEA",,"IDA,IMP,TAS","IBA,IEA",,,,"ISS,IBA,IEA",,"IBA,TAS,IEA","TAS,IEA",,"IEA","ISS,IEA","IEA",,"IBA,IEA",,,"IBA",,,"ISS,IEA",,,"ISS,IEA",,"ISS,IEA","IMP,ISS,IEA","IBA,IEA",,,,"IDA,ISS,NAS","ISS,IEA","ISS"
"GO:BP","cellular anatomical entity morphogenesis","GO:0032989","false","0.000015334173504690974","4.8143396270519005","785","54","14","21031",,"ISS,IEA",,,,,,,"IBA",,,,,,,"ISS","TAS,NAS",,,"ISS,IBA,IEA",,,"IBA",,,,,,"IBA,TAS,IEA",,,,,"IEA",,"IEA",,,,,,"ISS,IEA",,,,,,"ISS,IEA","IEA",,,,,"ISS,IEA","ISS"
"GO:BP","system development","GO:0048731","false","0.000022488859586926583","4.648032567137173","3973","54","29","21031",,"ISS,IBA,NAS,IEA",,,,,"IEA",,"IBA,IEA",,,,,,,"IMP,ISS","IGI,ISS,TAS,NAS,IEA",,"IEA","ISS,IBA,IEA",,"IDA,IMP,TAS","IBA,IEA",,,,"ISS,IBA,IEA","IEA","IBA,TAS,IEA","TAS,IEA",,"IEA","IDA,IMP,ISS,IEA","IEA",,"IBA,IEA",,,"IBA",,,"ISS,IEA","IMP,IEA",,"ISS,IEA",,"ISS,IEA","IMP,ISS,IEA","IMP,IBA,IEA","ISS",,"IMP","IDA,ISS,NAS","ISS,IEA","ISS"
"GO:BP","neurogenesis","GO:0022008","false","0.00005758950434434851","4.239656659296812","1742","54","19","21031",,"ISS,IBA,NAS,IEA",,,,,"IEA",,"IBA",,,,,,,"ISS","IGI,ISS,TAS,NAS",,,"ISS,IBA,IEA",,,"IBA",,,,"ISS,IBA,IEA",,"IBA,TAS,IEA",,,,,"IEA",,"IBA,IEA",,,,,,"ISS,IEA",,,"ISS,IEA",,"ISS,IEA","ISS,IEA","IBA,IEA",,,,"IDA,ISS","ISS,IEA","ISS"
"GO:BP","cell morphogenesis involved in neuron differentiation","GO:0048667","false","0.00005900951219521487","4.229077975461019","597","54","12","21031",,"ISS,IEA",,,,,,,"IBA",,,,,,,"ISS","TAS",,,"ISS,IBA,IEA",,,,,,,,,"IBA,TAS,IEA",,,,,"IEA",,"IEA",,,,,,"ISS,IEA",,,,,,"ISS,IEA",,,,,,"ISS,IEA","ISS"
"GO:BP","synapse organization","GO:0050808","true","0.00007142424926604643","4.146154315752036","485","54","11","21031",,"ISS,IEA",,,,,,,"IEA",,,,,,,"ISS","ISS,TAS,NAS,IEA",,,"ISS,IBA,IEA",,"IDA,IMP",,,,,"IEA",,,"IEA","IEA",,,,,,,,"IBA",,,,,,,,"ISS,IEA",,,,,,,,
"GO:BP","modulation of chemical synaptic transmission","GO:0050804","true","0.0000776578743975824","4.109814500862265","489","54","11","21031",,"ISS,NAS,IEA",,,,,,,,,"ISS,IBA,IEA",,"IDA,IMP,IBA,IEA",,"ISS","ISS","ISS,NAS,IEA",,"ISS",,,,,,,,,,"IEA",,"IEA",,,,,,,,,,"IEA",,,,,,,,"IEA",,,,,,
"GO:BP","regulation of trans-synaptic signaling","GO:0099177","false","0.00007929014123967697","4.100780808538365","490","54","11","21031",,"ISS,NAS,IEA",,,,,,,,,"ISS,IBA,IEA",,"IDA,IMP,IBA,IEA",,"ISS","ISS","ISS,NAS,IEA",,"ISS",,,,,,,,,,"IEA",,"IEA",,,,,,,,,,"IEA",,,,,,,,"IEA",,,,,,
"GO:BP","cell development","GO:0048468","false","0.00026131910176926184","3.5828288432777384","2819","54","23","21031",,"ISS,IEA",,,,,"IEA",,"IBA",,,,,,,"ISS","IGI,TAS,NAS",,"IEA","ISS,IBA,IEA",,,"IBA",,,,"ISS,IEA","IEA","IBA,TAS,IEA",,,,"IDA,ISS,TAS,IEA","IEA",,"IEA",,,,,,"ISS,IEA","ISS",,"ISS,IEA",,,"ISS,IEA","IEA","ISS",,,"IDA","ISS,IEA","ISS"
"GO:BP","cell morphogenesis","GO:0000902","false","0.0002642208578947464","3.578032901668349","986","54","14","21031",,"ISS,IEA",,,,,,,"IBA",,,,,,,"ISS","TAS,NAS",,,"ISS,IBA,IEA",,,"IBA",,,,,,"IBA,TAS,IEA",,,,,"IEA",,"IEA",,,,,,"ISS,IEA",,,,,,"ISS,IEA","IEA",,,,,"ISS,IEA","ISS"
"GO:BP","dendrite development","GO:0016358","false","0.00033097969586281286","3.48019864744847","238","54","8","21031",,"ISS,IEA",,,,,,,,,,,,,,"ISS",,,,"ISS,IBA,IEA",,,,,,,,,"TAS",,,,,,,"IEA",,,,,,"ISS,IEA",,,"ISS,IEA",,,,,,,,,"ISS,IEA",
