"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","GRIK1","IL1RAPL2","NPY","SCHIP1","NRG1","NELL1","GRM8","SOX6","LHFPL3","UNC5D","CACNA2D3","SST","RPS6KA2","NEGR1","LARGE1","MPPED2","NOS1","PCDH7","GRM1","RBFOX1","PTPRT","PDE4B","XYLT1","SPOCK1","PDE4D","RALYL","TMTC1","TACR1","PDZRN4","GPC6","GRM7","ELL2","RIT2","PDE1A","BCL11A","FAT3","MAML2","LRP8","PCSK2","IQCJ","CA10","ITPR2","PAM","PLCB1","ROBO1","GULP1","XKR4","TRPC6","CCSER1","CTTNBP2","GRIA3","MPDZ","GRK5","DGKG","NCAM2","CDH4","MCUB","NXPH2","KCNB2","EPB41L2","SRGAP1","KIF26B","MARCHF4","PARD3","CDH8","GRIK3","COL24A1","DMD","PLXNA2","RUNX1T1","CADM1","NKAIN2","CACNA1E","SCN9A","RYR2","GALNT10","BRINP3","PCSK5","GALNT18","RIMS2","TMEFF2","SHISA6","TOX","FNDC3A","AGBL4","NTM","CARMIL1","TENM3","CUX1","GRIN2A","GRK4","PALM2AKAP2","EPHA6","NALF1","CADPS","ENPP1","RAPGEF4","UNC5C","BCL11B","DNAH14","GAP43","EPHA5","DKK2","PIP5K1B","PACRG","RBMS3","KCNIP1","PTPRD","CAMK4","SORCS2","NOS1AP","PTPRM","SIPA1L1","GRIA1","SIDT1","ARHGAP44","ANOS1","TRPM3","NRXN3","ZNF385D","L3MBTL4","HTR4","GUCY1A2","COL19A1","TCF4","KCTD16"
"GO:MF","glutamate receptor activity","GO:0008066","true","1.1723494361055309e-9","8.930942921122298","27","120","8","20212","IDA,IBA,TAS,IEA",,,,,,"IMP,IBA,IEA",,,,,,,,,,,,"IDA,IBA,TAS,IEA",,,,,,,,,,,,"IDA,IBA,IEA",,,,,,,,,,,,,,,,,,,,"IDA,IBA,IEA",,,,,,,,,,,,,,,"IDA,ISS,IBA,TAS,IEA",,,,,,,,,,,,,,,,,,,,,,,,"IDA,IMP,ISS,IBA,TAS,IEA",,,,,,,,,,,,,,,,,,,,,,,,"IDA,IBA,TAS,IEA",,,,,,,,,,,,
"GO:MF","monoatomic ion channel activity","GO:0005216","true","0.000029000957669961534","4.537587660586817","444","120","15","20212","IDA,IBA,TAS,IEA",,,,,,,,,,"IBA,IEA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ISS,IBA,TAS,IEA",,,,,,"IDA,IBA,TAS,IEA",,,"IDA,IMP,IBA,NAS,IEA",,,,,,,,"ISS,IBA,TAS,IEA",,,,,,,"IDA,ISS,IBA,IEA",,,,,,,"IDA,IBA,TAS,IEA","IDA,IBA,TAS,IEA","IDA,ISS,IBA,IEA",,,,,,,,,,,,,,,"IDA,IMP,ISS,IBA,TAS,IEA",,,,"IBA",,,,,,,,,,,,,"IEA",,,,,,,"IDA,IMP,IBA,NAS,IEA",,,,"IDA,IBA,TAS,IEA",,,,,,,,
"GO:MF","calcium channel activity","GO:0005262","false","0.00003175529262312338","4.498183880908776","127","120","9","20212",,,,,,,,,,,"IBA,IEA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ISS,IBA,TAS,IEA",,,,,,"IBA,TAS,IEA",,,,,,,,,,,,,,,,,,,,,,,,,"IDA,IBA,TAS,IEA","IBA","IDA,ISS,IBA,IEA",,,,,,,,,,,,,,,"IDA,IMP,IEA",,,,"IBA",,,,,,,,,,,,,,,,,,,,,,,,"IDA,TAS,IEA",,,,,,,,
"GO:MF","glutamate-gated receptor activity","GO:0004970","false","0.00003514163309472231","4.454178059928198","19","120","5","20212","IDA,IBA,TAS,IEA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IDA,IBA,IEA",,,,,,,,,,,,,,,"IDA,ISS,IBA,IEA",,,,,,,,,,,,,,,,,,,,,,,,"IDA,IMP,ISS,IBA,TAS,IEA",,,,,,,,,,,,,,,,,,,,,,,,"IDA,IBA,IEA",,,,,,,,,,,,
"GO:MF","monoatomic cation channel activity","GO:0005261","false","0.00004959893765742186","4.304527625414248","336","120","13","20212","IDA,IBA,TAS",,,,,,,,,,"IBA,IEA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ISS,IBA,TAS,IEA",,,,,,"IDA,IBA,TAS,IEA",,,,,,,,,,,"ISS,IBA,TAS,IEA",,,,,,,"IDA,IBA",,,,,,,"IDA,IBA,TAS,IEA","IDA,IBA,TAS,IEA","IDA,ISS,IBA,IEA",,,,,,,,,,,,,,,"IDA,IMP,IEA",,,,"IBA",,,,,,,,,,,,,"IEA",,,,,,,,,,,"IDA,IBA,TAS,IEA",,,,,,,,
"GO:MF","adenylate cyclase inhibiting G protein-coupled glutamate receptor activity","GO:0001640","false","0.00006928627885988402","4.159352762580791","9","120","4","20212",,,,,,,"IBA",,,,,,,,,,,,"IBA",,,,,,,,,,,,"IDA,IBA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IDA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GO:MF","G protein-coupled glutamate receptor activity","GO:0098988","false","0.00006928627885988402","4.159352762580791","9","120","4","20212",,,,,,,"IBA",,,,,,,,,,,,"IBA",,,,,,,,,,,,"IDA,IBA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IDA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GO:MF","calcium ion transmembrane transporter activity","GO:0015085","false","0.00009934304978614442","4.002862511494385","145","120","9","20212",,,,,,,,,,,"IBA,IEA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ISS,IBA,TAS,IEA",,,,,,"IBA,TAS,IEA",,,,,,,,,,,,,,,,,,,,,,,,,"IDA,IBA,TAS,IEA","IBA","IDA,ISS,IBA,IEA",,,,,,,,,,,,,,,"IDA,IMP,IEA",,,,"IBA",,,,,,,,,,,,,,,,,,,,,,,,"IDA,TAS,IEA",,,,,,,,
"GO:MF","channel activity","GO:0015267","false","0.00016018749505494276","3.795371389878539","507","120","15","20212","IDA,IBA,TAS,IEA",,,,,,,,,,"IBA,IEA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ISS,IBA,TAS,IEA",,,,,,"IDA,IBA,TAS,IEA",,,"IDA,IMP,IBA,NAS,IEA",,,,,,,,"ISS,IBA,TAS,IEA",,,,,,,"IDA,ISS,IBA,IEA",,,,,,,"IDA,IBA,TAS,IEA","IDA,IBA,TAS,IEA","IDA,ISS,IBA,IEA",,,,,,,,,,,,,,,"IDA,IMP,ISS,IBA,TAS,IEA",,,,"IBA",,,,,,,,,,,,,"IEA",,,,,,,"IDA,IMP,IBA,NAS,IEA",,,,"IDA,IBA,TAS,IEA",,,,,,,,
"GO:MF","passive transmembrane transporter activity","GO:0022803","false","0.0001642472662642247","3.7845018501166896","508","120","15","20212","IDA,IBA,TAS,IEA",,,,,,,,,,"IBA,IEA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ISS,IBA,TAS,IEA",,,,,,"IDA,IBA,TAS,IEA",,,"IDA,IMP,IBA,NAS,IEA",,,,,,,,"ISS,IBA,TAS,IEA",,,,,,,"IDA,ISS,IBA,IEA",,,,,,,"IDA,IBA,TAS,IEA","IDA,IBA,TAS,IEA","IDA,ISS,IBA,IEA",,,,,,,,,,,,,,,"IDA,IMP,ISS,IBA,TAS,IEA",,,,"IBA",,,,,,,,,,,,,"IEA",,,,,,,"IDA,IMP,IBA,NAS,IEA",,,,"IDA,IBA,TAS,IEA",,,,,,,,
"GO:MF","transmembrane signaling receptor activity","GO:0004888","false","0.00017291828832946595","3.7621590720786298","1269","120","24","20212","IDA,IBA,TAS,IEA","TAS,IEA","TAS",,,,"IMP,IBA,IEA",,,"IBA,IEA",,,,,,,,,"IDA,IBA,TAS,IEA",,"IDA",,,,,,,"IMP,IBA,TAS,IEA",,,"IDA,IBA,IEA",,,,,,,"ISS,TAS,IEA",,,,,,,"IDA,IEA",,,,,,"IDA,IBA,IEA",,,,,,,,,,,,,,,"IDA,ISS,IBA,TAS,IEA",,,"ISS,IBA,IEA",,,,,,,,,,,,,,,,,,,,,"IDA,IMP,ISS,IBA,TAS,IEA",,,"IBA,IEA",,,,,"ISS,IBA,TAS,IEA",,,,"ISS,IBA,NAS,IEA",,,,,,"TAS",,"NAS",,"IDA",,"IDA,IBA,TAS,IEA",,,,,"NAS",,,"IDA,IBA,TAS,IEA",,,,
"GO:MF","gated channel activity","GO:0022836","false","0.00018621485013670065","3.729985688149202","315","120","12","20212","IDA,IBA,TAS,IEA",,,,,,,,,,"IBA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ISS,IBA,TAS,IEA",,,,,,,,,"IDA,IMP,IBA,NAS,IEA",,,,,,,,"ISS,IBA,TAS,IEA",,,,,,,"IDA,ISS,IBA,IEA",,,,,,,"IDA,IBA,TAS,IEA","IBA","IDA,ISS,IBA,IEA",,,,,,,,,,,,,,,"IDA,IMP,ISS,IBA,TAS,IEA",,,,"IBA",,,,,,,,,,,,,,,,,,,,"IDA,IMP,IBA,NAS,IEA",,,,,,,,,,,,
"GO:MF","inorganic cation transmembrane transporter activity","GO:0022890","false","0.0006807119128487228","3.1670366489264836","569","120","15","20212","IDA,IBA,TAS",,,,,,,,,,"IBA,IEA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ISS,IBA,TAS,IEA",,,,,,"IBA,TAS,IEA",,,"IDA,IBA",,,,,,,,"ISS,IBA,TAS,IEA",,,,,,,"IDA,IBA",,,,,,,"IDA,IBA,TAS,IEA","IDA,IBA,TAS,IEA","IDA,ISS,IBA,IEA",,,,,,,,,,,,,,,"IDA,IMP,ISS,IBA,TAS,IEA",,,,"IBA",,,,,,,,,,,,,"IEA",,,,,,,"IDA,IBA,IEA",,,,"IDA,TAS,IEA",,,,,,,,
