"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","GRIK1","RALYL","SST","STXBP6","GRM1","TRHDE","BCL11A","CRB1","GRIK3","EPB41L2","UST","KIF26B","GRIN3A","GRID2","NETO1","SPOCK3","WLS","SATB1","CDH9","PLCH1","DMD","GPC6","TMTC1","CDH8","CACNA2D3","SORBS2","KIAA1217","MAN1A1","ROBO2","NRXN3","GPM6A","ST6GALNAC5","TSHZ3","GRIA3","DAPK1","RUNX1T1","RASGRF2","SOX6","RYR2","CTNNA2","SHISA6","NETO2","LHFPL3","RGS6","SLC8A1","TIAM1","RBFOX1","XKR4","ROBO1","TMEFF2","PCDH15","PDE4B","ADCY2","SLC24A2","SYNPR","PPP2R2B","GRIK2","TENM3","OXR1","PACRG","TENM2","PDE1C","ASTN2","LRRTM4","NPAS3"
"GO:MF","glutamate receptor activity","GO:0008066","true","9.708539212410448e-10","9.012846110948342","27","64","7","20212","IDA,IBA,TAS,IEA",,,,"IDA,IBA,TAS,IEA",,,,"IDA,ISS,IBA,TAS,IEA",,,,"IDA,ISS,IBA,IEA","IBA,TAS,IEA",,,,,,,,,,,,,,,,,,,,"IDA,IBA,IEA",,,,,,,,,,,,,,,,,,,,,,,"IDA,IBA,TAS,IEA",,,,,,,,
"GO:MF","glutamate-gated receptor activity","GO:0004970","false","1.0515289980832799e-8","7.978178746245464","19","64","6","20212","IDA,IBA,TAS,IEA",,,,,,,,"IDA,ISS,IBA,IEA",,,,"IDA,ISS,IEA","IEA",,,,,,,,,,,,,,,,,,,,"IDA,IBA,IEA",,,,,,,,,,,,,,,,,,,,,,,"IDA,IBA,TAS,IEA",,,,,,,,
"GO:MF","postsynaptic neurotransmitter receptor activity","GO:0098960","false","0.000001440959141472196","5.841348333471046","72","64","7","20212","IBA",,,,"IBA,IEA",,,,"IBA",,,,"IBA,IEA","IBA",,,,,,,,,,,,,,,,,,,,"IBA,IEA",,,,,,,,,,,,,,,,,,,,,,,"IBA,IEA",,,,,,,,
"GO:MF","transmitter-gated monoatomic ion channel activity involved in regulation of postsynaptic membrane potential","GO:1904315","false","0.000010282023446219009","4.98792141014104","55","64","6","20212","IBA",,,,,,,,"IBA",,,,"IBA,IEA","IBA",,,,,,,,,,,,,,,,,,,,"IBA,IEA",,,,,,,,,,,,,,,,,,,,,,,"IBA,IEA",,,,,,,,
"GO:MF","neurotransmitter receptor activity involved in regulation of postsynaptic membrane potential","GO:0099529","false","0.00001280744640004889","4.892537452996943","57","64","6","20212","IBA",,,,,,,,"IBA",,,,"IBA,IEA","IBA",,,,,,,,,,,,,,,,,,,,"IBA,IEA",,,,,,,,,,,,,,,,,,,,,,,"IBA,IEA",,,,,,,,
"GO:MF","neurotransmitter receptor activity","GO:0030594","false","0.00001461095712365001","4.83532133369578","100","64","7","20212","IDA,IBA,TAS,IEA",,,,"IBA,IEA",,,,"IDA,ISS,IBA,IEA",,,,"IDA,ISS,IBA,IEA","IBA,IEA",,,,,,,,,,,,,,,,,,,,"IDA,IBA,IEA",,,,,,,,,,,,,,,,,,,,,,,"IDA,IBA,TAS,IEA",,,,,,,,
"GO:MF","transmitter-gated channel activity","GO:0022835","false","0.00001940486429060786","4.712089390184788","61","64","6","20212","IDA,IBA,TAS,IEA",,,,,,,,"IDA,ISS,IBA,IEA",,,,"IDA,ISS,IBA,IEA","IBA,IEA",,,,,,,,,,,,,,,,,,,,"IDA,IBA,IEA",,,,,,,,,,,,,,,,,,,,,,,"IDA,IBA,TAS,IEA",,,,,,,,
"GO:MF","transmitter-gated monoatomic ion channel activity","GO:0022824","false","0.00001940486429060786","4.712089390184788","61","64","6","20212","IDA,IBA,TAS,IEA",,,,,,,,"IDA,ISS,IBA,IEA",,,,"IDA,ISS,IBA,IEA","IBA,IEA",,,,,,,,,,,,,,,,,,,,"IDA,IBA,IEA",,,,,,,,,,,,,,,,,,,,,,,"IDA,IBA,TAS,IEA",,,,,,,,
"GO:MF","extracellular ligand-gated monoatomic ion channel activity","GO:0005230","false","0.00006270164438267697","4.202721069425133","74","64","6","20212","IDA,IBA,TAS,IEA",,,,,,,,"IDA,ISS,IBA,IEA",,,,"IDA,ISS,IBA,IEA","IBA,IEA",,,,,,,,,,,,,,,,,,,,"IDA,IBA,IEA",,,,,,,,,,,,,,,,,,,,,,,"IDA,IMP,IBA,TAS,IEA",,,,,,,,
"GO:MF","kainate selective glutamate receptor activity","GO:0015277","false","0.00015223522364357924","3.8174848504289836","5","64","3","20212","IDA,IBA,TAS",,,,,,,,"IDA,IBA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IDA,IBA,TAS,IEA",,,,,,,,
"GO:MF","amino acid transmembrane transporter activity","GO:0015171","false","0.00040137307492578217","3.3964517643930274","101","64","6","20212","IDA,IBA,TAS,IEA",,,,,,,,"IDA,ISS,IBA,IEA",,,,"IDA,ISS,IEA","IEA",,,,,,,,,,,,,,,,,,,,"IDA,IBA,IEA",,,,,,,,,,,,,,,,,,,,,,,"IDA,IBA,TAS,IEA",,,,,,,,
"GO:MF","ligand-gated monoatomic ion channel activity","GO:0015276","false","0.0005736310023372439","3.2413673849201996","171","64","7","20212","IDA,IBA,TAS,IEA",,,,,,,,"IDA,ISS,IBA,IEA",,,,"IDA,ISS,IBA,IEA","IBA,IEA",,,,,,,,,,,,,,,,,,,,"IDA,IMP,IBA,NAS,IEA",,,,,"IDA,ISS,IBA,IEA",,,,,,,,,,,,,,,,,,"IDA,IMP,IBA,TAS,IEA",,,,,,,,
"GO:MF","ligand-gated channel activity","GO:0022834","false","0.0005964901281393511","3.2243967394707274","172","64","7","20212","IDA,IBA,TAS,IEA",,,,,,,,"IDA,ISS,IBA,IEA",,,,"IDA,ISS,IBA,IEA","IBA,IEA",,,,,,,,,,,,,,,,,,,,"IDA,IMP,IBA,NAS,IEA",,,,,"IDA,ISS,IBA,IEA",,,,,,,,,,,,,,,,,,"IDA,IMP,IBA,TAS,IEA",,,,,,,,
"GO:MF","monoatomic ion channel activity","GO:0005216","false","0.0006267558119032976","3.2029016301406616","444","64","10","20212","IDA,IBA,TAS,IEA",,,,,,,,"IDA,ISS,IBA,IEA",,,,"IDA,ISS,IBA,IEA","IBA,IEA",,,,,,,,,,,"IBA,IEA",,,,,,"IEA",,,"IDA,IMP,IBA,NAS,IEA",,,,,"IDA,ISS,IBA,IEA",,,,,,,,,,,,,,,"IBA,IEA",,,"IDA,IMP,IBA,TAS,IEA",,,,,,,,
"GO:MF","channel activity","GO:0015267","false","0.0020493321465151586","2.6883876474023976","507","64","10","20212","IDA,IBA,TAS,IEA",,,,,,,,"IDA,ISS,IBA,IEA",,,,"IDA,ISS,IBA,IEA","IBA,IEA",,,,,,,,,,,"IBA,IEA",,,,,,"IEA",,,"IDA,IMP,IBA,NAS,IEA",,,,,"IDA,ISS,IBA,IEA",,,,,,,,,,,,,,,"IBA,IEA",,,"IDA,IMP,IBA,TAS,IEA",,,,,,,,
