"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","KCNT2","LAMA3","DSCAM","GALNT13","CALB2","IQGAP2","ARPP21","OLFM3","LHFPL6","GRM7","VWC2L","MAPK4","B4GALT6","ADARB2","SEZ6L","SORCS3","AK5","SOBP","CNTN6","LRFN2","NRXN1","CSMD1","PTPRE","MARCHF1","TSHZ2","SLC24A3","PLD5","NR3C2","RYR3","STARD13","L3MBTL4","CRIM1","NFIX","SYNPR","CADM2","NCAM1","CDH10","NEDD4L","FAT3","ZNF804A","PCSK2","TTC28","DOCK10","ZBTB16","NCKAP5","NTRK3","LRP1B","KCNH7","THSD7A","FRMD4A","ASIC2","ERBB4","GALNTL6","NLGN1","KCNIP4","NELL1","RGS6","NFIB","PDE4B","ROBO1","PLXNA4","HS6ST3","NCAM2"
"GO:BP","nervous system development","GO:0007399","true","0.000014223520784219659","4.846992888282958","2531","60","25","21031",,,"IDA,ISS,IBA,TAS,IEA",,,,,"IEA",,"IMP","IEA",,"ISS,IEA",,"IBA",,,,"IBA,TAS",,"IGI,ISS,TAS,NAS,IEA",,,,,,,,,,,"TAS",,,,"ISS,IEA",,"IDA,IBA","IEA","IMP,IGI","IEA",,"ISS,IBA,IEA","ISS,IEA",,"IBA,IEA",,,,,"TAS,IEA","ISS,IBA,IEA",,"IDA,IMP,IGI,ISS,IBA,TAS,NAS,IEA",,"TAS",,"IMP,ISS,IEA",,"IDA,ISS,TAS,IEA","ISS,IBA,IEA",,"IEA"
"GO:BP","neuron differentiation","GO:0030182","false","0.000017076656557274003","4.767597155945883","1431","60","19","21031",,,"IDA,ISS,IBA,IEA",,,,,"IEA",,"IMP","IEA",,"ISS,IEA",,,,,,"IBA",,"IGI,ISS,TAS,NAS",,,,,,,,,,,,,,,"ISS,IEA",,"IDA,IBA","IEA","IMP,IGI",,,"ISS,IBA,IEA",,,"IBA",,,,,,"ISS,IEA",,"IDA,IGI,ISS,NAS,IEA",,,,"ISS,IEA",,"IDA,ISS,IEA","ISS,IBA,IEA",,"IEA"
"GO:BP","neuron projection development","GO:0031175","false","0.00003192215088506361","4.495907853974076","1014","60","16","21031",,,"IDA,ISS,IBA,IEA",,,,,,,"IMP",,,"ISS,IEA",,,,,,"IBA",,"IGI,TAS,NAS",,,,,,,,,,,,,,,"ISS,IEA",,"IDA,IBA","IEA","IMP,IGI",,,"ISS,IBA,IEA",,,"IBA",,,,,,,,"IDA,IGI,ISS,NAS,IEA",,,,"ISS,IEA",,"IDA,ISS,IEA","ISS,IBA,IEA",,"IEA"
"GO:BP","neuron development","GO:0048666","false","0.00003327750363994915","4.477849260387884","1167","60","17","21031",,,"IDA,ISS,IBA,IEA",,,,,"IEA",,"IMP",,,"ISS,IEA",,,,,,"IBA",,"IGI,TAS,NAS",,,,,,,,,,,,,,,"ISS,IEA",,"IDA,IBA","IEA","IMP,IGI",,,"ISS,IBA,IEA",,,"IBA",,,,,,,,"IDA,IGI,ISS,NAS,IEA",,,,"ISS,IEA",,"IDA,ISS,IEA","ISS,IBA,IEA",,"IEA"
"GO:BP","generation of neurons","GO:0048699","false","0.000042612270548361876","4.370465324275193","1514","60","19","21031",,,"IDA,ISS,IBA,IEA",,,,,"IEA",,"IMP","IEA",,"ISS,IEA",,,,,,"IBA",,"IGI,ISS,TAS,NAS",,,,,,,,,,,,,,,"ISS,IEA",,"IDA,IBA","IEA","IMP,IGI",,,"ISS,IBA,IEA",,,"IBA",,,,,,"ISS,IEA",,"IDA,IGI,ISS,NAS,IEA",,,,"ISS,IEA",,"IDA,ISS,IEA","ISS,IBA,IEA",,"IEA"
"GO:BP","cell morphogenesis involved in neuron differentiation","GO:0048667","false","0.00020611603244545353","3.6858882259219565","597","60","12","21031",,,"IDA,ISS,IBA,IEA",,,,,,,,,,"ISS,IEA",,,,,,"IBA",,"TAS",,,,,,,,,,,,,,,"ISS,IEA",,"IBA","IEA",,,,"ISS,IBA,IEA",,,,,,,,,,,"IGI,IEA",,,,"ISS,IEA",,"IDA,ISS,IEA","ISS,IBA,IEA",,
"GO:BP","synapse organization","GO:0050808","true","0.0002257365465287299","3.646398123372997","485","60","11","21031",,,"ISS",,,,,,,,,,,,"IBA",,,,,"IEA","ISS,TAS,NAS,IEA",,,,,,,,,,,,,,,,"IEA",,,"IEA",,,"ISS,IBA,IEA",,,,,,,,"IEA","IEA",,"IDA,IGI,ISS,IBA,TAS,NAS,IEA",,,,,,,"IEA",,
"GO:BP","neurogenesis","GO:0022008","false","0.0003956540196406763","3.402684417706225","1742","60","19","21031",,,"IDA,ISS,IBA,IEA",,,,,"IEA",,"IMP","IEA",,"ISS,IEA",,,,,,"IBA",,"IGI,ISS,TAS,NAS",,,,,,,,,,,,,,,"ISS,IEA",,"IDA,IBA","IEA","IMP,IGI",,,"ISS,IBA,IEA",,,"IBA",,,,,,"ISS,IBA,IEA",,"IDA,IGI,ISS,NAS,IEA",,,,"ISS,IEA",,"IDA,ISS,IEA","ISS,IBA,IEA",,"IEA"
"GO:BP","system development","GO:0048731","false","0.0018525741525407815","2.732224399599776","3973","60","28","21031",,,"IDA,ISS,IBA,TAS,IEA",,,,,"IEA",,"IMP","IEA",,"ISS,IEA",,"IBA",,,,"IBA,TAS",,"IGI,ISS,TAS,NAS,IEA","IEA",,,,,,,,"IMP,IGI",,"TAS",,,,"ISS,IEA",,"IDA,IBA","IEA","IMP,IGI","IEA",,"ISS,IBA,IEA","IDA,IMP,ISS,IEA",,"IMP,IBA,IEA",,,"IEA",,"TAS,IEA","ISS,IBA,IEA",,"IDA,IMP,IGI,ISS,IBA,TAS,NAS,IEA",,"TAS",,"IMP,ISS,IEA",,"IDA,IMP,ISS,TAS,IEA","ISS,IBA,IEA",,"IEA"
"GO:BP","cell-cell adhesion via plasma-membrane adhesion molecules","GO:0098742","true","0.002614569963466165","2.582599732361481","280","60","8","21031",,,"ISS,IBA",,,,,,,,,,,,,,,,"IBA",,"ISS,NAS,IEA",,,,,,,,,,,,,,"IBA",,"IBA,IEA",,"IEA",,,,,,,,,,,,,,,"ISS,NAS,IEA",,,,,,"IDA",,,
