source	term_name	term_id	highlighted	adjusted_p_value	negative_log10_of_adjusted_p_value	term_size	query_size	intersection_size	effective_domain_size	PCSK5	ZFHX3	COL25A1	HCRTR2	MDFIC	ADAMTSL1	NFIA	SEMA3E	DLC1	CNTNAP4	TENM1	COL19A1	ADRA1A	NKAIN1	SDK2	MCTP2	KIAA1217	TLE4	RYR3	ADAMTSL3	XKR4	RERG	SEMA3A	GARNL3	DSCAML1	KCNK2	TENM3	SEZ6L	ASTN2	AMOTL1	MCC	GRIK3	GAS7	DPP4	RALGPS2	SCN9A	NKAIN3	SORCS3	SGCZ	DIP2A	FGFR1	DGKG	RXFP1	ITPR2	DGKH	NPFFR2	TNIK	FRMD3	KCNMB4	GRM5	ASAP2	EPHA5	MCTP1	CAMK2D	ZFPM2	CELF2	LRIG1	MDGA2	CLMP	PCDH15	ROBO2	PCDH17	LHFPL3	SPOCK3	CDH10	DPP10	SLC8A1	TBC1D1	ADD3	UTRN	NRXN1	RIPOR2	BCL11B	RASGRP1	TMEFF2	ARHGAP22	TRPM3	SLC1A2	LMO3	BRINP3	ALCAM	PLCB4	DOCK4	GRID2	HDAC4	STXBP5	PRKCE	RAP1GAP2	NRP1	POU6F2	BICD1	ASIC2	GREB1L	CHST11	NOS1AP	NFIB	UST	CACNA2D3	CADPS	SPARCL1	GRK3	GSG1L	DMD	ERC1	EPHA3	LRP1B	SLC24A2	DDAH1	WWOX	GAB2	PRKG1	BCL11A	STARD13	KCNH5	VWC2L	DOK6	KCNMB2	PDE4B	CNTN4	SLC39A11	MARCHF1	CLSTN2	SLIT3	NKAIN2	GPC5	MEIS2	CDH9	KAZN	MT-CO3
GO:MF	calcium ion binding	GO:0005509	True	0.0001202437856138	3.91993735938943	726	142	20	20212																IDA,IBA			IEA										IDA		IEA											IEA		IBA									IDA,IBA							IEA		IEA		IEA	IBA,IEA		ISS				ISS			IMP,TAS,IEA								IEA																		IBA,IEA						IEA																IEA	NAS,IEA				IBA,IEA		
GO:MF	metal ion transmembrane transporter activity	GO:0046873	True	0.00038898365018	3.410068652622386	445	142	15	20212																			IMP,ISS,IBA,TAS,IEA							ISS,IBA,IEA						IDA,IBA				IDA,IBA,TAS,IEA								ISS,IBA,TAS,IEA					IDA,IBA,IEA																		IDA,IMP,IBA,TAS,IEA										IDA,TAS,IEA	IDA,IBA,TAS,IEA														IBA,TAS,IEA						IBA,IEA									IDA,IBA,TAS,IEA							IBA,IEA			IDA,IBA,IEA			ISS,IBA,IEA									
GO:MF	ion channel regulator activity	GO:0099106	True	0.0051936596969793	2.2845265099561978	143	142	8	20212																										ISS																							IBA,IEA					IDA												ISS,IBA					ISS,IEA																																								IDA						IBA,TAS,IEA	ISS,IEA											
GO:MF	GTPase activator activity	GO:0005096	True	0.0149041614767045	1.8266924527936537	271	142	10	20212									IMP,IBA,TAS															IBA,IEA																											IBA,IEA																	IBA,IEA								IBA,TAS,IEA							IEA			IBA		EXP,IBA,IEA	IMP																								IBA,TAS,IEA																
GO:BP	system development	GO:0048731	True	2.1402165752865507e-09	8.669542276794399	3973	143	64	21031	IMP,ISS,IEA	IBA,IEA				IEA	IEA	IDA,ISS,IBA,IEA	ISS		IBA,TAS	TAS	IEA		ISS,IEA		ISS						IDA,IMP,ISS,IBA,TAS,IEA		IDA,IBA,NAS,IEA	IEA	IMP,ISS,IBA	IBA	IBA,IEA	IBA			IBA,IEA						IBA	ISS,IEA	IMP,TAS,IEA	IEA	IEA				IDA,IBA,IEA			IEA		IEP,ISS,IBA,IEA			IMP,ISS,IBA,IEA		IEA	ISS,IBA	IMP	IEA	IDA,IMP,IEP,ISS,NAS,IEA	IEA					ISS				IGI,ISS,TAS,NAS,IEA	IEA	IEA			IEA		IEA		ISS,IBA,IEA	ISS,IEA			IMP,ISS,IEA	TAS,IEA				IMP,ISS,IBA,TAS,NAS,IEA	TAS		TAS,IEA	IDA,IMP,IBA,IEA	IEA		IMP,ISS,IEA	IEA						IMP,IBA,IEA		IMP,ISS,IBA			IEA	ISS,IEA		IEA	IDA,IMP,ISS,IBA,IEA	IMP,IGI		IEA				IMP,ISS,IBA,TAS,IEA			IBA,IEA	IDA,IEP,ISS,IBA,IEA			IBA,IEA	IEA		
GO:BP	synaptic signaling	GO:0099536	True	9.905681939645323e-07	6.004115620839183	780	143	24	21031				TAS						ISS			ISS			IBA																ISS,IBA						IEA											TAS	IBA,TAS,IEA			ISS,IBA									IEA								IBA	ISS,NAS,IEA							TAS				IEA		IMP,ISS,IBA,IEA		IEA	IEA					TAS							IEA				IBA,IEA	IBA			IBA,IEA												TAS			IBA,IEA							
GO:BP	regulation of cell communication	GO:0010646	True	9.982810295132257e-07	6.000747181772812	3443	143	54	21031					IDA			IDA	IMP,IBA,TAS	ISS	ISS		IDA,ISS,IBA,IEA			IBA		IBA					TAS	IEA				IBA			IDA,IMP,IBA	ISS,IBA						IEA			IDA,IMP,IGI,TAS,IEA	ISS,IEA				IEA	IDA,IMP,IBA		TAS	IBA,IEA		ISS	ISS,IBA	ISS,IC							ISS	IEA					TAS	IEA			IDA,ISS,NAS,IEA	IMP,ISS,IEA		IMP,IEA		TAS			IDA			IEA		IMP,IBA		IEA	IEA	IEA	IMP,ISS,IBA,TAS,IEA		ISS			IEA	ISS						IBA		IEA	IBA			IBA,IEA		IDA,ISS,IEA				IBA,TAS		IBA,IEA	IBA		ISS,IEA	TAS			IBA,IEA	IMP		IBA,IEA				
GO:BP	synapse organization	GO:0050808	True	1.4866620117e-06	5.827787755845998	485	143	19	21031							IEA	ISS,IEA							ISS,IEA													IBA												ISS										ISS,IEA											ISS	IEA			IEA						ISS,TAS,NAS,IEA					IDA,IMP								IMP,IEA					IEA			IEA			IDA,IMP,IEP					IEA				IBA																		IBA,IEA					IEA		
GO:BP	cell-cell adhesion via plasma-membrane adhesion molecules	GO:0098742	True	1.496769601e-06	5.824845045822121	280	143	15	21031											IBA				ISS,IEA										IDA,IBA		ISS,IBA																																	IEA	IDA	IEA			IBA,IEA						ISS,NAS,IEA										IMP			ISS,IEA																IEA																			IBA			IEA					IBA,IEA		
GO:BP	monoatomic ion transmembrane transport	GO:0034220	True	1.6957371866e-06	5.770641455877182	1013	143	27	21031													ISS						ISS,IBA,IEA							ISS,IBA,IEA						IEA				IDA,IBA,IEA								ISS,IBA,IEA					IEA	IGI				IDA,ISS,TAS,IC												ISS,IBA	IDA,IMP,IGI,ISS,IBA,TAS,IEA			ISS							IDA,IBA,TAS,IEA	IEA				IBA		IEA			TAS,IEA					IBA,IEA			ISS,TAS			IEA					ISS,IEA				IDA,IBA							IBA,IEA			IEA	ISS,IEA		IBA,IEA									IEA
