gene	logFC	AveExpr	t	P.Value	adj.P.Val	B	FC
Pdzd2	1.26607706441951	8.47737375137355	110.767007345802	0.0	0.0	4814.80620564524	2.405066965791426
Gucy1a1	0.879712156749132	8.15662796615002	97.4049540649356	0.0	0.0	3900.25959699373	1.8400081503607495
Slc24a4	0.747984872155067	8.15458034883515	95.028432272936	0.0	0.0	3741.91068902112	1.6794453754288996
Grm1	1.29158951084094	8.73660263829584	92.2728869038466	0.0	0.0	3560.26645542335	2.4479761645033666
Rasgrf2	1.15635247717412	8.47165122978836	89.068548399779	0.0	0.0	3351.89874761408	2.228931804527477
Otof	0.540921855716712	8.03963171247434	79.6217075937519	0.0	0.0	2758.11554901321	1.45490187602796
Nectin3	0.703082923976323	8.18120813315846	79.4980152888849	0.0	0.0	2750.56633638985	1.6279799413299274
Stxbp6	1.01270659182445	8.62395594616426	78.533213599134	0.0	0.0	2691.8992439386	2.0176928775700964
Ralgapa2	0.881740295137636	8.62175133324109	78.3840154043781	0.0	0.0	2682.86153089705	1.8425966499131177
Cdh13	1.26243380086335	8.4855742146265	77.8198977175918	0.0	0.0	2648.77490494632	2.3990010696050614
Synpr	0.874258426280315	8.28131231226621	77.5523665251344	0.0	0.0	2632.65671923002	1.833065612308383
Tcerg1l	0.766778314351491	8.29169424175517	77.5331696148271	0.0	0.0	2631.50132366968	1.7014659903298348
Dgkg	0.684142184747163	8.20474045679373	76.6562786945614	0.0	0.0	2578.89382711965	1.6067463385267808
Il1rapl1	1.2402676738661	11.3223841696323	76.2183312305472	0.0	0.0	2552.74540383537	2.3624236000978316
Epha6	1.25178340300486	8.60242996852801	75.7703244373403	0.0	0.0	2526.08394850767	2.3813561503272007
Egfem1	1.36062647195464	8.71654313745111	75.2979965216385	0.0	0.0	2498.07196561517	2.5679666598797963
Magi3	0.815061436588413	8.45699478983007	74.5710349970248	0.0	0.0	2455.15516573548	1.7593730724447236
Lrrtm4	2.24518997520899	10.7895060350554	72.5843666922316	0.0	0.0	2339.11334958809	4.740995340630853
Car12	0.515940256341302	8.04076519564973	72.4082586352611	0.0	0.0	2328.91641398375	1.429925770267061
Smarca2	0.992579473604502	8.86094151565637	72.2850694796998	0.0	0.0	2321.7923747754	1.989739376567692
Rps6ka2	0.508713310377471	8.10656910312061	71.0694465506291	0.0	0.0	2251.88560891919	1.4227807008580782
