gene	logFC	AveExpr	t	P.Value	adj.P.Val	B	FC
Unc5d	3.33036089114934	10.8475818192734	109.681430341961	0.0	0.0	2129.80961773334	10.058622852863076
Hs6st3	3.3863822945451	11.3015586491006	108.799671438132	0.0	0.0	2113.8297730156	10.456892598227123
Fstl4	2.54617815743376	10.1358160202197	91.297722744315	0.0	0.0	1778.04169868961	5.840849280607436
Rorb	2.68062848978117	10.203460523594	89.4780082857202	0.0	0.0	1741.01322056832	6.411351427412911
Cacna2d3	2.60485785781957	11.0244735335592	85.9346606398463	0.0	0.0	1667.73037863986	6.083315622017983
Cux1	2.3087805132261	10.1568157556884	85.2776163576447	0.0	0.0	1653.96930520361	4.954640951374454
Pdzrn3	2.52316113090882	10.091592551148	83.6651118272049	0.0	0.0	1619.9683606446	5.748402694677738
Schip1	2.86455122442444	10.8093220323846	83.5107815897712	0.0	0.0	1616.69713480297	7.283092782686762
Rora	2.67287233676827	11.1988729656989	82.9359723257193	0.0	0.0	1604.48712147852	6.376975492563092
Tafa2	2.80233964482035	10.3945280045053	79.3949784037335	0.0	0.0	1528.36058932751	6.975707971023835
Kctd16	2.56053613170943	10.7352944017933	74.6450992501186	0.0	0.0	1423.81100382244	5.8992687373981765
Cdh12	2.6297957449855	12.3232251059584	70.7737594724827	0.0	0.0	1336.5895458951	6.1893836267061975
Scn1a	1.95459189811487	10.4924746320772	70.1362713131131	0.0	0.0	1322.05939673286	3.876062672694548
Cntnap5b	2.22359563651536	10.0508180774445	68.9230024384846	0.0	0.0	1294.27836205108	4.670560314410285
Kcnh5	2.1265169219591	9.95895054006298	68.517840275546	0.0	0.0	1284.96443274183	4.366619800925688
Cntn5	2.57663811051986	10.5939340185549	64.8316345128712	0.0	0.0	1199.41333269869	5.965479522241987
Frmd5	2.00946637902934	10.2221760613634	64.4580306337827	0.0	0.0	1190.66391721206	4.026332673413964
Nell1	2.12623803883673	9.79279045328113	63.8635240921804	0.0	0.0	1176.71268472423	4.36577578411343
Camk2a	1.63030582687315	10.401996056771	61.1480519088281	0.0	0.0	1112.56320170864	3.095786171680283
Grin2a	1.9169834663186	10.2829869878945	59.6214614206639	0.0	0.0	1076.21326420891	3.776326398615328
Zmat4	2.03228219759692	10.1610952824994	59.5124893515172	0.0	0.0	1073.61119269755	4.090514167041204
Boc	1.52891738593689	9.20297589437162	59.266607233191	0.0	0.0	1067.73648515867	2.885692123569632
Syne1	1.57818575237906	10.3136348120497	58.0054134455364	0.0	0.0	1037.53095089088	2.985941192934735
Ube2e2	1.57493650747018	10.151827136378	57.2971141405852	0.0	0.0	1020.51662911346	2.979223808709394
Mef2c	1.56835786930738	10.3778732647782	56.2095263151698	0.0	0.0	994.326024745023	2.9656695808059896
Plxna4	1.63508767224322	10.0918055986584	55.8778280348363	0.0	0.0	986.323543149568	3.1060642490734165
Pde8b	1.69491885748881	9.55219720572952	55.5127603727228	0.0	0.0	977.508510149886	3.2375867672006198
Kcnq5	1.84542487200629	11.517887376571	55.3598953638502	0.0	0.0	973.815127256429	3.5935876430839926
Cux2	1.50253852164866	9.18259239114076	54.9444459165994	0.0	0.0	963.770928839326	2.833408318875642
Tmem178b	1.62777934382889	10.5400017947905	54.47768358746	0.0	0.0	952.475309575837	3.090369499073093
Pld5	1.93755154661084	9.96220083807097	54.1724411734994	0.0	0.0	945.082579025308	3.8305499835558097
LOC108350387	1.64981511653612	9.40371657698365	53.4740649850575	0.0	0.0	928.15218791616	3.1379342349914596
Car10	1.8532594226944	10.7062625540756	52.9124995729611	0.0	0.0	914.523375047923	3.6131556930208566
Cadps2	1.81732806223449	10.2335494912689	52.1161297320941	0.0	0.0	895.175857888568	3.5242788102321057
Cdh20	1.61359125146623	9.43753755058161	49.6167222440992	0.0	0.0	834.344137848827	3.0601264129421852
Prkca	1.54688733305422	9.38876726930337	49.603693683772	0.0	0.0	834.026767498562	2.9218605661353476
Sorcs1	1.73093650164809	10.1443405852703	48.6547172528693	0.0	0.0	810.90740790589	3.31943223863801
Thsd7a	1.53173419884918	9.19891314517122	46.1716615698835	0.0	0.0	750.439985396313	2.8913318430089356
Tenm4	1.37710614565777	9.94126947992531	46.1239524551911	0.0	0.0	749.279305773404	2.597468306026203
Sntg1	1.41429609475292	10.3067322602261	44.9261781448672	1.77113e-319	2.511608e-317	720.164449191491	2.6652966121825385
Ntm	1.69070708451314	10.7830282910696	44.6531612675855	1.34020504e-316	1.87394404e-314	713.536070612285	3.228148808985387
Foxp1	1.27811344643871	10.2022023207623	43.2094673935098	2.10345624792362e-301	2.76701366297584e-299	678.550505585128	2.425216337704176
Tcf4	1.2630807631688	9.92353447163985	42.9947389475317	3.7879507215378e-299	4.95033167824499e-297	673.357783344854	2.4000771191335457
Rbfox3	1.15183088822493	10.5985893772369	42.8377276468842	1.68558482676843e-297	2.17440442653128e-295	669.562848365446	2.2219569856905395
Ppp3ca	1.18434886713895	10.984108207602	42.3778554431395	1.12232837861746e-292	1.41138087612931e-290	658.4582455692	2.2726080167355343
Tenm2	1.23245961920628	12.7968859134479	41.8143518087365	8.924351301969159e-287	1.08806344074923e-284	644.874098217071	2.3496723906571026
Epha4	1.19484584545854	9.17194123047893	41.6848832316696	2.01650983842644e-285	2.42892254333353e-283	641.756867056488	2.289203702624989
Kcnip2	1.1858287168514	9.01789084513103	41.4507466786156	5.644537114134319e-283	6.75823470641412e-281	636.123351042963	2.2749403487115103
Grm7	1.25827413227255	11.3191590912414	41.3224401942801	1.2350115467782701e-281	1.46118673833322e-279	633.038337610351	2.39209408176444
Slc4a4	1.12381017378032	8.95482847583299	41.2511403207674	6.85555001767421e-281	8.063336623729171e-279	631.324669041703	2.179217469555682
Lingo2	1.36676247321909	9.15018046626849	41.0488712975595	8.84259764137895e-279	1.0339633908735199e-276	626.465873395605	2.5789118716798405
Lin7a	1.26422623646376	9.22358948239352	40.6832849545721	5.7114243924965295e-275	6.525710327312459e-273	617.694335217437	2.4019834928809325
Syndig1	1.15138346602727	8.9790045376752	40.5545951440213	1.24892194455953e-273	1.41085843398123e-271	614.609969166476	2.221267998269517
Camta1	1.05755415547543	10.2977271573402	39.9757424730941	1.29807649531431e-267	1.41059997412009e-265	600.758770363659	2.081399868737817
Osbpl1a	1.09713410427681	9.4970347322248	39.8022259524617	8.19711238262768e-266	8.85952768057516e-264	596.614206620102	2.1392930223750892
Camkk2	0.953667596987456	8.82582372057855	39.6599765224368	2.4459400779363303e-264	2.60141339672004e-262	593.219159002319	1.936790082450259
Lrrc4c	1.23502199992437	10.108059144076	38.3363130500623	1.14219557261036e-250	1.1534444684012199e-248	561.752334118992	2.353849368449632
Slit2	1.21702540365494	9.05201718248302	38.0926030220688	3.6564405818607e-248	3.6555264717152297e-246	555.9852262073	2.324669148546986
Kcnip4	1.50830058139061	12.5645200080466	37.6682461527831	8.24485650192133e-244	7.96405341816024e-242	545.964686767677	2.8447474544415945
AABR07032097.1	1.32983692403191	9.59253679462458	37.6625100967745	9.43934852520118e-244	9.07402758468258e-242	545.829429565832	2.5137425904625768
Cabp1	0.992782083981353	9.11396168891138	37.6292626949149	2.0676502463579198e-243	1.97811802277161e-241	545.045552235855	1.990018832823658
Srgap3	0.997076161524603	8.89586205992978	37.0549599874936	1.53309560324147e-237	1.4324414292903301e-235	531.53334679854	1.9959508037472682
Kcnh1	1.15820322921488	9.78767487734256	37.0293026197043	2.8007156297689597e-237	2.6046655356851404e-235	530.930954119906	2.23179301018353
Gpr158	1.07158554146143	10.8447561639546	36.9813039767434	8.644014682918279e-237	7.964842100688981e-235	529.804325135324	2.1017419414005274
Cacna2d1	1.1050267350792	10.3104820617155	36.7434905232614	2.28664677354492e-234	2.09731661637756e-232	524.228179388881	2.1510286419987894
Nuak1	0.952135812258298	8.94592262733454	35.7745815113318	1.52590311281395e-224	1.3681808403907999e-222	501.614799471072	1.9347347824937597
Atp1a1	0.936461367176527	8.98173617058306	35.4924718674199	1.07034611855842e-221	9.46972152237859e-220	495.064131441259	1.9138282517216296
Myo16	1.02400104289284	8.83171090440703	35.304456803234	8.364858700608969e-220	7.368077080117899e-218	490.707185576536	2.0335508165929994
Dlgap1	0.987366004512291	11.0443600482986	35.2968359095675	9.97976605369136e-220	8.751992203664849e-218	490.530734852877	1.9825620287990695
Astn2	1.16454218904775	10.8242230621791	35.2899783642545	1.16976571945669e-219	1.0213740419448299e-217	490.37196848976	2.241620708850394
Cpne9	0.881302495744078	8.72226673457709	34.8842326160754	1.38647012875901e-215	1.2001069361271199e-213	480.995453902967	1.8420375814426955
Ptprk	1.04629864869477	8.88010284791	34.7895682402485	1.23087147339967e-214	1.0608308237339001e-212	478.812813335482	2.06522454369122
Col13a1	0.864174442539438	8.66364498321227	34.7527101594187	2.87882006310842e-214	2.47047241037995e-212	477.963510387828	1.820297734981109
Rbms1	1.03779903188545	9.25393792260174	33.9642520804571	2.09755501890063e-206	1.7330831654098397e-204	459.867363980879	2.0530930746644667
Rapgef5	1.05983017868648	9.31762787464348	33.9564037456499	2.50997977588447e-206	2.06531051929259e-204	459.687943794413	2.084686116408332
Slc2a13	0.998281225325094	9.10977099374275	33.7120342900118	6.66570895740942e-204	5.46232994276235e-202	454.108661400823	1.9976186911444083
Pip5k1b	1.00531984440783	8.8558836215181	33.3732632447758	1.493805702234e-200	1.2043808474261701e-198	446.397665587925	2.0073884842109346
Kctd1	0.981149656260433	9.08454239360061	33.357991998389	2.11369524190824e-200	1.69053345447821e-198	446.050724402316	1.9740378556286962
Rcan2	1.07616412926047	9.86512444992993	33.3365368685682	3.44185163851928e-200	2.7201511269641502e-198	445.563391095589	2.1084226991939685
Npas3	1.11414957918537	8.9370940718878	33.0945753616859	8.344338954116911e-198	6.4171175918295305e-196	440.075372673463	2.1646737116330828
Fhod3	1.00971862964781	9.52491139176478	33.0186795111128	4.6564942871859204e-197	3.5536871477970394e-195	438.356976310459	2.0135183631833176
Cacna1i	0.816830617769232	8.73123229387065	32.9876632967034	9.397588426493201e-197	7.14466846341184e-195	437.655142748495	1.7615319202591873
