gene	logFC	AveExpr	t	P.Value	adj.P.Val	B	FC
Marchf1	2.31786332290503	8.33106130043969	59.0442824421027	0.0	0.0	1142.31857691103	4.9859324007367505
Nxph1	1.50626031256771	7.91171508015564	53.7619013627553	0.0	0.0	998.791965714091	2.8407272372457304
Trabd2b	0.908624202130036	7.70225587145833	49.6434207482091	0.0	0.0	886.948768371193	1.8772544376310911
Meis2	1.18058007357774	8.38106915663529	31.482399218902	7.054539895668891e-188	3.52638813034749e-184	417.926129564715	2.2666789654332464
Neto2	0.948913605862957	8.30396641549014	25.5263692202591	4.6164405238611e-130	1.1538216034325299e-126	284.927213076114	1.9304184453886686
Sash1	1.18479716315332	8.53616361051853	23.1196745519506	7.55730096715139e-109	1.3737112076199301e-105	236.148405983476	2.2733143055854215
Samd5	1.64217314455121	9.37523453433787	22.1918951045287	4.69641517500872e-101	7.22344780186918e-98	218.233079260178	3.1213565067485503
Slit1	0.781159908237177	8.43531581106689	21.9730094012989	3.00261083538753e-99	4.00248024357157e-96	214.08251142909	1.7185119791094698
Slc1a2	1.01507783731131	8.78014617956662	21.9209278211633	8.04027307317583e-99	9.45678000577357e-96	213.099280962588	2.0210119291084356
Nfia	0.720688465616824	8.31802603415909	20.4598540138515	4.01196269436066e-87	3.64632700335188e-84	186.21534303777	1.647968270565624
Rgs6	1.07857002123195	9.62989419799331	19.4552055545228	1.9781784141682098e-79	1.31845591304311e-76	168.540826134149	2.1119417168048473
Hs3st4	1.96313448293193	9.77050986521309	19.3140854645532	2.2551010862936797e-78	1.40908581938882e-75	166.112947048517	3.899081965264497
Pitpnc1	1.08377431791492	8.72956829491705	19.2481178970424	7.001447551493409e-78	4.24224072097305e-75	164.982721675522	2.119573973993122
Nrg1	1.32114213588116	9.93929554410383	18.1901661278337	3.5985985757031e-70	1.71318996479008e-67	147.272751592203	2.4986384077484143
Tle4	0.943671280717345	8.8049136978056	18.0353888239298	4.52274123688145e-69	1.92408959641371e-66	144.748507173354	1.9234166073004266
Dock4	0.617912916887006	8.66356814407543	17.8243214564342	1.3880038326239401e-67	5.33714166025301e-65	141.33415172357	1.534653459351891
Gria4	0.706778051426236	8.71545736528018	17.5857435856831	6.40194339005057e-66	2.41522373743512e-63	137.513831067946	1.6321549773220592
Grm3	0.916710055048091	9.12260524962752	17.4443751327232	6.0778725338204505e-65	2.25050113543963e-62	135.26980750943	1.887805399377804
Frmpd4	0.867524962907275	10.9919823092036	16.8134121974446	1.17004357113661e-60	3.65547206326196e-58	125.434929994478	1.824530114004498
Dcc	0.915199685147133	8.72993980234957	16.3601654009113	1.1642608494927999e-57	3.1458642818389897e-55	118.554951091561	1.8858300737706166
Zfpm2	1.01628096475944	9.09461198513521	16.0237030696769	1.76856263360996e-55	4.26053130831701e-53	113.549187740126	2.0226980436512387
Ptk2	0.588035307517535	9.43166570285222	15.8375604474887	2.7436004809227303e-54	6.37887111814534e-52	110.817380646459	1.503198265846889
Kcnt2	0.621247807462614	8.39222141704539	15.6079897545707	7.77643654225737e-53	1.76693009843677e-50	107.485365049826	1.5382050215096918
Epha5	0.564253053058438	8.91012069062293	15.4018281370627	1.51336072263026e-51	3.2537255536550498e-49	104.528294357096	1.4786217632431942
Trhde	0.793993254441824	8.66604976535491	15.1639124986162	4.46351864094275e-50	9.39453212901582e-48	101.157427885348	1.7338670200297202
Cdh18	1.03871505934592	9.71003060381231	15.1392513411263	6.32288127706572e-50	1.31693761598885e-47	100.810586476399	2.0543970833237055
Garnl3	0.569949640261148	9.72080016298626	14.1228880002558	7.08950982102545e-44	1.1812895739283699e-41	86.9407904351203	1.4844717516982175
Pbx1	0.582887544934369	10.1774054211226	14.0119047303338	3.0853978032688797e-43	5.01565277043588e-41	85.4770338060691	1.4978441760481578
Pcdh7	0.567327608980177	10.0364767900156	13.6654462953844	2.85103296294954e-41	4.2861957965546e-39	80.9728170379357	1.4817762434067983
Fut9	0.571869858537095	9.72026929929031	13.412708939756	7.2760549431711895e-40	1.03180651481353e-37	77.7497701603143	1.4864488900083634
Mpped2	0.490093231084415	8.7823899597599	13.4040082684705	8.12682251887836e-40	1.13633437947533e-37	77.6397617516422	1.4045356379198428
Grik3	0.504177694253714	8.76759595435552	13.2707974375261	4.3832186301988303e-39	5.84283043405504e-37	75.9633892080663	1.4183147162929712
Foxp2	0.817843540950051	9.01471144209964	13.197026030175	1.10749778216778e-38	1.4665177585725001e-36	75.0414176935281	1.7627691346346661
Gas7	0.639551743914192	9.04135720719313	13.0547415109616	6.53404342225473e-38	8.32154128840658e-36	73.2761039754958	1.5578450500661092
Grip1	0.598994795574233	9.29631705684134	12.9005351609553	4.38836523196395e-37	5.383151092829391e-35	71.38214392393	1.5146608518295086
Ncald	0.702565739684596	9.08071060767329	12.7860840177002	1.78066518934624e-36	2.14484340126374e-34	69.9894602383997	1.627396439805962
Rims1	0.552399052715643	10.2758233521337	12.679618138592	6.48815468579675e-36	7.4131801681432e-34	68.7039229266224	1.466522344495223
Tmem178a	0.590988357585889	9.32051562141099	12.5995170412522	1.7055460512713502e-35	1.9051616366017098e-33	67.7430874038703	1.5062783110596079
Slc35f1	0.777230577577756	9.53326347424732	12.4234914610546	1.3995103867978e-34	1.46508953843048e-32	65.6508456665922	1.7138378004011803
Etl4	0.85669767995455	10.8106030156395	12.3523290275061	3.2530063703031e-34	3.33558268585694e-32	64.8125337439697	1.8108884504563245
Cdh11	0.519714574316007	9.05915596718862	12.1136521606162	5.3356868651215e-33	5.10464396498107e-31	62.0326227626824	1.4336715794917074
Prkg1	0.581089441855308	8.5300690786473	11.0819526319669	5.41605507160075e-28	3.92369641871945e-26	50.5852855479791	1.4959785007239053
Pou6f2	0.573169914180191	8.60616366360467	10.6132625758198	7.49769876853434e-26	4.8360157057046504e-24	45.6943190759212	1.487788977258962
Sema5a	0.675979417625078	8.75055176400532	10.5161972492314	2.03172117633005e-25	1.27749260756979e-23	44.7058551578914	1.5976810392351886
Pde4b	0.591856574500763	9.56993561896578	8.53255482419072	2.25158533460068e-17	8.275817787746429e-16	26.3754710777109	1.5071850653363696
