gene	logFC	AveExpr	t	P.Value	adj.P.Val	B	FC
LOC108353456	4.55292611182479	9.85071508765043	263.611820320719	0.0	0.0	4720.81467439266	23.47293130078784
Cacna2d3	3.02343129139556	9.33845118425759	151.63480048188	0.0	0.0	3202.52927646346	8.130991527680047
Schip1	3.40285110893945	9.99309801564038	142.814873621623	0.0	0.0	3046.57321674971	10.576945207905183
Nell1	2.32675509695104	8.73274750849865	124.173941080252	0.0	0.0	2692.08578752483	5.016757131920242
Pdzrn3	2.71764919253247	9.10749704560486	122.566256504717	0.0	0.0	2659.80821756911	6.578000840589705
Hs6st3	3.2815564017691	9.77064754410875	121.215341735106	0.0	0.0	2632.46526910729	9.724043867793583
Gpc5	2.97215657372417	9.26760494287288	106.381240404056	0.0	0.0	2318.44727318174	7.847083618974277
Ntng1	1.76986166331424	8.41291564318538	105.689751582184	0.0	0.0	2303.17319457285	3.410212554011078
Pex5l	2.58498088308087	10.4158257606961	101.255436684298	0.0	0.0	2203.83456783252	6.0000764505719
Ccdc85a	1.96084038017799	8.60671959170016	96.7747872311795	0.0	0.0	2100.9885983918	3.8928867636985225
Rapgef5	2.13304171432831	9.48514521392288	93.0168207666265	0.0	0.0	2012.7994745073	4.386413182010307
Frmd5	2.24880712476131	9.59632120373523	91.3838101761887	0.0	0.0	1973.92693030642	4.752896958546352
Egfem1	2.31093717984397	8.76065356716214	91.1277272571831	0.0	0.0	1967.80087178425	4.9620531204314515
Unc5c	2.07959819235896	9.0420562499728	86.1553510646509	0.0	0.0	1847.23578544882	4.226894758083491
Fras1	1.60073038939433	8.38666061338854	85.5591574733531	0.0	0.0	1832.57504263552	3.0329682371916777
Sorcs2	1.40165716272273	8.24972099194116	82.5046038342895	0.0	0.0	1756.78412191479	2.6420488889523708
Trpc4	1.28416506454667	8.28021611412882	80.1362751131578	0.0	0.0	1697.25188070024	2.4354106665233375
Sorcs1	1.96764491882477	10.0283178460596	78.4450673601273	0.0	0.0	1654.3393969111	3.9112911145937255
Parm1	1.3715317620978	8.19202926850223	77.8529362723887	0.0	0.0	1639.23733080529	2.5874513951876184
Hcn1	1.75974281029538	10.1860356916054	75.9958119475923	0.0	0.0	1591.61711142283	3.386377505040041
