gene	logFC	AveExpr	t	P.Value	adj.P.Val	B	FC
Apoe	0.834592830799787	7.72904372002263	59.1473571678715	0.0	0.0	1487.41894457229	1.7833536551470086
Mt-nd1	0.571595383318549	7.70591384850274	51.132060737907	0.0	0.0	1150.2473788477	1.4861661174444334
Mt-nd4	0.559398078613537	7.71357005104458	50.0372301504312	0.0	0.0	1106.31715488024	1.4736542508203356
Mt-co1	0.965710720607392	7.87630065575974	47.9419509350728	0.0	0.0	1023.84114340144	1.9530254112947307
Mt-co2	0.768056109493163	7.7883257521172	47.38209211596	0.0	0.0	1002.17201814494	1.7029736464942966
Mt-cyb	0.581030248609778	7.73487008140616	45.1572213803161	0.0	0.0	917.667527121457	1.4959171225368375
Mt-co3	0.846762801272381	7.9109772491668	40.7110087762784	0.0	0.0	757.012457555409	1.7984609085012289
Erbb4	0.653797030897863	7.97882248474651	33.5779391030814	4.17071003371008e-234	2.0143320561360597e-232	524.946932515024	1.5733035310572443
Fth1	0.746846749156828	8.18258907700513	30.0742485883309	3.60547571149835e-190	1.2804882211618e-188	423.904066811594	1.6781210056868623
Mbp	0.627528903366766	8.04054474657295	26.2812213437543	3.5182446486885896e-147	8.83760072242818e-146	325.066099044572	1.544916540950767
Pcsk1n	0.487958955172827	7.93804832529975	26.1580595717001	7.22798251409935e-146	1.7975560991221e-144	322.04862339865	1.4024593499573228
Calm1	0.694855286668377	8.92413013937172	22.4807122988845	3.51001364632821e-109	5.96791861040243e-108	237.737877734869	1.618722054765485
Camk2n1	0.489748594406959	8.19409205786753	19.1714031554677	1.86579288927641e-80	2.2487359144714798e-79	171.76206574072	1.404200156983065
