gene	logFC	AveExpr	t	P.Value	adj.P.Val	B	FC
Thsd7b	1.85321494571787	8.68383670123035	65.1446701979307	0.0	0.0	1306.40080324556	3.6130443044326404
Astn2	1.82841090014242	9.44707353361225	64.7615828528066	0.0	0.0	1296.14318910745	3.5514567106150268
Sema5a	1.81728714292382	8.75055176400532	61.5274223576872	0.0	0.0	1209.15502073389	3.5241788521603588
Sdk1	1.3466358125832	8.22135950385926	60.8278698002535	0.0	0.0	1190.25856723339	2.543183942587618
Hs3st4	2.97714736075769	9.77050986521309	60.7476899487088	0.0	0.0	1188.09114296916	7.874276435001277
Clstn2	1.69100934432116	10.2229173915797	59.5761305707383	0.0	0.0	1156.38725379827	3.2288252110195046
Cdh9	1.17970119569888	8.17624872591128	55.3347204428054	0.0	0.0	1041.22028818038	2.2652985438804034
Pde4b	1.80178286377751	9.56993561896578	52.23209466652	0.0	0.0	956.84629454363	3.4865081735149985
Pou6f2	1.37154400387552	8.60616366360467	49.4631875403181	0.0	0.0	881.711919947213	2.587473350721068
Ncald	1.39289038835273	9.08071060767329	48.5685170967159	0.0	0.0	857.50808847996	2.6260427244094258
Cdh18	1.7553169563255	9.71003060381231	48.4624906015255	0.0	0.0	854.642868226222	3.3760048024727114
St6gal2	0.973054597786355	8.21684502981288	48.2900032536765	0.0	0.0	849.98317802826	1.962992414378405
Foxp2	1.55853298113075	9.01471144209964	47.7402540883751	0.0	0.0	835.145328881258	2.945541707694169
Slc35f4	1.29708238247877	8.80728830243943	46.6326416433355	0.0	0.0	805.320050058268	2.457314277351594
Zfpm2	1.57967154600126	9.09461198513521	45.8904866815956	0.0	0.0	785.394887885387	2.9890179191677233
Rasgef1b	0.901406974600571	8.16907723142384	45.3048444946227	0.0	0.0	769.709659270106	1.8678867338446208
Gas7	1.19214474939825	9.04135720719313	45.1451213387541	0.0	0.0	765.438027798633	2.2849217344203385
Etl4	1.65216486481057	10.8106030156395	43.7781378703595	3e-323	1.162e-320	728.999431815356	3.143049219916945
Slc35f1	1.48028452208059	9.53326347424732	43.2752124204527	2.142668e-317	8.083517655e-315	715.652229006344	2.790037517587072
Tle4	1.2667284696024	8.8049136978056	43.006203107343	2.667311224e-314	9.696888713265e-312	708.527109387581	2.406153146021755
Prkg1	1.22823493487606	8.5300690786473	42.9241728998758	2.3388655155e-313	8.3510028540045e-311	706.356442792147	2.342801843646285
Syt6	0.852920905945076	8.09366051818438	42.5980231082487	1.29991714111605e-309	4.40539715874838e-307	697.735551016403	1.8061539973255063
Rai14	0.635630334735303	7.85411417505849	41.9124258825365	9.193907043132311e-302	2.74376375115568e-299	679.665813444711	1.5536163996476993
Cntnap4	0.74344602526629	7.9814097356093	41.0556300192105	5.3359718640348e-292	1.5241822488767998e-289	657.190213266633	1.67416999369616
Mmp16	1.05896363371031	8.79897981801466	40.8087032180727	3.39636348627569e-289	9.43198443167811e-287	650.736097701519	2.083434339826842
Car10	1.36037502653211	9.53111103275232	40.7521098142648	1.4892226827305898e-288	4.07904212893126e-286	649.258399083833	2.56751913134646
Nrg1	1.68631115931843	9.93929554410383	40.1941162340397	3.08164309753093e-282	8.002266718848159e-280	634.720094856685	3.2183275352406335
Frmpd4	1.18753434438509	10.9919823092036	40.1085701176368	2.84993890074851e-281	7.21323143297044e-279	632.496371742724	2.277631489511146
