gene	logFC	AveExpr	t	P.Value	adj.P.Val	B	FC
Tshz2	3.87420931982944	8.7630601816431	289.598474626631	0.0	0.0	7904.08110356303	14.664025755893272
Kcnab1	2.46540842581874	8.54009004808901	166.470280381978	0.0	0.0	5063.24399421429	5.522832701838978
Htr4	1.47470172904331	8.24526135720062	145.73016117053	0.0	0.0	4443.20462171149	2.7792617799362866
Vwc2l	2.2015913782916	8.54860162327834	134.538267623118	0.0	0.0	4087.00276187814	4.599864546313498
Sema5b	1.66668347797578	8.36422497086204	119.175182711877	0.0	0.0	3572.64085779418	3.1748390992049753
Cpne4	1.67091969467746	8.39351251416645	113.998439865271	0.0	0.0	3392.77807894932	3.1841751481419758
Cntn6	1.6486332495045	8.37401451936068	106.50348405359	0.0	0.0	3126.79036831484	3.1353646674364657
Kcnip1	1.11713786517978	8.20082694028225	102.259184907666	0.0	0.0	2973.3967261613	2.169162094778873
Plcxd3	1.20490398749509	8.25820223950966	101.60822551326	0.0	0.0	2949.70323834338	2.305219274312555
Lama4	1.0691957134837	8.20310772248818	98.576843731276	0.0	0.0	2838.8102761012	2.0982632825671708
Kirrel3	2.36234231057753	8.78509292935284	97.245481655119	0.0	0.0	2789.82733145263	5.1420452665137475
Sntb1	0.800662959114896	8.13371638489848	87.6381897498977	0.0	0.0	2431.94868901717	1.7419013955899258
Camk2d	1.18203207873106	8.33470433179984	87.5192657283249	0.0	0.0	2427.47685744288	2.2689614203080217
Adrb2	1.01739981827391	8.17385319061637	87.1801685441341	0.0	0.0	2414.72130641976	2.024267315416808
Tox2	0.672782125416037	8.1134843489919	87.0921575579113	0.0	0.0	2411.4095491165	1.594144188595444
Mgat4c	2.12899201044561	8.99666904575479	85.4487019189963	0.0	0.0	2349.48759306404	4.374117606283286
Galnt14	0.808656150679783	8.16209229869355	83.7413460997864	0.0	0.0	2285.0103645256	1.7515791121912765
Sgcd	0.939788326613474	8.20724701201028	83.2948578357798	0.0	0.0	2268.12695244375	1.9182467712803586
Nxph1	2.19532719226491	9.03562125155749	75.544260955918	0.0	0.0	1974.12963646409	4.579935219101151
Kazn	1.78061700210421	9.30496808165934	75.3155071572877	0.0	0.0	1965.44079552512	3.4357308018138037
Sorcs2	0.720340259098256	8.1761097633189	73.7135365692263	0.0	0.0	1904.60341148969	1.647570567632031
Etv1	0.955930009939687	8.30163021559095	72.0964170625874	0.0	0.0	1843.23112884283	1.9398297106408384
Lypd1	0.494421646709164	8.07995101468051	71.6291750943817	0.0	0.0	1825.51049182406	1.4087558942961684
Adamts18	0.648642095123616	8.12051794934895	71.5235615969155	0.0	0.0	1821.50590013147	1.5676919457033982
LOC304725	1.92287389456308	8.8860107243018	71.0601219445213	0.0	0.0	1803.9377836487	3.791776408263222
Slc24a3	1.12965855723911	8.44950185101032	69.9366233305281	0.0	0.0	1761.38129541536	2.1880694906399865
Olfm3	1.35506909839017	8.64844450134823	68.9417139400579	0.0	0.0	1723.74222319756	2.558093680424043
Trabd2b	1.37189065888904	8.51019180155362	68.7468927265732	0.0	0.0	1716.37768966792	2.5880951511395573
Itga6	0.581245022176512	8.12427365862577	67.2241763684772	0.0	0.0	1658.89325597216	1.4961398358357054
Hs6st3	2.62578096763937	9.4318257740594	66.4033650230423	0.0	0.0	1627.97015210759	6.172183557924812
Cntn3	1.55332496561354	8.71334904998336	64.7410601373218	0.0	0.0	1565.50662327746	2.934927703412116
Spon1	0.968289065145639	8.32251935947188	64.4563699769365	0.0	0.0	1554.83316526029	1.9565189249333268
LOC304725-1	1.61794472316818	8.71655642137188	62.6901266886571	0.0	0.0	1488.79452010304	3.0693745867224753
Chrm2	1.34469994989074	8.56168003010782	61.9945405790358	0.0	0.0	1462.88043273463	2.5397736908384254
Psd3	1.20323610961972	9.0990888048867	61.3741975369136	0.0	0.0	1439.81851453205	2.3025557851472844
Pcsk5	1.27813882177799	8.76983962963397	60.6534484819895	0.0	0.0	1413.08549227721	2.4252589948332783
Nell1	1.61313827344696	8.74609693858694	60.6228498742722	0.0	0.0	1411.95209484591	3.059165743937571
Diaph3	0.709385439635718	8.14557878257996	60.1490166939914	0.0	0.0	1394.41731802199	1.6351074443907645
Tox	1.31194621966547	8.7844724344801	57.7766454743415	0.0	0.0	1307.12546737707	2.4827624296857804
Tmem200a	0.728704158993834	8.23206513812864	57.4041365380005	0.0	0.0	1293.50127048683	1.6571499567091748
Dpp6	1.35574770887024	9.12516115907316	57.2092985730744	0.0	0.0	1286.38480061351	2.5592972317433302
Neto2	1.35382183753699	8.89425910400861	57.0996954021348	0.0	0.0	1282.38447090647	2.5558830737360476
Fstl5	1.18576959753411	8.54321480422878	56.9103832560622	0.0	0.0	1275.479932346	2.2748471272330515
Ptprm	0.858510914682077	8.36309560856068	56.6315680045504	0.0	0.0	1265.32283036377	1.8131658757289635
Grin3a	0.501223455411713	8.10766388821016	56.2476473425914	0.0	0.0	1251.36019050517	1.4154133731722696
Ripor2	0.638238577562417	8.24828204232977	54.1714564255593	0.0	0.0	1176.35211795573	1.5564277172930385
Gabrg3	1.58315493754667	9.24028693706344	53.9616099779549	0.0	0.0	1168.82062708697	2.9962436317278
Bach2	0.968813011743578	8.65696171208016	51.6842362731597	0.0	0.0	1087.73138175966	1.95722960707608
Grip1	1.27479532969874	9.49465289629289	51.2862463295545	0.0	0.0	1073.68918212908	2.4196448871927587
Trpc3	0.641263705751815	8.27130917454238	51.2475316746613	0.0	0.0	1072.32537618777	1.5596947509346386
Prkcq	0.508145865234668	8.13249446336637	51.1750368074633	0.0	0.0	1069.77262839527	1.422221198523038
Samd5	1.64694947386651	9.76506205546908	49.1263362725398	0.0	0.0	998.214821153112	3.1317075042982387
Adcy8	0.605869893187688	8.23639485517774	49.0219192665455	0.0	0.0	994.599104561519	1.5218961252332028
Dcc	2.0166304533677	10.2246428739152	48.6062025595415	0.0	0.0	980.235423994573	4.0463761912530725
Samd4a	0.660807595192459	8.28790404132413	48.5214033367639	0.0	0.0	977.311746864913	1.5809673736711312
Gpc6	1.24866087337352	8.66106452621993	48.4439041743596	0.0	0.0	974.641636262274	2.3762075820203417
Ank1	0.553023018091659	8.2365765299533	48.1920753421879	0.0	0.0	965.977743823436	1.4671567523570241
Col24a1	0.927648295187302	8.41031202323211	48.1176222884496	0.0	0.0	963.419947201653	1.9021727783701514
Sash1	1.15250346867454	8.83351942193408	47.6634597099898	0.0	0.0	947.854268002571	2.2229930974073286
Ptchd4	0.683262047835804	8.29381254703895	47.0863500217638	0.0	0.0	928.167856252948	1.605766418693409
Grik1	0.763217357561144	8.1649600732676	47.0536844466963	0.0	0.0	927.056737088864	1.6972714963985303
Unc13b	0.903431215512967	9.01704254577498	46.3269495561395	0.0	0.0	902.426712500097	1.8705093993919746
Prkca	1.19430770201269	8.79429138450594	46.243357299254	0.0	0.0	899.604841329885	2.2883499600102315
Ccdc136	0.59428969326428	8.35015255933029	45.9878535652592	0.0	0.0	890.994212082072	1.5097290917923054
Ccdc85a	0.739567562535916	8.38465700110878	45.0388150012387	0.0	0.0	859.207130852101	1.6696752906808845
Rgs6	1.16915317635077	10.6341581892902	44.9278284647845	0.0	0.0	855.510358186857	2.2487965980630347
Mcc	0.837154175326743	8.5911431087932	44.7275583041821	0.0	0.0	848.850837993567	1.7865226133749756
Pkp4	0.820082820559149	8.79076276986866	44.6827037515605	0.0	0.0	847.36127931016	1.7655073418645253
Efcab3	0.720985754912569	8.27987333608342	44.5965459451393	0.0	0.0	844.502134391896	1.6483078945292688
Pamr1	0.642571958637543	8.35362798753594	44.4360560632593	0.0	0.0	839.183462873562	1.5611097420062758
Grm7	1.72789769433871	10.2641066495589	44.0840829257107	0.0	0.0	827.552021556358	3.3124477417979703
Klf12	0.827100429183883	9.12464503668098	41.1617168652767	0.0	0.0	732.824717014448	1.7741161061410768
Pak1	0.504351273468002	8.32368779061197	39.4105728847831	4.9099124088802e-301	6.02292629543311e-299	677.761484982682	1.4184853724316364
Slit1	0.803259200215573	8.97344857734152	39.3615283575712	2.25243234649192e-300	2.7295384707943e-298	676.238896614134	1.7450389038717684
Satb1	0.777455132899092	9.09309152280514	39.1364517832018	2.41373805589557e-297	2.9073911100983103e-295	669.265447480617	1.7141045798241843
Xkr6	0.887990842158837	9.12243397787227	39.0646812264927	2.22212984943262e-296	2.66056804427577e-294	667.046688418433	1.8505971089443363
Kcnq3	0.930000865931095	10.2020789370656	38.5380345581178	2.45181471202086e-289	2.88376677452101e-287	650.838542328182	1.9052771396685886
Dscam	0.956397515538685	9.55465642286127	38.1464498536628	3.8860367444608e-284	4.41484685826669e-282	638.871381970395	1.940458414683282
Zswim6	0.704721954039934	8.65027239368862	37.9831976535724	5.59840960255552e-282	6.218900000172089e-280	633.903794053845	1.629830522556797
Filip1l	0.557339938250196	8.38143879106503	37.3450594762128	1.35562087757789e-273	1.43416081731058e-271	614.609423730375	1.4715534430843253
Ldb2	0.738623617873415	8.70716258398375	35.7582129979391	3.9782691976683e-253	3.937895673632549e-251	567.509228498811	1.668583191839862
Tmtc1	0.650931294670364	8.72162833364244	35.7412678801613	6.53494314254137e-253	6.43675803621255e-251	567.013224143097	1.5701814589632972
Slc8a3	0.566547576506361	8.41416651288086	35.1976725779929	4.95751966278634e-246	4.6757361159157e-244	551.181554456927	1.4809752971597774
Thrb	0.7168812981207	8.78777549665627	34.8327096791637	1.8890728930099e-241	1.7568377904992101e-239	540.640435169329	1.6436251350461049
Pde4b	1.18426887406777	10.1416479750531	34.6441808234668	4.27048652035376e-239	3.9349482937545397e-237	535.223283995876	2.2724820109963764
Bend5	0.754049772706956	10.1523065917535	34.5826591704485	2.4940982920354897e-238	2.2875915297821004e-236	533.459701613958	1.6865204041325828
Srrm4	0.754108474989755	9.40247577391386	34.4594548038899	8.49390238007556e-237	7.719799004073221e-235	529.934114222479	1.6865890289001915
Myo1d	0.587113380564734	8.59128067037604	34.1937906105729	1.66228943342794e-233	1.48381594738356e-231	522.360194837473	1.5022379823118097
Cttnbp2	0.691169491523008	9.9205956427064	34.1872376540239	2.0030220605802402e-233	1.78001893783564e-231	522.173864453743	1.6145918242666608
Robo1	0.941968233091369	9.69135840534825	34.1114470045545	1.72795665775897e-232	1.5153725163109899e-230	520.02051352649	1.921147425421045
Kcnt2	0.791650385474263	9.55489858902095	33.9210439420547	3.8239126172079996e-230	3.29565227504629e-228	514.624845146636	1.7310535865077377
AABR07032097.1	1.0489328813059	8.96839154131187	33.5895752071988	4.40479550473908e-226	3.7319443270024497e-224	505.279853842366	2.068998904486304
Rora	1.23403456713259	10.2018157697595	33.5429613035131	1.63280026990159e-225	1.37754605049292e-223	503.970627243695	2.3522388598097317
Gria4	0.932644869570156	9.78451305671678	33.1812765455074	4.07233021229669e-221	3.31000986158017e-219	493.853904589167	1.9087721115758471
Hdac9	0.768559750925204	8.90678722104552	33.0612520697249	1.15296996741965e-219	9.29582036232095e-218	490.513140746068	1.7035682543550024
Mapk8	0.592710016620018	8.972600598378	33.0383678127469	2.1789665980553502e-219	1.7497364308480599e-217	489.877115783466	1.5080769210064022
Tbc1d1	0.548964718084518	8.53494757525941	33.0186946330846	3.7652219650212204e-219	3.01142452762397e-217	489.330576729389	1.4630354409154607
Shc3	0.494113727639602	8.41412957063102	32.891142442219	1.29884303163821e-217	1.0184457418669001e-215	485.792453607224	1.4084552510532249
Csmd3	0.806305957078319	9.95437953089647	32.7470705206142	7.00802825219799e-216	5.43122189545344e-214	481.80737322536	1.7487280600053066
Cpeb2	0.494606099889868	8.59353940452772	30.5768248270105	1.95893743214552e-190	1.3889699984308401e-188	423.264218092224	1.4089360197628658
RGD1564053	0.744037862259527	9.42107487046725	29.8164431650019	8.17023120757015e-182	5.57555539233328e-180	403.434117456671	1.6748569295837075
Ncam1	0.586586060638638	9.54721612673017	29.8005175038704	1.23335937258096e-181	8.38810226352253e-180	403.022687097526	1.5016889991617544
Kcnd2	0.720896883080439	11.2055336308963	29.7770642371159	2.26129658988285e-181	1.5275211254968798e-179	402.417078835406	1.6482063598136738
Adgrl3	0.626074925729533	10.131917544813	28.7033909997835	1.74795189253458e-169	1.11662294221179e-167	375.071286413325	1.5433603267142726
Adcy2	0.634573638656022	9.7204287220693	28.1462966838347	1.91574402287727e-163	1.17500925574942e-161	361.179141021695	1.55247887631109
Ssbp2	0.509988768933635	8.80930859356445	27.812092644434	7.28938794081544e-160	4.350785429152379e-158	352.944303976764	1.4240391097199132
Prickle2	0.569663569170071	9.76777472487324	27.5877778440429	1.7682044788098e-157	1.0429276859528601e-155	347.45929355022	1.4841774259112661
Dock4	0.662578863912362	9.26688821203159	27.415154388517	1.1823693732696701e-155	6.852601628558541e-154	343.261460068275	1.5829095982755168
Elavl4	0.505414840127006	8.85406563454207	27.104992231821	2.1385047620628703e-152	1.2251977856002e-150	335.770024320115	1.4195314770748824
Bcl11b	0.645333706928236	8.82449332483481	27.0161515436315	1.8107620368171502e-151	1.02858485585679e-149	333.636377001835	1.5641010335256293
Plxdc2	0.67117832382773	8.63179063842525	26.5416954446053	1.48778685768348e-146	8.19512347641355e-145	322.333893968994	1.5923730101158236
Chsy3	0.747674143329297	10.1239882189938	26.0127978903017	3.72345751524949e-141	2.0013584144466e-139	309.919627846529	1.6790836940754363
Tmem108	0.564839431960417	9.19628637599961	24.8851449985541	6.2101976128508e-130	3.05093123510938e-128	284.115415751554	1.4792228665994953
Oxr1	0.541846347598783	10.5533816292072	24.0697883806613	4.55166045133321e-122	2.1018579843974e-120	266.032737244586	1.4558344889405685
Lrrc4c	0.615811283927796	9.79703930495749	23.5938833479601	1.41323345639925e-117	6.37869141325123e-116	255.70595244616	1.5324194943470866
Sox5	0.784727163299346	9.82490716586432	23.4201328158668	5.91435319181458e-116	2.6396761622842096e-114	251.978013243223	1.722766485925643
Dab1	0.495428413543495	9.26607525310244	23.2792709845257	1.2005872967316899e-114	5.27598747212091e-113	248.972443700454	1.4097393202140216
Grik3	0.608421940129416	8.98241269054314	22.6600279584321	5.62032293669833e-109	2.37586378687702e-107	235.938542691893	1.5245906570046073
