gene	logFC	AveExpr	t	P.Value	adj.P.Val	B	FC
Thsd7b	2.1128598358396	9.36146438207279	53.6357156658104	0.0	0.0	867.685840448412	4.32547879425482
Fstl1	1.1599471440744	8.52473166361605	50.1329704305244	0.0	0.0	792.221058416774	2.2344924096898096
Negr1	1.60164158540531	10.5707938615711	49.1128906898649	0.0	0.0	770.095537148859	3.0348844436031
Slc35f3	1.51959431782304	9.5555178061518	46.8712025676788	7.144e-320	2.8569613e-316	721.297873079431	2.8671041602678953
Sema5b	1.1769408194749	8.62572959092479	45.8693797006751	2.2396146693128e-310	7.46351588548494e-307	699.431375554099	2.2609683855830145
Chrm3	1.7287309852588	10.5705465143934	44.3889595896883	2.51356683966127e-296	7.179824137003871e-293	667.079542878731	3.314361541906535
Itga6	1.19593116554489	8.586931244298	43.8421954742131	3.9099018915523305e-291	9.7723110401986e-288	655.124981769734	2.290926487731464
RGD1564053	1.39011331854032	9.9245575652184	40.8923858249881	3.85190507189605e-263	7.70188419125615e-260	590.671238084459	2.6209926692404264
Sulf1	0.840723360484195	8.19145572558946	39.0079460025002	2.56245472991913e-245	4.6578438477029896e-242	549.637432403662	1.7909478895927315
Egfem1	1.87790942459352	8.96994761832914	38.1805449243821	1.6082609544458002e-237	2.47362906031876e-234	531.685589313066	3.675420776083306
Cacna2d3	1.40293951368171	9.52568504761708	38.1261962880248	5.22171642255609e-237	7.457729990643501e-234	530.508132980982	2.6443983391251584
Igsf21	0.918170727490265	8.86084256594572	35.093458109062	1.16980823575147e-208	1.5593543782567101e-205	465.245013364042	1.8897176965917797
Mctp2	0.930939811862298	8.55262401985783	34.223102557811	1.31175611276277e-200	1.63928521716822e-197	446.715866581656	1.9065175504578071
Lamc1	1.00193407527553	9.2631126546419	34.1240275243272	1.07449160893661e-199	1.26379174827574e-196	444.613537387622	2.0026829956570356
Epha3	1.15616628083307	9.20363983118852	33.9467287429074	4.614026063573961e-198	5.125413952286739e-195	440.855042084519	2.2286441538775708
Nr4a2	0.768082083041929	8.18120828266486	33.6341260655709	3.45094482760281e-195	3.63166535936411e-192	434.24018517923	1.703004306242872
AC125757.1	1.09775659932032	9.19499588296071	31.6985078053461	1.48112693741303e-177	1.28761448319885e-174	393.656984702025	2.1402162851630537
Prex2	0.699864519740533	8.08182175284449	30.7758246799503	2.91196086467471e-169	2.42602739538212e-166	374.570148894048	1.624352246269247
Rasgrp1	0.730609914694636	8.45477780178488	30.7521538839404	4.74128424291406e-169	3.79207913748266e-166	374.082934662898	1.6593404472133089
Bmpr1b	0.75529904367751	8.32997049182791	30.6832035965542	1.96007112426929e-168	1.50737008191401e-165	372.664458993872	1.6879814429574034
Npas2	0.941577237776126	9.40064499952961	30.4126545952305	5.08481667613409e-166	3.38903031464337e-163	367.109138739373	1.9206268317803172
Fbxo21	0.648352664861701	8.40506885618704	30.1655592710201	8.02683508240278e-164	5.17730862814979e-161	362.050377724835	1.5673774703869034
Nav3	0.766575147455194	12.1944748864142	30.0400529988575	1.04396514311353e-162	6.52315094892347e-160	359.486496338987	1.7012263989986602
Brinp2	1.04913410500073	9.51030361608028	29.9061818077563	1.60419814245093e-161	9.71998238130492e-159	356.755962840345	2.0692875036900054
Gse1	0.839557865949567	9.03629730418983	29.8805992124963	2.70267342355414e-161	1.5894104442342598e-158	356.234663413713	1.7895016400344166
Igf1r	0.836999896125624	9.57086345229919	29.3959464071541	5.12864005086067e-157	2.8485321615822e-154	346.389917948642	1.7863315760892302
Myocd	0.583827331376969	8.03820208508444	29.2832774718992	5.02160310729388e-156	2.64228826658792e-153	344.10991106464	1.4988202050698824
Galnt14	1.00320802829816	8.84982917594072	29.0755675938865	3.3397232228395e-154	1.7122504061711703e-151	339.915390723395	2.004452219763092
Crtac1	0.720691503107625	8.80175646273431	28.9514670104952	4.0779643325101797e-153	2.03847242071353e-150	337.414791360364	1.6479717402481209
Ak5	0.85902047942972	9.45384916212359	28.91020641365	9.36178144482688e-153	4.56558097534911e-150	336.584322433139	1.8138064051351832
Cpm	0.730380509211852	8.13320789860418	28.8760709187734	1.86121891070923e-152	8.86073145705504e-150	335.897613746221	1.659076613539275
Emid1	0.775158779307569	8.83157866115596	28.8739852340976	1.94100956202806e-152	9.025694463430501e-150	335.855666036719	1.7113783909073186
Trhde	1.27658734614735	9.47280554134996	28.7244046814242	3.92746156984522e-151	1.74510209086789e-148	332.850386586989	2.422652270872148
Ctnnd2	0.750073479436189	10.799634865685	28.5874219977342	6.13545240130948e-150	2.66692110356919e-147	330.103654675919	1.6818784898689323
Nhsl2	0.799203967617592	8.78631575120824	28.1002696700226	1.0339149259154902e-145	4.30690186326671e-143	320.378602355299	1.7401407083878497
Gsg1l	0.627330220751396	8.35668417641331	27.5595961403707	4.67897747398068e-141	1.7652104640046e-138	309.666893201468	1.5447037954187723
6330411D24Rik	0.560713360522392	8.17713142595478	27.5209743124469	1.00288021615088e-140	3.71344257813644e-138	308.905126546786	1.4749983703568925
Entrep1	0.526988907347357	8.17206518055457	27.268203465646	1.45630005221582e-138	5.2943126443737e-136	303.931017958702	1.4409186698009204
Ralyl	0.812764890493161	11.12106095791	27.1937469092543	6.28688470579043e-138	2.24475463736214e-135	302.469674488	1.7565746520980778
Auts2	0.809171770043688	10.2130814012037	27.1663343762984	1.07670877981957e-137	3.7769810618407695e-135	301.932098762159	1.7522052386378923
Usp46	0.625469907376088	8.55029050985848	27.1235044813673	2.49442210305274e-137	8.59930516388614e-135	301.092660393891	1.542713228380726
Tenm3	1.78111627460351	11.2066931606182	26.8982769088946	2.0487984243118698e-135	6.94334313459592e-133	296.688076820456	3.4369200086161578
Vxn	0.690129429595359	8.7706456317813	26.5297957935779	2.6805646468880202e-132	8.50760160548031e-130	289.517923436904	1.6134282586656905
Pou6f2	0.868467708724337	9.49722461734197	26.4446259839476	1.39902250609299e-131	4.37085234520771e-129	287.86709927814	1.8257227640143696
Pde4b	1.08244739139106	10.2301545246531	26.3362433955419	1.14146124636694e-130	3.45810873047074e-128	285.76991526712	2.1176253806816843
Cck	0.489827654527939	8.07523972089599	26.2639556823061	4.61877447848615e-130	1.35812346613721e-127	284.373398291439	1.4042771096813567
Pcdh9	0.814938528987764	13.0696087507014	26.1080297237437	9.360948550142709e-129	2.59961342027921e-126	281.367238833268	1.7592231924589838
Chst11	0.872396392619942	8.91924401368042	25.6177394923582	1.13821390054808e-124	3.0754847218187697e-122	271.970627605327	1.8307012677608259
Col23a1	0.613848303593982	8.17027315015856	25.5491000175222	4.21812253527036e-124	1.1245514679030801e-121	270.66202527269	1.5303358497064208
Slc8a1	0.80997332211609	10.4205412948325	25.4398619434749	3.38037460553482e-123	8.89349871548274e-121	268.582974861058	1.7531790230717565
Rgs8	0.543945176486147	8.33502472352632	25.1480884849591	8.58517550776623e-121	2.20077672151007e-118	263.051558336823	1.4579539743988954
Brinp3	1.07184993848931	8.93408583930237	25.1380557114042	1.03799098648531e-120	2.62716832592072e-118	262.861925585263	2.1021271546507228
Kcnj6	0.613291086519622	8.7504975055094	24.7190701979261	2.7820892459948903e-117	6.86763882390961e-115	254.976889426198	1.5297448969508372
Celf4	0.930881311846877	10.4729950514216	24.7166287286008	2.9124701306591e-117	7.10180978811326e-115	254.931141374225	1.9064402444147948
