gene	logFC	AveExpr	t	P.Value	adj.P.Val	B	FC
Flt1	2.25093420178362	9.71693348808888	15.2800672085307	3.47885629926907e-37	1.3911946340777e-33	73.7186332815482	4.759909691037651
Ebf1	1.93326089242919	9.48971363621594	13.2266159482591	2.6526930695036896e-30	3.78861413748045e-27	58.1225051635504	3.8191746416337415
Lef1	1.67350799191052	9.33188168158009	12.8063453539852	6.59262155702156e-29	6.2771175253641e-26	54.9596132849238	3.1898929117129016
Mecom	1.63810522905132	9.30843661850564	12.7907923279214	7.42259939051232e-29	6.74613067333154e-26	54.8428828466967	3.112567726205123
Slco1a4	1.59092064226333	9.2649622735066	12.5941952122714	3.31550353148887e-28	2.2859825211075903e-25	53.3695488347507	3.0124152260166204
Cyyr1	1.63152454330064	9.29662449963475	11.9484786272812	4.3762456692948797e-26	1.65100060674625e-23	48.563198801361	3.098402441493022
Abcb1a	1.21572980001038	8.98049342839395	10.8289582601731	1.77683667871353e-22	3.03656832400658e-20	40.3868356819423	2.3225824304577
Utrn	1.30178908468522	9.36331971152074	10.6989234092892	4.5902441906437e-22	6.953176711509151e-20	39.4532422530382	2.4653442027075005
Arhgap31	1.11126254734552	8.91871366149086	10.605260658117	9.071962412762329e-22	1.27742174959988e-19	38.7831770476685	2.1603462322402924
Frmd4b	0.987117842716923	8.79131053972118	10.0798348767371	3.9832155985473704e-20	4.0843279945105004e-18	35.0643073756245	1.9822210323818106
Tbc1d4	1.06735046817336	8.94703968764944	9.69075661887982	6.249696374219941e-19	4.97859278894532e-17	32.3586819707542	2.0955812636003066
Slco1c1	1.26092228249839	8.99889575674742	9.55158125415292	1.65522033965935e-18	1.2167695107165e-16	31.4018077201344	2.396488941140021
Adgrl4	1.0440784716685	8.8673771685689	9.3331051289496	7.54348071635586e-18	4.846429666054501e-16	29.9121114613904	2.0620487943546815
Adgrf5	0.942083560770227	8.78426926771802	9.1615467127414	2.45521843174769e-17	1.44388507478809e-15	28.753417752956	1.9213010062700682
Slc2a1	0.955141466896816	8.85758483364094	8.94509496117607	1.0727163736595799e-16	5.60025166875282e-15	27.3061339859104	1.938769735231517
Ptprb	0.883507248066238	8.81938490605599	8.91906624660087	1.27940928743639e-16	6.610281318421351e-15	27.1332301545923	1.8448547682552774
Ccdc141	0.938967717130758	8.752750795763	8.83663995489673	2.23172512333765e-16	1.11837954489063e-14	26.5873357337288	1.917155976728845
Prom1	0.913043488925737	8.73556522983089	8.80637232523047	2.73589124360597e-16	1.34408219695089e-14	26.3875141388395	1.8830136902176269
Tek	0.85616121845809	8.70381046403739	8.77224227564424	3.44087219265752e-16	1.66184153362771e-14	26.162607551669	1.8102152026086784
Pltp	1.08260607623721	8.91334640047631	8.66961357924347	6.83805829326709e-16	3.12876374310928e-14	25.4889931513227	2.117858315244753
Pecam1	0.753501912811206	8.63863254991653	8.66918633606321	6.85757960541588e-16	3.13053205959568e-14	25.4861973804163	1.6858800737440847
Atp10a	0.831797962277102	8.70258747030387	8.59816309491311	1.1004214273405901e-15	4.7832448781902304e-14	25.0224299721391	1.7799021882056185
Epas1	0.839216186911083	8.69468688876651	8.46991384084994	2.5720556358633103e-15	1.03895459472903e-13	24.1900510123472	1.7890778756324877
Slc7a1	1.04066983571835	9.23780606871536	7.88783129520753	1.1141497680985e-13	3.51934038122108e-12	20.4987884492972	2.0571825706594082
Maml2	0.802606406528726	8.85824301166765	7.76901016280284	2.3615066455992e-13	7.0686115836460894e-12	19.7637651678252	1.74424948361055
Cobll1	0.857193540498384	8.83203083067313	7.72153900019448	3.18235980160484e-13	9.41291186880011e-12	19.4719507715176	1.8115109676470176
Stard13	0.696534630399442	8.6442161140111	7.68930892458388	3.89453428172305e-13	1.13514887701243e-11	19.2744329617566	1.6206073967257708
Abcc4	0.798719613489546	8.83326180019457	7.66888144613567	4.42522628365547e-13	1.2786473922209698e-11	19.1495015184784	1.739556591270981
Cdc45-1	0.815805700312913	8.68652276715195	7.634648470435	5.47924597624676e-13	1.5518062789667698e-11	18.9405849724612	1.7602809395516241
Clec2g	0.697795155302416	8.60864849487642	7.61311692147834	6.26552984858726e-13	1.7570725010168598e-11	18.8094709345102	1.622023987632121
Rnf220	0.726621530436963	8.68850530487584	7.5975378447197	6.90296785359618e-13	1.9196779170049397e-11	18.7147433379077	1.6547594737019355
Dach1	0.760552920554312	8.65455719021895	7.57175249318952	8.10160095475033e-13	2.2259632356224497e-11	18.5582155263534	1.6941397884117038
Itga6	0.751436135635817	8.65257259043355	7.44129681727178	1.8123986382001998e-12	4.7064233829426496e-11	17.7712871319	1.6834678103867975
Ptprm	0.912280179633413	9.42153757424188	7.37179603043521	2.7738732251946197e-12	7.038527301747009e-11	17.3554997773234	1.8820176781427018
Prex2	0.661723189099073	8.62559154575936	7.25536069893317	5.62882219776038e-12	1.37086845120851e-10	16.6644108555337	1.5819710393657838
Eng	0.646141291278724	8.5616746171533	7.22239046233584	6.86921894147851e-12	1.66082264491974e-10	16.4699841347956	1.5649768229928338
Akr1c15	0.651322453956791	8.55188505795589	7.20893452679308	7.44967626448647e-12	1.78604648571231e-10	16.3907959189592	1.5706072414830048
Parvb	0.653871309696774	8.59589269695082	7.15965586373297	1.0018825570233e-11	2.35678137972715e-10	16.1015968628093	1.5733845364684806
