gene	logFC	AveExpr	t	P.Value	adj.P.Val	B	FC
Prkcq	1.02242337313742	7.83554535667325	158.648717727459	0.0	0.0	10379.0301895416	2.0313282276512306
Nxph1	3.87058358509398	8.22804003255919	143.740003949537	0.0	0.0	8780.22960832868	14.627218868722922
Chrdl1	0.515298998714784	7.81151005904832	134.804887064403	0.0	0.0	7856.75492034909	1.4292903296341575
Lama4	1.51806832797361	7.92685735329265	133.7127753919	0.0	0.0	7745.91262874048	2.864073125537701
Tshz2	3.59350362523168	8.18229656059858	122.498873360219	0.0	0.0	6635.96289728248	12.071253788710772
Trabd2b	1.90191411360254	7.96581472053312	116.375293201066	0.0	0.0	6053.46844700267	3.737086904973217
Skint10	0.5623530505131	7.82238836137579	109.836914720257	0.0	0.0	5451.87116231274	1.4766757276001419
Tnfrsf19	0.630162589487432	7.83305626974266	109.426080578738	0.0	0.0	5414.80974977111	1.5477394115385263
Col24a1	1.47914122948636	7.92476585578991	103.655365895075	0.0	0.0	4903.93256956454	2.7878273723014284
Etv1	1.78572985462873	8.05569504374136	103.654372114584	0.0	0.0	4903.84766535036	3.4479284932769487
Grin3a	1.10994906991587	7.90119788435043	100.942494726879	0.0	0.0	4670.23163602861	2.158380276427952
Cpne4	2.03053487096265	8.09936866380612	99.1846800506217	0.0	0.0	4521.09302856078	4.0855629212446445
Dhrs3	0.597636772765945	7.84501302495714	96.8208270532453	0.0	0.0	4323.44622038595	1.5132357577393611
Trpc3	1.2677106258811	8.01952728749766	93.9218255334116	0.0	0.0	4085.71743351742	2.4077917619107803
Tox2	0.834164927054359	7.87099415221739	92.8958728204359	0.0	0.0	4002.84248781057	1.7828247903976067
Ntn1	0.595981813506762	7.83841636729693	90.2731076124861	0.0	0.0	3794.02937829635	1.5115008743423004
Htr4	1.06365323453913	7.87915647292009	89.9391361785172	0.0	0.0	3767.75932338489	2.090217736333573
Mgat4c	2.13855973202299	8.37741068760005	80.003038048321	0.0	0.0	3020.47541029336	4.403222453708625
Adamtsl1	2.08896265211238	8.19860236302042	79.3024614557512	0.0	0.0	2970.37180258821	4.254420553481929
Camk2d	1.53764118891331	8.1298238880614	77.7408120306494	0.0	0.0	2859.95770636716	2.903194419739616
Plcxd3	1.19569752771514	7.97330258214692	76.2158652915025	0.0	0.0	2753.84642598656	2.2905555127579054
Zfp385d	0.968020964973421	7.94518912245916	76.042834251865	0.0	0.0	2741.91419254556	1.9561553731706864
Tmem163	1.3342593567426	7.99679692555374	73.7515223276245	0.0	0.0	2585.99139934889	2.521460031332454
Vwc2l	1.67155344175298	8.13564332437862	73.1081990229438	0.0	0.0	2542.9182288582	3.185574199861766
Efcab3	0.837472427762651	7.89779575748727	70.5893744274973	0.0	0.0	2377.28667810509	1.7869167561934822
Olfm3	1.99914814155813	8.5824320921029	69.0101794157396	0.0	0.0	2275.92106868935	3.997638844047668
Neto2	1.83341115558305	8.44557427676815	67.5040532385201	0.0	0.0	2181.04960119303	3.5637871061534603
Psd3	1.46284470508863	8.87719300389649	63.7265144839762	0.0	0.0	1950.97758507646	2.756513572713121
Glra2	0.601656714871759	7.87588744877458	58.3192342544329	0.0	0.0	1641.72649071021	1.5174581352211658
Adrb2	0.86684117897003	7.94361358085998	57.6633369157684	0.0	0.0	1605.85718728212	1.8236655593051556
Sash1	1.69436313491817	8.46187066604228	56.5727064989602	0.0	0.0	1547.01212557786	3.236339896926074
Itga6	0.693303999063692	7.90453719146368	56.4985666156038	0.0	0.0	1543.04831639529	1.6169824259363006
Ssbp2	1.18446818956062	8.67220556242367	55.4895124728694	0.0	0.0	1489.56117593318	2.2727959873729726
Phldb2	0.49964760515816	7.88654267589346	55.4888292893036	0.0	0.0	1489.52525436542	1.41386816664482
Hip1	0.890159763314148	8.21305457718953	55.2948394867757	0.0	0.0	1479.34136458326	1.8533813549243616
Samd5	2.43150536075487	9.2010900003718	54.5746711823263	0.0	0.0	1441.81441222433	5.3945602532028785
Palldl1	1.2405876314596	8.05617605927773	54.2975202310083	0.0	0.0	1427.49036147132	2.3629475910819537
Bmp6	0.833359920311118	8.03053546884379	54.124855178524	0.0	0.0	1418.59985408158	1.7818302727735083
Plcxd2	0.697080139072976	7.98381369134636	53.8420986577193	0.0	0.0	1404.09550415427	1.6212202930939248
Gabrb1	1.53167701070996	9.78349011632889	52.5129391231352	0.0	0.0	1336.83421529631	2.8912172334718482
Pamr1	0.944868520728324	8.1624832341781	52.246375127693	0.0	0.0	1323.52813161696	1.9250134430975918
Kazn	1.58461239233097	9.071284620966	51.8699318851621	0.0	0.0	1304.84184738413	2.999272058400141
Fgfr1	0.499093839971558	7.88575554307379	51.3908316622925	0.0	0.0	1281.23733750067	1.4133255705299683
Bcl11b	1.37668725270982	8.28267959753049	50.1786099833134	0.0	0.0	1222.40450329667	2.596714228983818
Tmem200a	0.961104034095294	8.19396917294539	49.3492957568221	0.0	0.0	1182.89509447817	1.9467991287697781
Clmp	0.724435459243493	7.99180571175635	48.7885592959147	0.0	0.0	1156.5229661425	1.6522539665676994
Kcnk2	1.13699730809883	8.41726374866612	48.4407305588179	0.0	0.0	1140.30324653635	2.1992281951212185
Rgs6	2.04702686075245	10.1615481531336	48.2571347641168	0.0	0.0	1131.78495299555	4.132534491427025
Sema3d	0.70729547207739	8.00100105390119	48.1372753462425	0.0	0.0	1126.23989271213	1.6327404525102545
Kirrel3	2.42924429371473	9.18489379955132	48.1121992416371	0.0	0.0	1125.08127554129	5.386112238355367
Mcc	1.03806349671056	8.47296158120326	47.6931231583054	0.0	0.0	1105.80279466967	2.053469467911412
Synpr	1.20908310365495	8.33753382283829	46.4119836617073	0.0	0.0	1047.8328086698	2.311906582177187
Fut9	1.25470280125054	9.87789086623626	44.86454034913	0.0	0.0	979.764315501977	2.3861798764678315
Dcc	2.27198586854283	9.45058639352535	44.5388810639511	0.0	0.0	965.712539829244	4.829875056220204
RGD1564053	1.46627518300885	9.20239560880744	44.503182872583	0.0	0.0	964.178110433165	2.763075881549476
Rap1gds1	0.935202702561043	8.68171288730639	43.9530509168291	0.0	0.0	940.675198345109	1.9121592798726377
Pkp4	0.946480862997726	8.62331961763463	43.7055640848408	0.0	0.0	930.190953685991	1.9271660224574478
Spon1	0.901528207739789	8.08515025709484	42.8336693321431	0.0	0.0	893.69596950982	1.8680437034611064
Ptprm	1.21541789061995	8.44596036076393	42.4930068336776	0.0	0.0	879.623931768467	2.3220803444699554
Rell1	0.500369656490787	7.96167728674377	42.4719930996762	0.0	0.0	878.759382488721	1.4145759675853755
Adcy2	1.12083155552279	9.41165952071675	40.8324365769044	0.0	0.0	812.540774913888	2.174722853173443
Cdh18	1.4778863466356	9.83987399385546	39.9404384244621	0.0	0.0	777.546134124854	2.785403522757911
Foxn3	0.809713947772611	8.43451351613799	39.9348981641285	0.0	0.0	777.331059823369	1.7528638568231873
Galnt13	1.03695957746195	8.93665612515233	39.4526174672929	0.0	0.0	758.716874590306	2.051898798191889
Gabrg3	1.63256709958888	9.27459567617066	38.5393624171606	1.012e-320	1.3953e-318	724.055292114948	3.1006422955880675
Sox5	1.5031766968896	9.36962768714412	38.3892602701641	2.815097e-318	3.8291066e-316	718.43198707437	2.8346619525090864
Zswim6	0.83802672218469	8.55814886008409	37.9298254737601	7.5045273800434e-311	1.00706728163737e-308	701.349462313614	1.787603435125268
Adcy8	0.718302144474462	8.15279488876411	36.963291853351	1.6606258304068699e-295	2.1422073212248601e-293	666.050562898866	1.645244665908322
Srrm4	0.905787813689502	8.89303979991656	36.3879465827365	1.49890036622121e-286	1.8615225355647902e-284	645.450305953377	1.873567316050893
Unc13b	0.823823619947355	8.67367224214898	35.3922596774764	2.27876567385755e-271	2.74481443667359e-269	610.528594802339	1.770091109306051
Gab2	0.730233029006607	8.41807993848894	34.9464432977033	1.0594055510392901e-264	1.26088178529944e-262	595.192707377584	1.6589070222904951
Slit1	0.820904146367202	8.59800225833206	34.9118519489521	3.45950487983212e-264	4.06898823954372e-262	594.010557987416	1.7665127307650355
Ccdc136	0.562281990076656	8.19723696749244	34.7323750382227	1.57701865229368e-261	1.8122119512995502e-259	587.894983045066	1.4766029952246245
Pde9a	0.588866398975593	8.08946683979967	34.1803005332376	1.96898652753795e-253	2.21179132686074e-251	569.272714275668	1.5040644607890945
Chsy3	1.15450552142339	9.85838234504707	34.1692870125981	2.84772178016354e-253	3.1810165918642398e-251	568.904122688137	2.226080124669572
Slc1a2	1.02406479496944	8.86209756553008	34.0196217102151	4.23970231184414e-251	4.70960265140687e-249	563.906540878503	2.0336406803190354
Sorcs2	0.626223211308494	8.1036245388419	33.6769806933277	3.6930348645348697e-246	3.94878246611629e-244	552.544446898927	1.543518967199581
Sec62	0.556868945620307	8.2886976929366	33.6463996990963	1.01381165126146e-245	1.07825340249856e-243	551.535738140904	1.4710731075434553
Grik3	0.994676752566274	8.49163831155562	33.6137233090043	2.9796588502677703e-245	3.13569887953179e-243	550.458870534129	1.9926340099496114
Kcnt2	0.960188675400627	9.39827488471225	33.5551349395831	2.05375963316233e-244	2.13879811797296e-242	548.530618495267	1.9455643187427178
Gmds	0.724075883516152	8.71353460696464	33.5252050770723	5.4992028769465896e-244	5.69723116707498e-242	547.546810305237	1.6518422119186706
Tle4	1.00460361932451	8.57086470661509	32.6199327331054	3.19966471531102e-231	3.1829500488877497e-229	518.18900720187	2.0063921647396668
Rbms1	0.853106892722677	8.65972576999357	32.5904164452686	8.23464593112093e-231	8.151076504592229e-229	517.244828858637	1.8063868548636823
Clstn2	1.3719103977073	10.2907386269158	32.195859945248	2.34033483639022e-225	2.26062778036823e-223	504.702486424001	2.5881305614569547
Edil3	0.84348912947601	9.08371255433686	31.9212982076852	1.33851652781011e-221	1.2506372884842601e-219	496.061460566893	1.794384582052803
Slco3a1	0.545326721799146	8.24843639836332	31.8379442324798	1.82467846790696e-220	1.6890947206388799e-218	493.452257358707	1.459350800587468
Pbx1	0.942638224284906	9.95261506704982	31.6220434161606	1.53679896206655e-217	1.40955482782205e-215	486.724578510637	1.9220398183000498
Cdh11	1.01818436078089	9.07438363505912	31.438084134863	4.6144441998269703e-215	4.1749236097529495e-213	481.027081905795	2.025368418284196
Tox	1.13131938414271	8.64170817749598	31.3671657513174	4.1258775584399205e-214	3.71607755770298e-212	478.83917811817	2.1905898411682445
Filip1l	0.487764188653239	8.10373214306813	31.2436548466474	1.85136330683549e-212	1.64524485867448e-210	475.040195272347	1.4022700281106952
Qki	0.489206258381421	8.14431987294454	31.1945371841427	8.36961935754853e-212	7.37227044291554e-210	473.533433662265	1.4036723911084843
