logFC	AveExpr	t	P.Value	adj.P.Val	B
Pcsk5	-0.354027969190369	8.38236001901893	-55.4483267861215	0	0	1486.31299777883
Cntn5	0.601429815235344	10.3792818468949	53.4745367909368	0	0	1384.2329254612
Bcl11b	-0.330558234634122	8.28267959753049	-53.134264765297	0	0	1366.971818875
Kctd16	0.541354176356387	10.5009382734986	51.7416839349903	0	0	1297.37041175605
Cntn6	-0.231438426526545	8.04687908702107	-48.6750587192798	0	0	1150.04626881252
Spon1	-0.224010567495662	8.08515025709484	-46.9652427864191	0	0	1071.49535351812
Tmem163	-0.193722182159418	7.99679692555374	-45.7996614095966	0	0	1019.43560199738
Epha4	0.264343731190001	9.0070626542084	44.2112668082798	0	0	950.448379700346
Vav3	-0.107287290976648	7.89927304094124	-43.6944762590777	0	0	928.492351857107
Ppargc1a	-0.391175489526695	10.1766263790856	-43.2685366701497	0	0	910.577460402686
Fstl4	0.427451594683465	9.26641807377288	42.8573884844447	0	0	893.440335799883
Etl4	-0.430727413730493	10.6379265211407	-42.7820760002223	0	0	890.317912445187
Nrg1	0.433805750370526	11.1612375659965	42.7471706253281	0	0	888.872460788766
Pdzrn3	0.486689323885104	9.74245010002301	42.7292460261665	0	0	888.130543122519
Specc1	-0.24665935268756	8.71391945822328	-42.5965973568438	0	0	882.649803868839
Sox5	-0.377849649212779	9.36962768714412	-42.5703582563199	0	0	881.567524210888
Car10	0.353884306286957	10.5613546827722	42.4700214713749	0	0	877.43479399608
Col24a1	-0.147861936695676	7.92476585578991	-42.4094527993242	0	0	874.944394951087
Kazn	-0.29575219692958	9.071284620966	-42.2525234211432	0	0	868.507719183241
Stxbp6	0.249795299324546	8.42979070688821	41.8270212973499	0	0	851.167642950143
Il1rapl2	0.420716700810244	8.43042897638171	41.1859514395238	0	0	825.354178002912
Klhl32	-0.217852320836572	8.4039127115274	-40.7991553778099	0	0	809.96097484376
Adam12	-0.107272843936997	7.9199263365276	-40.6143006214891	0	0	802.652663404752
Sgcd	-0.12552067668072	7.94399989759483	-40.5912940406375	0	0	801.745272749331
Htr4	-0.111328309183707	7.87915647292009	-39.230687346615	0	0	748.946166056931
Sv2c	-0.114767144093409	7.88950123957712	-39.0587073962002	0	0	742.393580649556
