logFC	AveExpr	t	P.Value	adj.P.Val	B
Pld5	1.69029852363445	8.27989696514096	107.214163711338	0	0	5217.29834741793
C14h1orf146	0.48796546635952	7.87049885646844	97.122293273869	0	0	4348.74291286205
Col13a1	0.653843623783824	7.94381741119833	92.9977098110168	0	0	4011.24461688103
Kcnip2	0.767373866420048	8.20938108512116	76.1821556802903	0	0	2751.46204407865
Rorb	1.6379998524224	8.54194414991947	75.3367883199407	0	0	2693.3821351165
Eya4	0.318245864228238	7.85952270013699	73.2551538377992	0	0	2552.63169246323
Myo16	0.694292938564692	8.08605965077662	72.9669608811729	0	0	2533.40114476608
Kcnh8	0.197450099627961	7.82619362056229	67.4640290954191	0	0	2178.37789475883
Matn4	0.170400229605834	7.82155168066977	67.351623688137	0	0	2171.37074690577
Dock5	0.341540058935182	7.88239931797932	67.2171037725591	0	0	2162.99853372096
Cux1	1.32708114430999	8.80663293506423	67.0341621657377	0	0	2151.63455978459
Gpr158	1.1791393734397	9.65298061641126	66.8869240017713	0	0	2142.50816146884
Ush2a	0.523311909742981	7.92983641559604	64.243180023844	0	0	1981.55896369007
Sel1l3	0.718861482644551	8.47355350677901	63.1039872972515	0	0	1913.93095057028
Slit3	-1.37375999265051	10.0986632228361	-62.3483028267185	0	0	1869.64862581556
Nkain2	-1.57021153652428	11.5395764533973	-61.9735931239302	0	0	1847.86314920897
LOC108350387	0.887797887881398	8.46926511596423	61.1503540911167	0	0	1800.40281269419
Dpf3	0.275597788470693	7.86654752490894	59.152645193245	0	0	1687.54910222526
Cd200r1	0.433527688808414	7.97759065092654	58.9834031524087	0	0	1678.14000846754
Shisa6	0.603028348144924	8.09108632790841	58.490512442617	0	0	1650.87319933673
Shld1	0.3694571912433	7.95826198184607	58.1990729344103	0	0	1634.84597763437
Rcan2	0.991733762689854	8.82716026556825	58.1389264212978	0	0	1631.54714427394
Rassf3	0.341873387136018	7.91555875639685	57.6270015100147	0	0	1603.5922353785
Adrb2	0.462126429903964	7.94361358085998	56.3273868326943	0	0	1533.61155637108
Thsd7a	0.880647738768277	8.27954010585141	55.3960227037401	0	0	1484.33704754505
Dmd	-0.870015418086888	10.4168367493527	-54.8882299818706	0	0	1457.78222807648
Vegfc	0.332199613717851	7.93137019811746	54.5685594926246	0	0	1441.1776665631
Aff1	0.34786118890563	7.96184115767253	52.6232335479769	0	0	1342.01801607345
Tafa2	1.35480362089761	9.00983306774936	51.8874935778017	0	0	1305.3638498683
Zmat4	1.02367529859319	9.11688953539143	51.7179017313364	0	0	1296.98149073575
Astn2	1.10027587742844	9.68457915935618	51.7013495842455	0	0	1296.16472874163
Sox5	-1.06873164887723	9.36962768714412	-50.5449320217166	0	0	1239.68862524945
Pawr	0.123451713611502	7.81774747874	49.0770265276206	0	0	1169.68210203911
Kcnip4	-0.881193408147217	13.3653176632577	-49.0129858682397	0	0	1166.67108734624
Trpm3	0.931324460224099	9.15460846154942	48.5021338302035	0	0	1142.78044011563
Kcnh5	1.00100118900599	8.92552656684928	48.1024392566176	0	0	1124.24860329026
Unc5d	1.34836097401037	9.48213591628798	48.0619499580511	0	0	1122.37916746716
Ntrk3	-0.948177992598843	9.39579811329191	-47.8247369995654	0	0	1111.45621904722
Loxl2	0.158966729549987	7.84309645678495	47.6228155500442	0	0	1102.19742820923
LOC103692025	0.689190904788889	8.28979292746511	47.3456314467499	0	0	1089.54645456188
Adamtsl1	0.702049686373979	8.19860236302042	47.2770072937357	0	0	1086.42487317837
Gria3	-0.925732437787129	9.97174113925044	-47.0289733881368	0	0	1075.17740117945
Jdp2	0.476935049156312	8.29819127274946	46.3108482076899	0	0	1042.92112993273
Dnm3	0.601934378747854	8.8539760155828	46.0816774512488	0	0	1032.72412025631
R3hdm1	0.773247259020854	10.1759857457546	45.9513920118963	0	0	1026.94794121064
Fmn1	0.728239488167498	9.0827461439007	45.3515035477757	0	0	1000.5478264391
Maf	0.608190480675933	8.23069052476566	45.1012944312546	0	0	989.631713868879
