logFC	AveExpr	t	P.Value	adj.P.Val	B
Drd2	0.168974852167874	7.81122507031258	62.6728093954198	0	0	1888.61743962174
Sema3e	0.721645893618724	8.16719252579403	55.8069662268821	0	0	1505.99897017
Slc26a4	0.277336053065423	7.87380292778392	55.3991497162772	0	0	1484.51271529628
Zfp804b	1.31642393302172	9.09996723118748	48.6675527178651	0	0	1150.50326804578
Zfp804a	0.921388665350914	8.60370740227701	48.0720439872312	0	0	1122.85726054963
Rgs9	0.261639744033993	7.88781180128123	47.325187753468	0	0	1088.62843062099
Fst	0.126241769704052	7.81766489978088	47.1114825235196	0	0	1078.92505081664
Wdr64	0.213563836634258	7.8382932501351	45.4929502010645	0	0	1006.75602023301
Dach1	0.163544651760375	7.82122158112141	44.2485728197689	0	0	952.864252222428
Cntnap5b	-0.877710264572007	9.5921191979244	-44.1453687801753	0	0	948.457282166758
Slc35f1	1.17150502454506	9.27965653511341	44.0655322422377	0	0	945.054565043495
AABR07032097.1	-0.827893945640771	8.96702364703457	-42.8383122977845	0	0	893.474927901813
Gpr149	0.155455988209607	7.84244746131771	41.6721878017204	0	0	845.728046280732
Rarb	0.262565208526714	7.8876439675224	41.4453333041261	0	0	836.583354170324
Stk32a	0.0503649149494612	7.79955418704307	41.1158664206397	0	0	823.385803000788
Rerg	0.0686743584844596	7.80324978115279	40.8074989179586	0	0	811.123318331487
Neb	0.0684576985112511	7.80731297495288	40.5724343305579	0	0	801.834210195148
Tspear	0.0386001206537108	7.79879118633226	39.4178026509295	0	0	756.942028128963
Adamts2	0.396893770188981	8.01600571524336	39.3914626391008	0	0	755.932241071066
Dok5	0.380348489331427	8.19746376410438	39.0818295467034	0	0	744.109598231732
Frem2	0.0365503193503534	7.79812419679615	38.5524427112583	6.18570188593241e-321	5.88967257291371e-318	724.100774475793
Ebf1	0.145573564096791	7.8111892191349	38.4445939236862	3.54353762510259e-319	3.22059250501662e-316	720.056227963212
Tafa2	-1.01306011554253	9.00983306774936	-37.8082399931864	6.70409935805264e-309	5.82819420279402e-306	696.410628302738
Tex47	0.180104890819732	7.87257675496073	37.5979433843776	1.53733045372704e-305	1.28078843426134e-302	688.678912674507
Sox5	0.81382578678773	9.36962768714412	37.543945039805	1.11370760260825e-304	8.90743340566076e-302	686.700213677988
Syt10	0.166360165607839	7.86925858959457	37.1732687321054	8.29114366875935e-299	6.37620837141705e-296	673.190372049637
Syt9	0.0962333693493109	7.82221706374957	37.0390242539111	1.07530563916243e-296	7.96323565001952e-294	668.329053139005
Epha3	0.487002371338106	8.33722940536638	36.8301092648532	2.01932216332446e-293	1.44201238055974e-290	660.797161572801
Adamts3	0.377845269399998	8.0935232025338	35.560587433788	6.59644071682544e-274	4.54813214251464e-271	615.901518827701
Samd5	0.889071252187792	9.2010900003718	35.5374302470976	1.47644627219802e-273	9.84051440419983e-271	615.0965161258
Pde1c	0.0891205328486242	7.80945618781271	35.5197635204535	2.72902058297782e-273	1.76021827602069e-270	614.482738121418
Nckap5	0.202896129531513	7.89851644419163	35.4150551528406	1.03422637644333e-271	6.46229887405761e-269	610.85098361495
Kcnh7	-0.616036855364042	10.9496623066184	-35.388773193369	2.57131084820843e-271	1.55798061848265e-268	609.941007558645
Tmtc1	-0.464841275386252	8.68055134112893	-35.1459878508532	1.12401845330104e-267	6.61022028639833e-265	601.56545891729
Stxbp6	-0.510944886532194	8.42979070688821	-34.994635515776	2.03339629846158e-265	1.16165025679255e-262	596.372056104287
Plcxd3	0.314300441870213	7.97330258214692	34.8355892512489	4.68166770212869e-263	2.60027626955731e-260	590.93775454497
Opcml	-0.512541945335583	12.1738217666407	-34.2897061919765	5.00755048049853e-255	2.70610734750184e-252	572.466458607313
Cux2	-0.657728947045234	8.51140224171	-33.9365857458044	6.74409509092962e-250	3.5486363511352e-247	560.666726980686
Unc5d	-0.971093775482318	9.48213591628798	-33.7552604015378	2.7734331339929e-247	1.42191783369713e-244	554.653196751023
