gene	logFC	AveExpr	t	P.Value	adj.P.Val	B	FC
Sema3e	0.721645893618724	8.16719252579403	55.8069662268821	0.0	0.0	1505.99897017	1.649062288766042
Zfp804b	1.31642393302172	9.09996723118748	48.6675527178651	0.0	0.0	1150.50326804578	2.4904801858213044
Zfp804a	0.921388665350914	8.60370740227701	48.0720439872312	0.0	0.0	1122.85726054963	1.8939374248343597
Slc35f1	1.17150502454506	9.27965653511341	44.0655322422377	0.0	0.0	945.054565043495	2.2524655241179663
Sox5	0.81382578678773	9.36962768714412	37.543945039805	1.1137076026082501e-304	8.907433405660759e-302	686.700213677988	1.7578668370989554
Epha3	0.487002371338106	8.33722940536638	36.8301092648532	2.01932216332446e-293	1.4420123805597402e-290	660.797161572801	1.4015297527541375
Samd5	0.889071252187792	9.2010900003718	35.5374302470976	1.4764462721980199e-273	9.84051440419983e-271	615.0965161258	1.8519835090262444
Rbfox1	0.767814362878411	12.4129406269788	33.7541279430471	2.8793077898472e-247	1.4392939814498699e-244	554.615768009174	1.702688309945789
Sash1	0.549296813819723	8.46187066604228	32.5422996020206	3.83841242287685e-230	1.7055345865649499e-227	515.222741943016	1.463372257596849
Grm8	0.845258481957	9.42601424035805	30.4851138044957	1.88501385931613e-202	6.73050930661177e-200	451.529770809093	1.7965866042408498
Dcc	0.817318185986949	9.45058639352535	28.6665285113263	1.9976332203919197e-179	6.1450271141133e-177	398.576235737567	1.7621273420917098
Pou6f2	0.504526385764517	8.6892290633064	27.6330898299549	5.9391709994749804e-167	1.62676334430825e-164	369.893627076197	1.4186575566421455
Foxp2	0.568367518165111	8.50017472250033	24.2574476635421	2.5796920528526e-129	4.44663298248171e-127	283.363389496919	1.4828447077516866
Dgkb	0.53950944799897	9.40173566104257	23.331463253349	7.96596564101176e-120	1.1975900976844402e-117	261.552453364426	1.453478214740644
Clstn2	0.537987096594696	10.2907386269158	22.7145423785617	1.0549720954647401e-113	1.4855047217477e-111	247.483397499004	1.4519452937066346
Ncam2	0.535822330038185	10.035743503957	21.4142281459235	2.5181249726158e-101	2.9792845460031298e-99	219.042456076484	1.449768280843156
Lrrtm4	0.510232088260047	10.7781952908789	14.4950130743644	1.58917592483409e-47	7.17281548917778e-46	95.5567968484545	1.4242793028640883
