logFC	AveExpr	t	P.Value	adj.P.Val	B
Megf11	0.642823826770189	7.96114749113167	89.4527265167262	0	0	3729.72002851242
Fmn1	0.828019475000058	9.0827461439007	59.319242236248	0	0	1696.73877241332
Maf	0.682193935698558	8.23069052476566	58.1397224641399	0	0	1631.49378664142
Kctd1	0.751379644096374	8.82537361267996	56.9915952826905	0	0	1569.10182433912
LOC108350387	0.730031981253628	8.46926511596423	56.8876131546372	0	0	1563.50581801248
Adamts3	0.50283988859235	8.0935232025338	55.4345794475361	0	0	1486.26287914648
Scn1a	0.72809427107417	9.85359578951446	54.217477745696	0	0	1422.94113911241
Cdk6	0.367020881635896	8.00712337638648	53.7254578220018	0	0	1397.70202616228
Slc4a4	0.55251939946355	8.4256408704617	50.838123642596	0	0	1253.79303681253
Alcam	0.896993042923439	8.90221032229667	50.7052161508262	0	0	1247.34264461352
Robo3	0.565910386896912	8.32535213958288	50.4867915130367	0	0	1236.77557171453
Tll2	0.074299649152672	7.8066490958739	50.3965169063009	0	0	1232.42018525246
Schip1	1.42608782850655	10.7183192760518	49.293075815314	0	0	1179.76169966789
Ppp3ca	0.621232182804123	10.6435842663572	48.9099417414387	0	0	1161.72774910621
Arl15	0.757729085455985	8.89235355203672	48.8992424805145	0	0	1161.22598917444
Crlf1	0.175573994307654	7.86651823859484	48.2130056393255	0	0	1129.25450598696
Gpcpd1	0.4303220808177	8.4909629103296	47.931600638088	0	0	1116.26416039882
Fstl4	0.990570340675982	9.26641807377288	47.2252199399109	0	0	1083.96465432386
Prkca	0.676175931929867	8.76888475284662	46.5706082214306	0	0	1054.42797385803
Kctd16	1.03233564030615	10.5009382734986	46.5540976936679	0	0	1053.68791593804
Chrm3	0.865214992098162	10.2772599588357	46.4756429566583	0	0	1050.17471242891
Galntl6	-1.13405918132084	9.26297814799831	-45.8412499402273	0	0	1021.96805163115
Pcdh7	0.728589156223538	10.2635325280484	45.4407823607307	0	0	1004.34762056205
Chrm2	0.519154826020827	8.24049261432597	45.190037439003	0	0	993.387939285216
Adam22	0.5266597728522	9.38162753206497	44.5916219900249	0	0	967.460197401009
Cabp1	0.476820041952067	8.80099526195722	44.4903014254154	0	0	963.102096228802
Slc1a2	-0.636706531121298	8.86209756553008	-44.4021812903988	0	0	959.319294850427
Camk2a	0.586575982242769	10.121038979536	44.3086595505458	0	0	955.312259970034
Tenm4	0.631155470544785	9.57481193972919	43.1965289384611	0	0	908.266563108552
Celf4	-0.702437404729483	9.4996020947989	-43.1437516945003	0	0	906.061743660534
Kcnq5	0.904097905479325	11.3197533697068	43.0621658438618	0	0	902.658380067743
Sacs	0.374330320601016	8.41748213528793	42.1630452203477	0	0	865.551275599509
Hs3st4	-1.221775455727	9.389549297285	-42.0355496689382	0	0	860.348851827951
Kctd8	0.625118792004464	8.54908897332741	41.5932254357647	0	0	842.414938703381
Caln1	-0.637711001913301	8.95967009418124	-41.5355779366057	0	0	840.090807840895
Lzts3	0.429574104255105	8.68013962690453	41.3561940652172	0	0	832.877979955056
Tmem178b	0.71482671522301	9.97863010998078	40.955917501601	0	0	816.889217450151
Plxdc2	0.515047903808517	8.53894619907668	40.8558376663583	0	0	812.914481413975
Rbfox3	0.498319440992747	10.2264049308932	40.7418547966344	0	0	808.398736441886
Srgap3	0.569954670984433	8.84822636777125	40.5740476466916	0	0	801.772233007394
Slc35f1	-0.933064417156436	9.27965653511341	-40.3670663500352	0	0	793.634249450125
Pitpnm2	0.456645221743301	8.82638132550219	40.3570616227983	0	0	793.241949781209
Slc24a4	0.342671880526295	8.1087438227922	40.3259094814877	0	0	792.020820289416
Zmynd8	0.462724231764533	9.28547911631015	40.0366280332051	0	0	780.723813787004
Syne1	0.532337085192156	9.94085330373591	39.8733735808614	0	0	774.382309044173
Camta1	0.510014656659608	9.95315978243845	39.6301456820357	0	0	764.979704592226
Nr3c2	0.417155882401953	8.4325718853959	39.5405338218465	0	0	761.529235695374
Nup93	0.379984107064914	8.44092312738495	39.5383196874139	0	0	761.444074830742
Nrg1	-0.840865035457963	11.1612375659965	-39.1659131816463	0	0	747.184634968519
Adarb1	0.355599384589917	8.53478006821224	38.913786586231	0	0	737.60323266101
Eya1	0.0647999133865991	7.80874091139259	38.9050401684816	0	0	737.271845299771
