gene	logFC	AveExpr	t	P.Value	adj.P.Val	B	FC
Megf11	0.642823826770189	7.96114749113167	89.4527265167262	0.0	0.0	3729.72002851242	1.561382306968825
Fmn1	0.828019475000058	9.0827461439007	59.319242236248	0.0	0.0	1696.73877241332	1.7752466385050858
Maf	0.682193935698558	8.23069052476566	58.1397224641399	0.0	0.0	1631.49378664142	1.6045780151844378
Kctd1	0.751379644096374	8.82537361267996	56.9915952826905	0.0	0.0	1569.10182433912	1.683401892210333
LOC108350387	0.730031981253628	8.46926511596423	56.8876131546372	0.0	0.0	1563.50581801248	1.6586758602763902
Adamts3	0.50283988859235	8.0935232025338	55.4345794475361	0.0	0.0	1486.26287914648	1.4170001280150746
Scn1a	0.72809427107417	9.85359578951446	54.217477745696	0.0	0.0	1422.94113911241	1.65644955772426
Slc4a4	0.55251939946355	8.4256408704617	50.838123642596	0.0	0.0	1253.79303681253	1.4666446839719434
Alcam	0.896993042923439	8.90221032229667	50.7052161508262	0.0	0.0	1247.34264461352	1.862180659685973
Robo3	0.565910386896912	8.32535213958288	50.4867915130367	0.0	0.0	1236.77557171453	1.4803213448806565
Schip1	1.42608782850655	10.7183192760518	49.293075815314	0.0	0.0	1179.76169966789	2.6871704362445055
Ppp3ca	0.621232182804123	10.6435842663572	48.9099417414387	0.0	0.0	1161.72774910621	1.5381883625503667
Arl15	0.757729085455985	8.89235355203672	48.8992424805145	0.0	0.0	1161.22598917444	1.690827035265418
Fstl4	0.990570340675982	9.26641807377288	47.2252199399109	0.0	0.0	1083.96465432386	1.986970344675853
Prkca	0.676175931929867	8.76888475284662	46.5706082214306	0.0	0.0	1054.42797385803	1.5978986795223111
Kctd16	1.03233564030615	10.5009382734986	46.5540976936679	0.0	0.0	1053.68791593804	2.045332848738513
Chrm3	0.865214992098162	10.2772599588357	46.4756429566583	0.0	0.0	1050.17471242891	1.8216111055706181
Pcdh7	0.728589156223538	10.2635325280484	45.4407823607307	0.0	0.0	1004.34762056205	1.6570178641776196
Chrm2	0.519154826020827	8.24049261432597	45.190037439003	0.0	0.0	993.387939285216	1.433115440085512
Adam22	0.5266597728522	9.38162753206497	44.5916219900249	0.0	0.0	967.460197401009	1.4405899780597309
Camk2a	0.586575982242769	10.121038979536	44.3086595505458	0.0	0.0	955.312259970034	1.5016785086818447
Tenm4	0.631155470544785	9.57481193972919	43.1965289384611	0.0	0.0	908.266563108552	1.5488049520836193
Kcnq5	0.904097905479325	11.3197533697068	43.0621658438618	0.0	0.0	902.658380067743	1.8713739882325513
Kctd8	0.625118792004464	8.54908897332741	41.5932254357647	0.0	0.0	842.414938703381	1.5423378168044186
Tmem178b	0.71482671522301	9.97863010998078	40.955917501601	0.0	0.0	816.889217450151	1.6412860678676742
Plxdc2	0.515047903808517	8.53894619907668	40.8558376663583	0.0	0.0	812.914481413975	1.4290415894073116
Rbfox3	0.498319440992747	10.2264049308932	40.7418547966344	0.0	0.0	808.398736441886	1.412567139844835
Srgap3	0.569954670984433	8.84822636777125	40.5740476466916	0.0	0.0	801.772233007394	1.484476928107241
Syne1	0.532337085192156	9.94085330373591	39.8733735808614	0.0	0.0	774.382309044173	1.446270175592446
Camta1	0.510014656659608	9.95315978243845	39.6301456820357	0.0	0.0	764.979704592226	1.4240646629130402
AABR07025986.2	0.795874084656761	10.7612878016403	38.8904628903883	0.0	0.0	736.719839064196	1.736128922963446
Npas3	0.520252632619073	8.56585976280114	37.8845030175355	4.01122968936925e-310	1.38283685584376e-307	699.096880824295	1.4342063721826288
Plxna4	0.53825601433749	9.83267777050956	37.8154565372534	5.13672451034387e-309	1.74082723024281e-306	696.548871992042	1.4522159609179675
Pip5k1b	0.496537906269024	8.49325839428001	37.0592061208733	5.18005095486044e-297	1.69795276790876e-294	668.930407497656	1.4108238855988802
Cacna2d3	0.908726518075984	10.2604805241896	36.9431579229285	3.43508003249387e-295	1.10781331047927e-292	664.739262573158	1.8773875772546431
Thsd7b	0.711632674257368	9.08445831138032	36.4878043802549	4.27609428452409e-288	1.357150876493e-285	648.415013256029	1.6376563776281483
AABR07032097.1	0.582225586717534	8.96702364703457	34.5509456989607	7.45193489891599e-259	1.86251797879781e-256	581.140966683112	1.4971570711527906
Cntnap2	0.572974365197691	10.5435286005542	33.8960206153575	2.59947678066382e-249	5.906424798792391e-247	559.188001107875	1.4875873297201534
Enox1	0.512573271948897	9.28565121192285	33.8099147069432	4.53406510158295e-248	9.96248700067595e-246	556.331726608121	1.4265924781571495
Marchf1	0.6207669995276	9.72297608270554	33.5100504262543	9.0520449655477e-244	1.84689427638904e-241	546.43918513774	1.5376924683141817
Grm1	0.485596453486256	8.62812380021041	33.1951674812516	2.7091931883775996e-239	5.25925415549614e-237	536.14231248991	1.4001646160810324
Kazn	0.490781469933069	9.071284620966	33.0262521886397	6.565563350835679e-237	1.21554110370333e-234	530.657200837823	1.4052058326398746
Ntm	0.652045126185763	11.2228393056144	30.3355716056455	1.66067090449602e-200	2.3549726762693504e-198	446.92332001875	1.5713941843441093
Unc5d	0.676378282928511	9.48213591628798	27.017290525164	9.88248599746914e-160	9.830861070616689e-158	353.15453583612	1.5981228149500017
Lrrtm4	0.813855598652921	10.7781952908789	26.7847486527537	4.79328781600229e-157	4.63003815850076e-155	346.979119264656	1.7579031620526995
Cadps2	0.506837780559994	9.49945045126825	26.2380113240085	8.05940127392417e-151	7.226355536866091e-149	332.664946012028	1.4209322618077198
Cdh12	0.549392203195694	11.0975045201611	22.5816586252048	2.09370330349985e-112	1.2422432508450901e-110	244.364024856061	1.4634690173259557
