logFC	AveExpr	t	P.Value	adj.P.Val	B
Lrrtm4	1.60396536250131	10.7781952908789	93.6679703314463	0	0	4064.98533849577
Schip1	1.40646482433695	10.7183192760518	83.8334722373732	0	0	3300.17115163571
LOC108353456	1.17320700302746	9.05772896891488	79.4672737039289	0	0	2981.6650028513
Slit3	0.881024488210638	10.0986632228361	76.6691177493269	0	0	2784.69265246444
AC125757.1	0.880562803928834	9.73587236947507	67.2591216536712	0	0	2165.10872595321
Ntng1	0.526986684745411	8.40245615301666	67.2178694932923	0	0	2162.54257714618
Ppargc1a	0.745125804807856	10.1766263790856	66.2425523364278	0	0	2102.26021989837
Hs3st4	-1.11663919692136	9.389549297285	-65.1391957435052	0	0	2034.97227947282
Rapgef5	0.684025426112948	9.4970541607	64.3376931553706	0	0	1986.70256701161
Hs6st3	1.11799011227495	10.1384173466735	63.5713351845989	0	0	1941.03087468562
Pdzd2	0.490877260496651	8.50087868790526	61.5393238821181	0	0	1822.23347786945
Postn	0.158573497146651	7.8592493937475	60.0649869263106	0	0	1738.15028272002
Kirrel3	0.842463106452159	9.18489379955132	58.2768453286534	0	0	1638.57975948112
Gpc5	0.644663380472311	8.49989155764597	58.2256686445765	0	0	1635.76920342025
Rtn4rl1	0.399085215499063	8.43261338891053	57.9817271726161	0	0	1622.40258843871
Ntm	0.728499034316345	11.2228393056144	57.4359196511983	0	0	1592.67518580297
Htr7	0.220471454016325	7.96597089133446	57.0796974383086	0	0	1573.40830325584
Grik3	-0.474705094149977	8.49163831155562	-56.5119637842352	0	0	1542.92201528342
Rasgrf2	0.457706388861929	8.40835635633062	56.2407772879194	0	0	1528.45572883422
Pou6f2	-0.517737970984236	8.6892290633064	-55.3888312487681	0	0	1483.41405246497
Hdac9	0.511196804002694	8.96468288685701	54.8491862731355	0	0	1455.2022797031
Srgap3	0.451139247082125	8.84822636777125	53.9007645978175	0	0	1406.22189288722
Gng12	-0.284516883684687	8.16934056224921	-53.3337879148629	0	0	1377.30866559195
Gpc6	0.743166855703098	8.9812790283405	53.1545254971988	0	0	1368.22435906005
Tle4	-0.460813507279424	8.57086470661509	-52.5475011889703	0	0	1337.66900499017
Ptpro	0.125328822118408	7.85585786701268	52.4115342337399	0	0	1330.86854352471
Dgkb	0.614029403098224	9.40173566104257	51.7987151289571	0	0	1300.41605908818
Foxp2	-0.622295262563858	8.50017472250033	-51.7875684505634	0	0	1299.86507088822
Man1c1	0.282244121024789	8.19545708220271	51.590608021231	0	0	1290.148794448
Cacna2d3	0.753935910001918	10.2604805241896	51.4543827924654	0	0	1283.44810870051
Fras1	0.439547760239529	8.60828754933288	50.5950328027941	0	0	1241.55099622993
Nebl	0.417425407942774	9.0219801959752	50.0194617042573	0	0	1213.84946191467
