logFC	AveExpr	t	P.Value	adj.P.Val	B
Cftr	0.998006206089462	7.84260596146043	220.65171421305	0	0	17499.4873713359
Trpc7	0.965915619735729	7.86767173052721	173.088758289963	0	0	11984.9320663943
Pkhd1	0.675542298485821	7.83084257732785	169.539481710937	0	0	11586.2295941076
Sv2c	1.22506447403769	7.88950123957712	165.052955413423	0	0	11086.1137758943
Sema3c	1.17287320715716	7.91550054022659	152.421762548665	0	0	9704.49866415034
Ibsp	0.234467070269867	7.80447916073864	140.793170095524	0	0	8473.5092637246
Bcl6	0.366856663600999	7.81987037787132	137.827351808681	0	0	8166.83748129086
Parm1	1.16225176960672	7.9436771117589	135.764121024553	0	0	7955.40055835917
Vat1l	0.679826509931513	7.85795885663493	128.285876947611	0	0	7202.9036879035
Smoc1	0.484589379808052	7.82789446764268	127.970877277895	0	0	7171.70253314752
Serpine2	0.737777930827761	7.87324875714493	127.728032419728	0	0	7147.68536603811
Lpp	0.921455509091228	7.94129526848678	121.589480997109	0	0	6549.00288076855
Gipr	0.371666183336655	7.82230352829327	119.699746266643	0	0	6368.12356682224
Rin2	0.51526842655952	7.85051369526006	116.791538371659	0	0	6093.07043299845
Pou3f1	0.378882798793641	7.82971212072332	115.128127657839	0	0	5937.59072107717
Rhbdl3	0.717238836883335	7.88737818378904	108.902452702743	0	0	5368.15718928256
Trpc4	1.08901960280566	8.06362739000878	106.189525890406	0	0	5126.43229023287
Kcng2	0.24075021442725	7.81342051969841	103.324880440202	0	0	4875.60559142932
Gpc5	2.57614669074053	8.49989155764597	103.065643485966	0	0	4853.13596711867
Tox2	0.612810914169978	7.87099415221739	99.7769208889382	0	0	4571.45774387546
Klhl32	1.51039604221166	8.4039127115274	99.5038536336754	0	0	4548.35440453789
LOC108353456	3.41275637508789	9.05772896891488	99.4018907351861	0	0	4539.73705949856
Erg	0.377960970857867	7.82299281456227	97.3966363423221	0	0	4371.56659903371
Nebl	1.83220287743128	9.0219801959752	97.1054540063534	0	0	4347.35013060952
Hcn1	1.90712687360569	9.37972860603958	95.9286881353196	0	0	4250.00322206415
Bmpr1b	0.929602497026337	7.98027494724341	91.144546987512	0	0	3863.12722532995
Fcrl1	0.165884005426228	7.8052672463361	90.9500124046731	0	0	3847.70247858991
Raver2	0.568000971811776	7.89460192042117	90.9281540010294	0	0	3845.9724076869
Sorcs2	1.08743110776459	8.1036245388419	89.6025973812042	0	0	3741.55047759361
Bcl11b	1.57123029450952	8.28267959753049	86.3095904303718	0	0	3487.14984113085
Cachd1	0.532985903952842	7.88542632885907	85.924522612006	0	0	3457.87609906179
Adamts6	0.666823548049494	7.96086960461286	85.2545833143331	0	0	3407.18395397059
Clcn2	0.741041454724281	8.03849045238236	83.6890047811713	0	0	3289.91704930995
Trmt9b	0.294691941576509	7.83553440681094	83.5478698883219	0	0	3279.42741325019
Tmem150c	0.318497342135741	7.84421586270094	83.0514737471028	0	0	3242.64769939166
Vstm2l	0.428369063213418	7.86606152102024	82.7527651067897	0	0	3220.5971619589
Plxdc1	0.386916038226129	7.86210792453321	81.3128077073563	0	0	3115.17478230343
Cntn6	1.1339501891442	8.04687908702107	81.2697159654681	0	0	3112.04164949117
Robo1	2.16639324239598	9.50460417653726	80.2212172647599	0	0	3036.23025774113
Pcsk5	1.51302405348759	8.38236001901893	80.1534781824297	0	0	3031.35884418283
Mroh5	0.866645419861205	8.09952507538156	80.0159820659024	0	0	3021.48204417912
Reln	0.660590262518872	7.90801528644759	79.883994944434	0	0	3012.01320673257
Adcy8	1.02667270664459	8.15279488876411	79.7208180581937	0	0	3000.32411387357
Epha6	1.82171847925871	8.57327278299411	78.8572959568885	0	0	2938.78249725458
Ust	0.936093474006633	8.01743840834938	78.3745209823313	0	0	2904.61052782139
Ccdc85a	1.37665717418219	8.45931164288762	78.2261502467979	0	0	2894.14241128762
Myo1e	0.405042657759822	7.8533555453606	78.1277568841915	0	0	2887.20899667436
Eda	0.536762184061906	7.89395743765073	77.7536883803641	0	0	2860.91380768743
Utrn	0.85985392685813	8.07174504749741	77.7242622769082	0	0	2858.84960374744
Hpgd	0.158396282853068	7.80736470524324	76.8298416326907	0	0	2796.40719958299
Tmtc2	1.15780054006645	8.27255483623848	76.7229482994551	0	0	2788.98454836903
Gabrg1	0.255088582517923	7.82309257521236	76.5897434516014	0	0	2779.74485869409
Nrg1	-2.27311731775207	11.1612375659965	-76.1962259487117	0	0	2752.5276828797
Crispld1	0.321712771694231	7.84163857222464	76.1515086609655	0	0	2749.44149272313
Mylip	0.574470125281535	7.96409332415029	75.5065004193621	0	0	2705.09726806693
Prodh	0.42451776188013	7.86842637456225	74.8895494046977	0	0	2662.96934645536
Gprc5b	0.224704126876749	7.82405044927446	74.8818647319301	0	0	2662.44570197975
Cdh20	1.65522641478144	8.85191184126438	74.8554755371485	0	0	2660.65086927568
Cacna1h	0.43674744249201	7.89694200346342	74.0172284714011	0	0	2603.88671515915
Postn	0.457973905055912	7.8592493937475	73.6433402737622	0	0	2578.73715030556
Col4a4	0.188710665523312	7.81205897844592	73.4126848266646	0	0	2563.27385403632
Asap2	1.14819011418173	8.67844217293664	72.7915872363816	0	0	2521.83629881611
Iqgap2	1.1526443040929	8.31304721353112	72.5612258966669	0	0	2506.54111710373
L3mbtl4	0.59189772716262	7.91044169763575	72.1336826843737	0	0	2478.26020919139
Spon1	1.01368016319929	8.08515025709484	71.6674519419905	0	0	2447.57805908899
Pex5l	1.84425886441574	10.1007765997959	71.2683964378088	0	0	2421.44870910375
Sorcs1	1.83539649309463	9.41963778505243	71.2160919940652	0	0	2418.03288819696
Ttc6	0.674476110537061	8.05100890813056	70.9976031550997	0	0	2403.78676206624
Unc5c	1.54818912268043	8.79253602668492	70.8915814823279	0	0	2396.88696120767
Dock9	1.12385898613588	8.82575725377717	70.817455825502	0	0	2392.06810144123
Bcar3	0.613413162471523	7.95363590976305	70.4823591908186	0	0	2370.33612184723
Vav3	0.505467417810554	7.89927304094124	69.4164575717604	0	0	2301.78414190621
Cdh7	0.757708735695259	8.03270121710677	69.0829720207518	0	0	2280.51687689108
Dtnbp1	0.602575249490441	8.06000423541136	68.5049661729253	0	0	2243.86053270683
Marchf1	-1.72988604837286	9.72297608270554	-66.7000176754517	0	0	2131.07467597381
F3	0.086404492006694	7.80122929168601	66.4541640298339	0	0	2115.90992618403
Mctp2	0.596103545852031	7.94283845848546	66.1321528602993	0	0	2096.12096953456
Tmem200a	0.874980064763072	8.19396917294539	66.0886427457245	0	0	2093.45332929196
Kcng1	0.280546252104908	7.84813266434572	66.0857890386222	0	0	2093.27841866521
Adamtsl3	0.504363607701119	7.94182344651503	65.985944058948	0	0	2087.16274475481
Ctnna2	1.26489162560052	10.948749974107	65.8066172788229	0	0	2076.19854521312
Snx25	0.676409244306493	8.10802079010038	65.7497173267758	0	0	2072.72497006468
Zfp385d	0.583584712941619	7.94518912245916	65.5430304442738	0	0	2060.12900325671
Galntl6	2.28844722691994	9.26297814799831	65.4217797735163	0	0	2052.75512569525
Etv1	0.817015453985686	8.05569504374136	65.2077296583245	0	0	2039.76730528244
Sulf2	0.851546734592317	8.18360312370888	65.0898146190219	0	0	2032.62811277191
Lratd2	0.0976587385574694	7.80359176613564	64.9514445747016	0	0	2024.26415382385
