gene	logFC	AveExpr	t	P.Value	adj.P.Val	B	FC
Cftr	0.998006206089462	7.84260596146043	220.65171421305	0.0	0.0	17499.4873713359	1.9972379237686886
Trpc7	0.965915619735729	7.86767173052721	173.088758289963	0.0	0.0	11984.9320663943	1.9533028099214311
Pkhd1	0.675542298485821	7.83084257732785	169.539481710937	0.0	0.0	11586.2295941076	1.5971970345414122
Sv2c	1.22506447403769	7.88950123957712	165.052955413423	0.0	0.0	11086.1137758943	2.337658964761305
Sema3c	1.17287320715716	7.91550054022659	152.421762548665	0.0	0.0	9704.49866415034	2.2546026673444186
Parm1	1.16225176960672	7.9436771117589	135.764121024553	0.0	0.0	7955.40055835917	2.238064740265045
Vat1l	0.679826509931513	7.85795885663493	128.285876947611	0.0	0.0	7202.9036879035	1.6019471028057328
Serpine2	0.737777930827761	7.87324875714493	127.728032419728	0.0	0.0	7147.68536603811	1.6676053790327565
Lpp	0.921455509091228	7.94129526848678	121.589480997109	0.0	0.0	6549.00288076855	1.8940251778179458
Rin2	0.51526842655952	7.85051369526006	116.791538371659	0.0	0.0	6093.07043299845	1.4292600418590882
Rhbdl3	0.717238836883335	7.88737818378904	108.902452702743	0.0	0.0	5368.15718928256	1.6440325201866537
Trpc4	1.08901960280566	8.06362739000878	106.189525890406	0.0	0.0	5126.43229023287	2.127294250476054
Gpc5	2.57614669074053	8.49989155764597	103.065643485966	0.0	0.0	4853.13596711867	5.963447869452019
Tox2	0.612810914169978	7.87099415221739	99.7769208889382	0.0	0.0	4571.45774387546	1.5292358365080159
Klhl32	1.51039604221166	8.4039127115274	99.5038536336754	0.0	0.0	4548.35440453789	2.848882346342337
LOC108353456	3.41275637508789	9.05772896891488	99.4018907351861	0.0	0.0	4539.73705949856	10.649814342029002
Nebl	1.83220287743128	9.0219801959752	97.1054540063534	0.0	0.0	4347.35013060952	3.5608036319673007
Hcn1	1.90712687360569	9.37972860603958	95.9286881353196	0.0	0.0	4250.00322206415	3.7506142081481073
Bmpr1b	0.929602497026337	7.98027494724341	91.144546987512	0.0	0.0	3863.12722532995	1.9047511113920608
Raver2	0.568000971811776	7.89460192042117	90.9281540010294	0.0	0.0	3845.9724076869	1.4824680084056874
Sorcs2	1.08743110776459	8.1036245388419	89.6025973812042	0.0	0.0	3741.55047759361	2.124953259064683
Bcl11b	1.57123029450952	8.28267959753049	86.3095904303718	0.0	0.0	3487.14984113085	2.971580150830632
Cachd1	0.532985903952842	7.88542632885907	85.924522612006	0.0	0.0	3457.87609906179	1.4469207484664544
Adamts6	0.666823548049494	7.96086960461286	85.2545833143331	0.0	0.0	3407.18395397059	1.5875736783415926
Clcn2	0.741041454724281	8.03849045238236	83.6890047811713	0.0	0.0	3289.91704930995	1.6713819430189605
Cntn6	1.1339501891442	8.04687908702107	81.2697159654681	0.0	0.0	3112.04164949117	2.1945881029435923
Robo1	2.16639324239598	9.50460417653726	80.2212172647599	0.0	0.0	3036.23025774113	4.488997343191059
Pcsk5	1.51302405348759	8.38236001901893	80.1534781824297	0.0	0.0	3031.35884418283	2.854076595936811
Mroh5	0.866645419861205	8.09952507538156	80.0159820659024	0.0	0.0	3021.48204417912	1.823418123142226
Reln	0.660590262518872	7.90801528644759	79.883994944434	0.0	0.0	3012.01320673257	1.5807292291031603
Adcy8	1.02667270664459	8.15279488876411	79.7208180581937	0.0	0.0	3000.32411387357	2.0373201493283672
Epha6	1.82171847925871	8.57327278299411	78.8572959568885	0.0	0.0	2938.78249725458	3.5350202496818888
Ust	0.936093474006633	8.01743840834938	78.3745209823313	0.0	0.0	2904.61052782139	1.9133402798650458
Ccdc85a	1.37665717418219	8.45931164288762	78.2261502467979	0.0	0.0	2894.14241128762	2.596660091051495
Eda	0.536762184061906	7.89395743765073	77.7536883803641	0.0	0.0	2860.91380768743	1.4507130504848007
Utrn	0.85985392685813	8.07174504749741	77.7242622769082	0.0	0.0	2858.84960374744	1.814854546970179
Tmtc2	1.15780054006645	8.27255483623848	76.7229482994551	0.0	0.0	2788.98454836903	2.231170152693579
Mylip	0.574470125281535	7.96409332415029	75.5065004193621	0.0	0.0	2705.09726806693	1.4891304331084239
Cdh20	1.65522641478144	8.85191184126438	74.8554755371485	0.0	0.0	2660.65086927568	3.149726181634885
Asap2	1.14819011418173	8.67844217293664	72.7915872363816	0.0	0.0	2521.83629881611	2.21635674157098
Iqgap2	1.1526443040929	8.31304721353112	72.5612258966669	0.0	0.0	2506.54111710373	2.2232101158593958
L3mbtl4	0.59189772716262	7.91044169763575	72.1336826843737	0.0	0.0	2478.26020919139	1.507228058179779
Spon1	1.01368016319929	8.08515025709484	71.6674519419905	0.0	0.0	2447.57805908899	2.019054933255996
Pex5l	1.84425886441574	10.1007765997959	71.2683964378088	0.0	0.0	2421.44870910375	3.5906844254700476
Sorcs1	1.83539649309463	9.41963778505243	71.2160919940652	0.0	0.0	2418.03288819696	3.5686947204048876
Ttc6	0.674476110537061	8.05100890813056	70.9976031550997	0.0	0.0	2403.78676206624	1.5960171017841367
Unc5c	1.54818912268043	8.79253602668492	70.8915814823279	0.0	0.0	2396.88696120767	2.924498243717121
Dock9	1.12385898613588	8.82575725377717	70.817455825502	0.0	0.0	2392.06810144123	2.179291202766435
Bcar3	0.613413162471523	7.95363590976305	70.4823591908186	0.0	0.0	2370.33612184723	1.5298743442423692
Vav3	0.505467417810554	7.89927304094124	69.4164575717604	0.0	0.0	2301.78414190621	1.4195832115265186
Cdh7	0.757708735695259	8.03270121710677	69.0829720207518	0.0	0.0	2280.51687689108	1.6908031856770058
Dtnbp1	0.602575249490441	8.06000423541136	68.5049661729253	0.0	0.0	2243.86053270683	1.5184245776073804
Mctp2	0.596103545852031	7.94283845848546	66.1321528602993	0.0	0.0	2096.12096953456	1.5116284177967847
Tmem200a	0.874980064763072	8.19396917294539	66.0886427457245	0.0	0.0	2093.45332929196	1.8339827441629968
Adamtsl3	0.504363607701119	7.94182344651503	65.985944058948	0.0	0.0	2087.16274475481	1.4184974997375126
Ctnna2	1.26489162560052	10.948749974107	65.8066172788229	0.0	0.0	2076.19854521312	2.4030915734534597
Snx25	0.676409244306493	8.10802079010038	65.7497173267758	0.0	0.0	2072.72497006468	1.598157112299114
Zfp385d	0.583584712941619	7.94518912245916	65.5430304442738	0.0	0.0	2060.12900325671	1.4985681692427717
Galntl6	2.28844722691994	9.26297814799831	65.4217797735163	0.0	0.0	2052.75512569525	4.885300230114732
Etv1	0.817015453985686	8.05569504374136	65.2077296583245	0.0	0.0	2039.76730528244	1.7617576199007354
Sulf2	0.851546734592317	8.18360312370888	65.0898146190219	0.0	0.0	2032.62811277191	1.8044344492941462
