gene	logFC	AveExpr	t	P.Value	adj.P.Val	B	FC
Foxp2	1.19948690494892	8.50017472250033	82.627343556772	0.0	0.0	3211.02965577203	2.296579785241149
Zfpm2	1.12277243216122	8.72378192335345	74.2433405273404	0.0	0.0	2618.75800001599	2.177650505331304
Tle4	0.73826541630627	8.57086470661509	68.4381047526581	0.0	0.0	2239.20981359988	1.6681689567420825
Nxph1	0.730750014184027	8.22804003255919	66.7029152482254	0.0	0.0	2130.81514511631	1.6595015928683645
Cdh18	0.853587532671522	9.83987399385546	65.3291630749138	0.0	0.0	2046.68463137493	1.8069887605352404
Hs3st4	1.35718197122146	9.389549297285	63.2014467424384	0.0	0.0	1919.35439695857	2.561842834791662
Etl4	0.908820330548163	10.6379265211407	57.5367844044848	0.0	0.0	1598.35205766842	1.8775096599479677
Meis2	0.626109836316022	8.55457313356994	56.959838684419	0.0	0.0	1567.15190955834	1.543397673668786
Nfia	0.667470028005114	8.62848157746528	56.4925534405345	0.0	0.0	1542.08730942102	1.588285238664175
Sema5a	0.636859844696284	8.43949417076511	53.8632416850177	0.0	0.0	1404.5043719582	1.5549410046242134
Mgat4c	0.522267919226872	8.37741068760005	52.4823096699092	0.0	0.0	1334.61200151081	1.4362112009889285
Cdh11	0.560099894074721	9.07438363505912	48.4442607029603	0.0	0.0	1139.73022204475	1.4743713011368924
Frmpd4	0.548764021674362	10.9921304461333	46.7001990846693	0.0	0.0	1059.9907860883	1.4628319290643217
Slc35f1	0.739545910520391	9.27965653511341	42.5601542932538	0.0	0.0	881.59038146229	1.6696502323262021
Grm8	0.745358166679042	9.42601424035805	41.460209647458	0.0	0.0	836.79622322059	1.6763904020878315
Pcdh7	0.494067495823852	10.2635325280484	40.7828565174785	0.0	0.0	809.760546443973	1.4084101171902133
Dcc	0.725075601986397	9.45058639352535	39.1974728490407	0.0	0.0	748.125110712042	1.65298725603204
