logFC	AveExpr	t	P.Value	adj.P.Val	B
Ccn2	1.10238223380487	7.85222136933477	222.362776443082	0	0	17701.9593879685
Inpp4b	1.06265935537877	7.87733982996268	188.755067358861	0	0	13772.2807624989
Palldl1	2.00916920564193	8.05617605927773	177.192479942829	0	0	12449.3170786604
Amotl1	0.431181150082993	7.82481099329268	154.481018594622	0	0	9927.04461429231
Tmem163	1.39448990082882	7.99679692555374	142.014720011557	0	0	8600.9039276742
Il15	0.301714072032696	7.80958634824423	138.084632885174	0	0	8193.46931288835
Cplx3	0.158876854804685	7.80296168476029	119.819720116391	0	0	6379.64086503025
Frmd4b	0.564390203779321	7.85445169948275	117.175686682063	0	0	6129.24353928987
Nhs	0.600760223967309	7.86801319112398	117.048443953424	0	0	6117.27797093558
Galnt10	0.322452317514639	7.81925433931736	116.878800461421	0	0	6101.33396719422
Itga6	0.794471912803122	7.90453719146368	116.056332818027	0	0	6024.25385864121
Svil	0.330296794543279	7.8180668806197	114.206678423855	0	0	5852.12014378859
Kdr	0.168260958072597	7.80280321604734	111.234289279634	0	0	5579.13588167418
Atp10a	0.524087524182443	7.86026264985684	105.922384599006	0	0	5102.88417218517
Fstl1	0.678342927539029	7.96040013877842	103.461323383139	0	0	4887.47823165183
Nxph4	0.123447916339432	7.80153980039988	102.612920944121	0	0	4814.01405724667
Tcf4	-1.53482152552447	10.1760753399927	-101.194684101192	0	0	4692.1387997624
Kcnn3	0.425956948338642	7.85518595244229	100.343245679584	0	0	4619.53237268362
Kcnq5	-2.4669422726055	11.3197533697068	-99.5567836374418	0	0	4552.84591919481
Kirrel1	0.330754569207863	7.83288474889079	97.5886918231534	0	0	4387.57932175896
Chrna5	0.895958858267296	7.96477955668626	97.4160834185851	0	0	4373.1975264784
Car2	0.280951485302741	7.82360296092877	95.9730139626018	0	0	4253.65911294984
Mctp2	0.726687130694965	7.94283845848546	95.7604638564311	0	0	4236.16203453202
Fbxl7	0.463191476740521	7.84068092338718	95.5219860075163	0	0	4216.56016699324
Vwc2	0.43913142650521	7.83766309544518	93.9498825876127	0	0	4088.23521948648
Myocd	0.328260684012478	7.82919400801208	92.4968092998723	0	0	3971.00627995693
Tenm3	2.05519788359843	9.27518907747756	92.0309757125596	0	0	3933.70963854399
Pcsk5	1.49451341654242	8.38236001901893	91.9767021294521	0	0	3929.37267446841
Cdh24	0.473172661490779	7.90546373877852	91.274319211092	0	0	3873.42251634019
Car10	-1.88099941459624	10.5613546827722	-89.3402037995196	0	0	3721.00382789954
Tpd52l1	0.823726748310646	8.06730870096792	88.6846497262362	0	0	3669.89762002088
