gene	logFC	AveExpr	t	P.Value	adj.P.Val	B	FC
Ccn2	1.10238223380487	7.85222136933477	222.362776443082	0.0	0.0	17701.9593879685	2.1470893564881677
Inpp4b	1.06265935537877	7.87733982996268	188.755067358861	0.0	0.0	13772.2807624989	2.0887782717337564
Palldl1	2.00916920564193	8.05617605927773	177.192479942829	0.0	0.0	12449.3170786604	4.025503395110831
Tmem163	1.39448990082882	7.99679692555374	142.014720011557	0.0	0.0	8600.9039276742	2.628955826154504
Frmd4b	0.564390203779321	7.85445169948275	117.175686682063	0.0	0.0	6129.24353928987	1.4787623360424844
Nhs	0.600760223967309	7.86801319112398	117.048443953424	0.0	0.0	6117.27797093558	1.516515479432774
Itga6	0.794471912803122	7.90453719146368	116.056332818027	0.0	0.0	6024.25385864121	1.7344423790734433
Atp10a	0.524087524182443	7.86026264985684	105.922384599006	0.0	0.0	5102.88417218517	1.4380237709905428
Fstl1	0.678342927539029	7.96040013877842	103.461323383139	0.0	0.0	4887.47823165183	1.6003006017235548
Chrna5	0.895958858267296	7.96477955668626	97.4160834185851	0.0	0.0	4373.1975264784	1.8608462483832617
Mctp2	0.726687130694965	7.94283845848546	95.7604638564311	0.0	0.0	4236.16203453202	1.654834718374819
Tenm3	2.05519788359843	9.27518907747756	92.0309757125596	0.0	0.0	3933.70963854399	4.15600642215555
Pcsk5	1.49451341654242	8.38236001901893	91.9767021294521	0.0	0.0	3929.37267446841	2.8176910162208135
Tpd52l1	0.823726748310646	8.06730870096792	88.6846497262362	0.0	0.0	3669.89762002088	1.7699722582243538
Kcnab1	1.87562040315641	8.57890366956583	88.4143136249064	0.0	0.0	3648.90382648569	3.669593871581375
Ripor2	0.890569178330727	8.16459701289434	86.626985159013	0.0	0.0	3511.33607618067	1.853907391137916
Grip1	1.75130953044449	9.26904020895939	84.0047243656616	0.0	0.0	3313.40368777771	3.366640164829704
Itga11	0.553244650123045	7.92938778989244	82.6668996907779	0.0	0.0	3214.24050943594	1.467382159598515
Sema5b	0.75729401395057	7.97157790183488	77.5514073369446	0.0	0.0	2846.69441433459	1.6903172118222214
Zeb1	0.825104682705861	8.19603040703719	77.4584658417303	0.0	0.0	2840.1906868411	1.771663586376285
Tle4	1.3429092811045	8.57086470661509	74.9740952710922	0.0	0.0	2668.67774287588	2.5366232868410945
Gas7	1.24334263462504	9.10635865178224	74.2585038710641	0.0	0.0	2620.12214009196	2.36746424056098
Mmp16	1.18380876180965	9.07719373733246	73.4732519455186	0.0	0.0	2567.27971855812	2.271757374060671
Hs3st4	2.60354293317409	9.389549297285	73.2880147648195	0.0	0.0	2554.88123968029	6.0777735932576284
LOC103692025	1.10416812813248	8.28979292746511	69.9467040796665	0.0	0.0	2335.71752059988	2.149748857559332
Mast4	1.25212586846097	9.96666563476589	69.9107415318683	0.0	0.0	2333.40543429936	2.3819215012848334
Epha3	0.974755719809822	8.33722940536638	69.4978290755469	0.0	0.0	2306.92673754507	1.965308398721708
Slc35f1	1.94153168628418	9.27965653511341	68.4166306014008	0.0	0.0	2238.21883343827	3.8411323821615375
Caln1	1.28913616496068	8.95967009418124	68.3269431005623	0.0	0.0	2232.56077339993	2.443816845660394
Frmpd4	1.31139067757525	10.9921304461333	68.0926737982761	0.0	0.0	2217.80992992391	2.4818065703644816
Nrxn1	0.962682649689899	12.2439449101899	68.0553586428007	0.0	0.0	2215.46432930337	1.9489305074632024
Col19a1	0.825643321364449	8.32396824746286	67.5816610752493	0.0	0.0	2185.78284743543	1.7723251708671077
Sdk2	1.036355789766	8.39802716460808	67.4455619916092	0.0	0.0	2177.28753324533	2.0510402300274118
Epha5	1.09573874737171	8.91767379171785	65.9827391863795	0.0	0.0	2086.89963988175	2.137224924747731
Mapk8	0.816662980655517	8.76180038504668	64.9957241478429	0.0	0.0	2026.87041982389	1.7613272470866053
Etl4	1.65095057012554	10.6379265211407	62.7996832952527	0.0	0.0	1896.11000018073	3.1404048757398
Marchf1	1.41722313187788	9.72297608270554	62.1673352984951	0.0	0.0	1859.18036151121	2.6707096352348616
Pitpnc1	1.00837236367581	8.38284212246839	61.6809126466345	0.0	0.0	1830.9942658581	2.0116403038573596
Galnt14	0.816056775359923	8.13856662445142	60.8204925498245	0.0	0.0	1781.61055119321	1.7605873113538162
Zfpm2	1.55377726669646	8.72378192335345	60.4702672412833	0.0	0.0	1761.68325949337	2.9358479804292177
Pkp4	0.778975915739419	8.62331961763463	60.4018734482824	0.0	0.0	1757.8038653257	1.7159124152839755
Phyhipl	0.554372644240051	8.13594224920143	59.83794451782	0.0	0.0	1725.96150863704	1.4685299043656457
Hivep1	0.518823347582018	8.07395881784851	59.242086835211	0.0	0.0	1692.60193899878	1.432786200512871
Slc35f3	0.949155655107267	8.69464028763882	58.972117161768	0.0	0.0	1677.58437894021	1.9307423499644776
Neto2	0.974435878459156	8.44557427676815	58.8192374106922	0.0	0.0	1669.10695216382	1.9648727437827898
Pbx1	1.03136815231959	9.95261506704982	58.4461570582352	0.0	0.0	1648.50093994914	2.043961684676052
Chst11	0.716356562929835	8.29745847339106	57.8422845925439	0.0	0.0	1615.39376782251	1.6430274265244456
Srcin1	0.720572469106175	8.8817274655802	57.1088085377806	0.0	0.0	1575.59169889714	1.6478357748690242
Rxfp1	0.823607670324613	8.18131192194581	56.7826806513964	0.0	0.0	1558.03934474025	1.7698261732736196
Atp2b4	0.781092272432174	8.41233794405854	54.806686664171	0.0	0.0	1453.61372592185	1.7184314144625616
Mdga2	0.916125726401965	11.0642446608504	54.4996093642381	0.0	0.0	1437.68330399509	1.8870409443957317
Serpini1	0.611940627787025	8.22775751222428	54.2857934199286	0.0	0.0	1426.63858618032	1.5283136237380441
Sez6	0.715151569459435	8.41182966664167	54.1954343104965	0.0	0.0	1421.98280673858	1.641655680814369
Ncam1	0.774658861893029	9.38194427163688	53.2775468738243	0.0	0.0	1375.08473710961	1.7107854730537884
Nfia	1.05552170664787	8.62848157746528	53.2296972849254	0.0	0.0	1372.65964718441	2.078469685864408
Adk	0.648786854543518	8.5348910222649	52.5032377963046	0.0	0.0	1336.08563751145	1.5678492551527514
Vxn	0.571893625570203	8.29567276949794	52.2191690473183	0.0	0.0	1321.90781329233	1.4864733780463646
Ano3	0.965177444079769	9.18251424769304	51.9691517538867	0.0	0.0	1309.4872240657	1.9523036301047758
Lamc1	0.715548282653403	8.64241308724493	51.8653614396444	0.0	0.0	1304.34692873621	1.6421071664028761
Elavl2	0.610156680708767	8.34461670559306	51.5067704351467	0.0	0.0	1286.65929727981	1.5264249739723592
Slc8a3	0.547833910755518	8.17021982992446	51.1029458128854	0.0	0.0	1266.87415594209	1.4618891397604965
Celf4	1.0341478968893	9.4996020947989	50.7265443369464	0.0	0.0	1248.56034667953	2.0479037295378855
Cacnb2	0.894085687939999	9.29087539075829	50.3975351093139	0.0	0.0	1232.65356718555	1.8584317255757343
Tenm1	0.90257063088513	8.95277041259931	49.9372558727351	0.0	0.0	1210.558888201	1.8693939511695732
Arhgap44	0.650710224672824	8.89186629420687	49.4618281792826	0.0	0.0	1187.9317836479	1.5699408721396861
LOC304725	1.2438236375531	8.98017739630797	49.2457293574723	0.0	0.0	1177.71237150375	2.3682536985231635
Csmd3	0.920719215661094	10.0662105126411	49.1630761548369	0.0	0.0	1173.81470009179	1.893058790291292
Neto1	0.961530268483068	9.2490617146758	48.4639347126451	0.0	0.0	1141.08466854832	1.9473743822375014
Chsy3	0.978585328429009	9.85838234504707	48.4102592486616	0.0	0.0	1138.58967791135	1.9705322054944194
Igf1r	0.713693901244961	8.94166357362873	48.3596617869797	0.0	0.0	1136.24008968819	1.6399978246966944
Usp29	0.68947180211241	8.68832575045287	47.8800050460357	0.0	0.0	1114.07866510181	1.6126929730064186
Cntn6	0.605602784510005	8.04687908702107	47.877491325874	0.0	0.0	1113.96294100451	1.5216143789039678
Dlc1	0.937263593449538	8.64601835377632	47.8558520088321	0.0	0.0	1112.96804413799	1.914892752678368
Erc2	0.856496976974313	11.1213205339731	47.8384924278745	0.0	0.0	1112.17023623956	1.8106365431448534
Grik3	0.841808094973876	8.49163831155562	47.5308056344979	0.0	0.0	1098.0726943394	1.7922949750220416
Slc1a2	0.849836809213748	8.86209756553008	47.1437030213644	0.0	0.0	1080.45583595893	1.8022970464399448
Nfib	0.876818159158571	9.21153855330147	46.815454795747	0.0	0.0	1065.6216340611	1.83632085560468
St3gal5	0.502396033666253	8.29736924789322	46.6344847942505	0.0	0.0	1057.48421414968	1.416564245357975
Cdh11	0.901870452310419	9.07438363505912	46.5473489029929	0.0	0.0	1053.57649807878	1.8684869043009436
Xkr4	0.794324156840352	9.91817493843847	46.1721613372722	0.0	0.0	1036.8280461386	1.7342647524278918
Pou6f2	0.905732817623472	8.6892290633064	45.9480520677946	0.0	0.0	1026.8836299796	1.8734958963364068
Nck2	0.580231698485699	8.70749226274266	45.2130734638828	0.0	0.0	994.58573247299	1.495089342425642
Rnf130	0.561681698598395	8.93107071357023	45.1391843822631	0.0	0.0	991.365511292442	1.4759887227792023
Afdn	0.568177139805458	8.78591595549741	44.9362395770694	0.0	0.0	982.546006686666	1.4826490441432225
Tmem108	0.820745622197604	9.14907574867375	44.7009666221234	0.0	0.0	972.367880880135	1.7663186359832876
Rap1gds1	0.571811737232805	8.68171288730639	44.4818755979321	0.0	0.0	962.934535899745	1.4863890072157049
Ptchd4	0.542776021357991	8.1379317221657	44.4228174057311	0.0	0.0	960.399064590376	1.456772932104153
Ptprg	0.808827709322477	9.54432143780901	43.4859033018834	0.0	0.0	920.596297019623	1.751787414288532
Nhsl2	0.55631547775444	8.33502734703944	43.3252134482622	0.0	0.0	913.849354690541	1.4705088611059371
Bach2	0.603149419545005	8.46478153633092	43.0767497650352	0.0	0.0	903.46300822264	1.5190290071014936
Dscam	0.815786726245843	9.49232945884168	42.9510569774815	0.0	0.0	898.230055570595	1.7602577888038708
Focad	0.629164864214072	9.17982876347524	41.9750772110016	0.0	0.0	858.084988266297	1.5466694107145413
Etv5	0.519608002910667	8.39193796587837	41.7771563442433	0.0	0.0	850.04950007707	1.433565678557957
ENSRNOG00000067970	0.540309689663525	8.30626140933033	41.3430437354614	0.0	0.0	832.549760050002	1.454284661314055
Nmt2	0.507062023640618	8.63494854226993	41.2747924197402	0.0	0.0	829.814084174215	1.4211531393897505
Slit1	0.576820958678367	8.59800225833206	40.7439402743722	0.0	0.0	808.681538941143	1.4915589097801456
