logFC	AveExpr	t	P.Value	adj.P.Val	B
Flt1	1.51907425504429	7.80503950331104	256.326265504556	0	0	21711.2374468209
Lef1	1.15189643221087	7.80237402456331	235.368827652313	0	0	19236.6509727648
Mecom	1.12899321508551	7.80313236755854	226.965075258083	0	0	18243.6168398498
Slco1a4	1.08399120735801	7.80521734015654	202.318835215034	0	0	15345.6396584084
Adgrl4	0.711051594784474	7.79925690909095	200.913205285695	0	0	15181.5756149188
Adgrf5	0.634453665880871	7.79920057059789	193.265668531495	0	0	14292.4393807902
Slco1c1	0.833857108225345	7.80089807183845	191.717615934801	0	0	14113.2551977121
Cyyr1	1.10852633248748	7.80894450573212	183.170159629656	0	0	13129.6435324636
Prom1	0.588102808816455	7.79942901642877	170.563692081633	0	0	11700.4935611613
Pecam1	0.493893295676697	7.79896793716068	168.431939288011	0	0	11461.8535683937
Cdc45-1	0.537278935035426	7.79871916854312	166.608081687236	0	0	11258.4611529016
Akr1c15	0.416226798597545	7.79764685523918	159.911859444555	0	0	10518.3348261632
Pltp	0.745480969412564	7.8039795461153	153.333057433378	0	0	9802.33732565559
Epas1	0.547209138843759	7.80028784682007	149.805288304015	0	0	9423.42634524435
Fli1	0.444080488417308	7.79846986050085	141.491891534226	0	0	8545.90386688315
Vwf	0.393142627961994	7.79795935546979	138.184195587974	0	0	8203.27866634335
Clec2g	0.464990914721113	7.79993507320787	134.968275001143	0	0	7873.99566168049
Sox17	0.252069274785587	7.7967637290056	133.30739797615	0	0	7705.47736801413
Slco2b1	0.339818191480056	7.79806769498656	130.213139126278	0	0	7394.4320569278
Ebf1	1.28574628060021	7.8111892191349	126.139094644469	0	0	6990.91164616036
Zfp366	0.265566962081754	7.79704488568367	124.348952663646	0	0	6815.85635649171
Lgals9	0.244239812066104	7.79703366017602	121.996485295552	0	0	6587.98023185569
Tek	0.552725070367057	7.80495543942123	118.736797083882	0	0	6276.4266575374
Eng	0.424109905072818	7.80071409369257	118.450708200959	0	0	6249.32183130454
Id1	0.247902965666329	7.79724534215847	117.356188206412	0	0	6145.98688790488
Ccdc141	0.599610916556963	7.80493812049039	116.233959572781	0	0	6040.63941351951
Abcb1a	0.791901462872128	7.81933821773	114.197521721106	0	0	5851.0596566388
Anxa3	0.273120567850182	7.79782709082484	111.027603688991	0	0	5560.13819758784
Fn1	0.211955552687191	7.79691370046082	108.497514248112	0	0	5331.70110363788
Ddc	0.32698554067587	7.79839651610733	107.420885987711	0	0	5235.53438556846
Tie1	0.178354692717822	7.79680075161132	105.257243713112	0	0	5044.19263286693
Wfdc1	0.176752773753996	7.79658962087051	103.595159731986	0	0	4898.97795523602
Srgn	0.244368913302957	7.797575535986	103.427651603821	0	0	4884.42943858675
Ets1	0.348141912407213	7.79981606521355	102.882139296724	0	0	4837.16182507914
Arhgap31	0.746303263542394	7.81338376384553	101.553006907254	0	0	4722.71092545788
Klf2	0.348510580961775	7.80058598253651	101.488079252545	0	0	4717.14622561503
Gata2	0.152902488160199	7.79628267808734	99.726853083191	0	0	4567.14029313607
Hspa12b	0.144932491050711	7.79652869288618	98.1096739777566	0	0	4431.02010903196
Slfn5	0.186954885764062	7.79704235492812	97.0179768454545	0	0	4340.01791459249
Emcn	0.246485589823648	7.79818685711617	95.9039055685027	0	0	4247.90066286214
Sox13	0.23941432117508	7.79755742630831	95.3428008454497	0	0	4201.79456412058
Clic4	0.312870632308573	7.80111875823134	86.2529773896306	0	0	3482.82000023423
Tgfbr2	0.216653541441407	7.79829108981405	85.0193992281961	0	0	3389.44533492072
Cmtm8	0.243656651541958	7.79922938742432	84.8623250990869	0	0	3377.63006151926
She	0.164453302283049	7.79733139495675	84.7439725120125	0	0	3368.73860209843
Egfl7	0.360422073737699	7.80505182748741	82.6524133166512	0	0	3213.19704682237
ENSRNOG00000069140	0.475735420596936	7.80991182893291	82.2760863206761	0	0	3185.5330390042
Flvcr2	0.184513238290871	7.79764094548521	81.4804442866924	0	0	3127.37134332732
Ano5	0.286265298741819	7.80057995718666	81.4615519434698	0	0	3125.99571161624
Prkch	0.466776028853409	7.80864854569374	80.9265491057355	0	0	3087.14436423583
Egflam	0.355925026592771	7.8016524605626	80.5094262921105	0	0	3056.99375225354
Slc38a3	0.216448689398836	7.79839171303285	80.3092909174607	0	0	3042.57131660989
Abcg2	0.2288890803738	7.79922306242077	79.6947426271866	0	0	2998.46307237678
Dipk2b	0.126337359947178	7.79643670072048	79.5672173356151	0	0	2989.34426253208
Robo4	0.119242034866775	7.79651515015694	79.4112142066816	0	0	2978.20476284195
Ushbp1	0.167038522103903	7.79731280542077	79.3310811746832	0	0	2972.48886957379
Ahnak	0.193767448728829	7.79790456473533	78.4426795365517	0	0	2909.4348191939
Zfp36l1	0.195859319262355	7.79797830012858	77.4133391161957	0	0	2837.09068825689
Slc2a1	0.660831914718728	7.83628236262214	73.4239095912259	0	0	2564.05359721012
Notch1	0.173003080873647	7.79776994703486	72.4089101837858	0	0	2496.48093747167
Selenop	0.249482471010275	7.8007033501349	71.2071463406382	0	0	2417.48392052076
Plscr4	0.133659839572497	7.7969811524063	71.1004896338625	0	0	2410.52610626405
Tns1	0.206867331386328	7.79846153898732	71.0750424909365	0	0	2408.86733200104
Slc22a8	0.17059083002902	7.79787994964005	70.890026102498	0	0	2396.82192296543
Cdc14a	0.264003565763364	7.80163339939779	70.7176700971592	0	0	2385.62435517081
Fgd5	0.249023533496784	7.80137919967495	70.2989451037658	0	0	2358.51575036946
Tbx3	0.082151327224814	7.79603435250837	70.1672729866454	0	0	2350.01958512155
Il1r1	0.375097927168481	7.80513182443778	69.8481647299773	0	0	2329.48265886736
Degs2	0.0781802514188934	7.79616314239696	69.436616072187	0	0	2303.11382528087
Msn	0.105759790052044	7.79668095269521	66.4348230037351	0	0	2114.76998049345
Sox18	0.051284244625978	7.7957947386185	66.1522729737878	0	0	2097.40671866485
Mfng	0.0651004487196278	7.79595933164187	65.5453360326002	0	0	2060.32283392774
Lamb2	0.143740418195662	7.79775945621079	65.3695373102906	0	0	2049.63582351177
Upp1	0.0728445990918392	7.79604175350372	64.9678300814822	0	0	2025.30940488319
Cdh5	0.112862659175365	7.79699594967016	63.1361929855509	0	0	1916.02751553948
Cobll1	0.639265597938766	7.8313423889297	62.6090191122054	0	0	1885.07617891476
Klf4	0.179687518037794	7.79957710281577	61.9715761109368	0	0	1847.95218693525
Icam2	0.0724538311146432	7.79606959184065	61.9286762500864	0	0	1845.46596099205
Slfn2	0.0492364997655859	7.79579342920583	61.7051938265926	0	0	1832.53676836797
Itga1	0.307707570543633	7.80544094574447	60.8663401549566	0	0	1784.37041363224
Rcsd1	0.131527489040967	7.79705661798872	60.6095778774258	0	0	1769.74277361685
Rgs3	0.170719545492049	7.79927121464404	60.5815014164884	0	0	1768.14655668709
Vim	0.12949780182864	7.79694482862178	60.4331977930593	0	0	1759.72588764042
Pde8a	0.224434035154966	7.8011291701282	60.4258923407936	0	0	1759.31155249253
Ankdd1b	0.134907896632452	7.79769499729307	60.2833123770812	0	0	1751.23380624206
Galnt15	0.087114828788752	7.79622701864296	59.7605785503182	0	0	1721.76243976975
ENSRNOG00000064824	0.318648522291385	7.8050840477911	59.4157036426384	0	0	1702.44192585461
Rbpms	0.248492526543293	7.80159757979897	59.2426600829546	0	0	1692.78495385479
