gene	logFC	AveExpr	t	P.Value	adj.P.Val	B	FC
Btg2	1.06685490240703	7.98855989252985	73.307949696406	0.0	0.0	2556.25203637074	2.094861555024551
Egr4	0.680037585547346	7.93648342431891	52.8146392546588	0.0	0.0	1351.97221471065	1.6021814951744082
Fos	0.590711194971092	7.94271902681141	47.2847537469899	0.0	0.0	1087.17283897253	1.5059889609726689
Otof	0.589895237470932	7.95446910763305	44.0669895381604	0.0	0.0	945.528347918291	1.5051374466050915
Syt4	0.545962570679668	8.02332862216141	42.7398900730687	0.0	0.0	889.820024856101	1.4599941320347272
Glis3	0.675094045436104	7.93541921288797	42.052040633593	0.0	0.0	861.573572750154	1.5967008539845646
Pdp1	0.654485352981071	8.11066480345999	41.7574128731166	0.0	0.0	849.606407122998	1.5740543466587733
Plk2	0.636552335193922	8.2262681713749	37.85092956683	1.38671381816899e-309	2.1328725226376098e-306	698.445718123612	1.5546096052882823
Gucy1a1	0.693753690074368	8.07661525174077	37.709428064613	2.55567981001985e-307	3.40672118675646e-304	693.234191336568	1.6174865212429512
Rasgrf2	1.08009943846711	8.40835635633062	37.5412858084246	1.22772245882614e-304	1.53426941026429e-301	687.065576445622	2.1141817971238344
Rfx3	0.953512286917762	8.4881879746728	36.9369728913814	4.29392819312484e-295	4.76983856786284e-292	665.111881754048	1.9365815929194776
Cux2	1.18339340538673	8.51140224171	33.5654750354146	1.46116710599146e-244	1.21733484517914e-241	548.8821175074	2.2711034221361066
Man1c1	0.634996631036211	8.19545708220271	32.8777099645744	8.02542612771309e-235	6.41873581694493e-232	526.481624353366	1.5529341236051004
Enpp2	0.636617026801101	8.11269326083961	32.8739430695433	9.0631691924461e-235	6.969925692421529e-232	526.360164364619	1.554679316797582
Nectin3	0.591665173559953	8.09619568406328	32.824966816379	4.39945661754938e-234	3.2580420395518397e-231	524.782191557558	1.5069851218305046
Mest	0.504024771130748	8.0879278069952	32.3974913585	3.8928626444054697e-228	2.6840616749961202e-225	511.105448118534	1.418164385408841
Gpc6	1.51112890710136	8.9812790283405	30.5327776174642	4.50244775952845e-203	2.90407880489585e-200	453.468589710605	2.850329898439265
Smarca2	0.834276645280179	8.80491019651963	30.2248187920859	4.51654614113934e-199	2.82213562787753e-196	444.267483740257	1.7829628526552714
Cx3cl1	0.536956425328903	8.28341230695918	30.0657021019483	5.09203430962522e-197	3.08530987942291e-194	439.548801666358	1.450908384428232
Lrrtm4	1.9100160195157	10.7781952908789	30.0180362603477	2.0873570088152802e-196	1.22755009974299e-193	438.139922215229	3.7581327264872333
Rgs6	1.29293525879996	10.1615481531336	29.9152450795928	4.3417970898037194e-195	2.41150646696182e-192	435.109109205009	2.4502607054512953
