"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","calcium ion binding","GO:0005509","true","0.00007732559511890455","4.111676728862943","726","91","16","20212","PCDH11Y,LRP1B,SLC8A1,PAM,NELL1,CDH20,CABP1,ADGRV1,PLCB1,ITPR1,FSTL4,PCDH7,VSNL1,CDH18,SPOCK3,CDH9"
"GO:MF","histone H3T6 kinase activity","GO:0035403","true","0.011263329981464234","1.9483331921870097","2","91","2","20212","PRKCA,PRKCB"
"GO:MF","metal ion binding","GO:0046872","false","0.016184654143828102","1.7908965767700182","4354","91","37","20212","PCDH11Y,BMPR1B,LRP1B,ZNF385D,SLC8A1,PRKCA,PAM,HIVEP2,VPS8,ACVR1C,PRKCB,PRKD1,NELL1,CDH20,CABP1,ADGRV1,PDE7B,SIK3,SIK2,MBNL1,ZNF804A,PLCB1,DTNA,TRPS1,NRP1,ITPR1,FSTL4,PCDH7,DMD,ESRRG,KCND2,VSNL1,CDH18,SPOCK3,CDH9,MGAT4C,ZNF804B"
"GO:MF","cell adhesion molecule binding","GO:0050839","true","0.0243836806087361","1.6129007389384236","561","91","11","20212","PRKCA,CTNNA2,CDH20,CNTN6,DSCAML1,DMD,CDH18,CDH9,CNTN4,NRG1,LRRC4C"
"GO:MF","cation binding","GO:0043169","false","0.02584416982938086","1.5876374137500922","4444","91","37","20212","PCDH11Y,BMPR1B,LRP1B,ZNF385D,SLC8A1,PRKCA,PAM,HIVEP2,VPS8,ACVR1C,PRKCB,PRKD1,NELL1,CDH20,CABP1,ADGRV1,PDE7B,SIK3,SIK2,MBNL1,ZNF804A,PLCB1,DTNA,TRPS1,NRP1,ITPR1,FSTL4,PCDH7,DMD,ESRRG,KCND2,VSNL1,CDH18,SPOCK3,CDH9,MGAT4C,ZNF804B"
"GO:MF","diacylglycerol-dependent serine/threonine kinase activity","GO:0004697","true","0.026621329435262374","1.5747702602068814","16","91","3","20212","PRKCA,PRKCB,PRKD1"
"GO:MF","cell-cell adhesion mediator activity","GO:0098632","true","0.04956926440534286","1.304787525861258","52","91","4","20212","CNTN6,DSCAML1,CNTN4,LRRC4C"
"GO:BP","synaptic signaling","GO:0099536","true","3.718050602598388e-9","8.429684703784211","780","91","22","21031","BDNF,SORCS3,SV2C,CBLN2,SLC24A2,SERPINE2,NTRK2,PRKCB,GABRG2,PDE7B,CACNB2,HOMER1,PLCB1,DTNA,ITPR1,GRIK4,DMD,KCND2,CNTN4,RIT2,LAMA2,LRRC4C"
"GO:BP","anterograde trans-synaptic signaling","GO:0098916","false","1.4996039835067323e-8","7.824023414601051","750","91","21","21031","BDNF,SORCS3,SV2C,CBLN2,SLC24A2,SERPINE2,NTRK2,PRKCB,GABRG2,PDE7B,CACNB2,HOMER1,PLCB1,DTNA,GRIK4,DMD,KCND2,CNTN4,RIT2,LAMA2,LRRC4C"
"GO:BP","chemical synaptic transmission","GO:0007268","false","1.4996039835067323e-8","7.824023414601051","750","91","21","21031","BDNF,SORCS3,SV2C,CBLN2,SLC24A2,SERPINE2,NTRK2,PRKCB,GABRG2,PDE7B,CACNB2,HOMER1,PLCB1,DTNA,GRIK4,DMD,KCND2,CNTN4,RIT2,LAMA2,LRRC4C"
