"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","glutamate-gated receptor activity","GO:0004970","true","0.0004887871409783529","3.310880228042923","19","83","4","20212","GRIK1,GRID2,GRIK2,GRIN3A"
"GO:MF","glutamate receptor activity","GO:0008066","false","0.002158481798398671","2.6658516092214493","27","83","4","20212","GRIK1,GRID2,GRIK2,GRIN3A"
"GO:MF","monoatomic ion transmembrane transporter activity","GO:0015075","true","0.019958010820774422","1.6998827462455874","727","83","12","20212","RYR3,GRIK1,TRPM3,CACNA2D3,GRID2,ANO4,SLC8A1,SLC2A13,ATP1A1,GRIK2,KCNN2,GRIN3A"
"GO:MF","cell-cell adhesion mediator activity","GO:0098632","true","0.03079636137676766","1.5115005928288099","52","83","4","20212","CNTN5,CNTN6,CNTN4,LRRC4C"
"GO:MF","ligand-gated monoatomic ion channel activity","GO:0015276","false","0.03698722207736869","1.4319482851153564","171","83","6","20212","RYR3,GRIK1,GRID2,GRIK2,KCNN2,GRIN3A"
"GO:MF","ligand-gated channel activity","GO:0022834","false","0.03819954021000067","1.417941864456388","172","83","6","20212","RYR3,GRIK1,GRID2,GRIK2,KCNN2,GRIN3A"
"GO:MF","transmitter-gated monoatomic ion channel activity involved in regulation of postsynaptic membrane potential","GO:1904315","true","0.03843552508762199","1.4152671814322568","55","83","4","20212","GRIK1,GRID2,GRIK2,GRIN3A"
"GO:MF","monoatomic ion channel activity","GO:0005216","false","0.042867451159628964","1.3678723382812155","444","83","9","20212","RYR3,GRIK1,TRPM3,CACNA2D3,GRID2,ANO4,GRIK2,KCNN2,GRIN3A"
"GO:MF","metal ion transmembrane transporter activity","GO:0046873","true","0.043607691414881675","1.36043690420748","445","83","9","20212","RYR3,GRIK1,TRPM3,CACNA2D3,SLC8A1,ATP1A1,GRIK2,KCNN2,GRIN3A"
"GO:MF","neurotransmitter receptor activity involved in regulation of postsynaptic membrane potential","GO:0099529","false","0.04423934670058829","1.3541912950492998","57","83","4","20212","GRIK1,GRID2,GRIK2,GRIN3A"
"GO:BP","nervous system development","GO:0007399","true","0.000002909479705379718","5.5361846678131865","2531","77","30","21031","SEMA5A,TAFA1,NRG1,RUNX2,GRIK1,LARGE,CNTN5,TIAM1,GRID2,CNTN6,SEZ6L,LMO4,CNTN4,ARHGAP26,CLSTN2,LRRC4C,NRP2,MAMDC2,CAMK1D,SRRM4,NELL1,SDK1,TCF12,ADCY1,PCSK2,ROBO1,ZNF804A,GRIN3A,NCAM2,DCC"
"GO:BP","regulation of biological quality","GO:0065008","true","0.000010730189424818898","4.969392611172219","2846","77","31","21031","ARHGAP42,SEMA5A,NRG1,GRIK1,ADRA1A,LARGE,PCSK6,FHOD3,TIAM1,GRID2,ANO4,GPC6,CNTN4,CLSTN2,NCALD,NRP2,SLC8A1,PDE4D,ATP1A1,ADCY1,GAS2,GRIK2,NETO2,PCSK2,KCNN2,PPARGC1A,ZNF804A,GRIN3A,DCC,DGKB,PTPRT"
"GO:BP","cell adhesion","GO:0007155","true","0.000025344017296441745","4.596124543699082","1512","77","22","21031","SEMA5A,NRG1,CNTN5,TIAM1,GRID2,CNTN6,CDH20,CADM1,CNTN4,CLSTN2,LRRC4C,NRP2,EDIL3,SORBS1,CNTN3,COL12A1,SDK1,ROBO1,NCAM2,DCC,SPON1,PTPRT"
"GO:BP","generation of neurons","GO:0048699","false","0.000025958475207615992","4.585720821438964","1514","77","22","21031","SEMA5A,TAFA1,RUNX2,LARGE,CNTN5,TIAM1,GRID2,CNTN6,LMO4,CNTN4,LRRC4C,NRP2,CAMK1D,SRRM4,SDK1,TCF12,ADCY1,ROBO1,ZNF804A,GRIN3A,NCAM2,DCC"
"GO:BP","system development","GO:0048731","false","0.000046214132115109625","4.335225198446008","3973","77","36","21031","SEMA5A,TAFA1,NRG1,RUNX2,GRIK1,ADRA1A,LARGE,CNTN5,FHOD3,TIAM1,GRID2,CNTN6,SEZ6L,LMO4,CADM1,CNTN4,ARHGAP26,CLSTN2,LRRC4C,NRP2,SLC8A1,MAMDC2,CAMK1D,SRRM4,NELL1,ARID5B,SDK1,TCF12,ADCY1,GAS2,PCSK2,ROBO1,ZNF804A,GRIN3A,NCAM2,DCC"
"GO:BP","multicellular organismal process","GO:0032501","false","0.000056259549030065787","4.2498037534104","7669","77","52","21031","TAFA2,ARHGAP42,SEMA5A,TAFA1,NRG1,RYR3,RUNX2,GRIK1,ADRA1A,LARGE,CNTN5,PCSK6,FHOD3,TIAM1,GRID2,CNTN6,SEZ6L,HCRTR2,LMO4,CADM1,CNTN4,ARHGAP26,CLSTN2,NCALD,LRRC4C,NRP2,SLC8A1,MAMDC2,CAMK1D,SLC2A13,PDE4D,ATP1A1,SRRM4,AFF3,NELL1,ESRRG,COL12A1,ARID5B,SDK1,TCF12,ADCY1,GAS2,GRIK2,PCSK2,KCNN2,ROBO1,PPARGC1A,ZNF804A,GRIN3A,NCAM2,DCC,DGKB"
"GO:BP","multicellular organism development","GO:0007275","false","0.00006599828541628298","4.18046734694176","4643","77","39","21031","SEMA5A,TAFA1,NRG1,RUNX2,GRIK1,ADRA1A,LARGE,CNTN5,PCSK6,FHOD3,TIAM1,GRID2,CNTN6,SEZ6L,LMO4,CADM1,CNTN4,ARHGAP26,CLSTN2,LRRC4C,NRP2,SLC8A1,MAMDC2,CAMK1D,SRRM4,AFF3,NELL1,COL12A1,ARID5B,SDK1,TCF12,ADCY1,GAS2,PCSK2,ROBO1,ZNF804A,GRIN3A,NCAM2,DCC"
"GO:BP","cell-cell adhesion via plasma-membrane adhesion molecules","GO:0098742","true","0.00014335632746023962","3.8435831334086688","280","77","10","21031","GRID2,CNTN6,CDH20,CADM1,CNTN4,CLSTN2,LRRC4C,SDK1,ROBO1,PTPRT"
"GO:BP","neuron projection development","GO:0031175","false","0.00022003243043524574","3.6575133040819767","1014","77","17","21031","SEMA5A,CNTN5,TIAM1,GRID2,CNTN6,LMO4,CNTN4,LRRC4C,NRP2,CAMK1D,SDK1,ADCY1,ROBO1,ZNF804A,GRIN3A,NCAM2,DCC"
"GO:BP","neuron differentiation","GO:0030182","false","0.00026520279059777006","3.576421910377233","1431","77","20","21031","SEMA5A,RUNX2,CNTN5,TIAM1,GRID2,CNTN6,LMO4,CNTN4,LRRC4C,NRP2,CAMK1D,SRRM4,SDK1,TCF12,ADCY1,ROBO1,ZNF804A,GRIN3A,NCAM2,DCC"
"GO:BP","neuron development","GO:0048666","false","0.00030290230536809726","3.5186974212698736","1167","77","18","21031","SEMA5A,CNTN5,TIAM1,GRID2,CNTN6,LMO4,CNTN4,LRRC4C,NRP2,CAMK1D,SRRM4,SDK1,ADCY1,ROBO1,ZNF804A,GRIN3A,NCAM2,DCC"
"GO:BP","neurogenesis","GO:0022008","false","0.0003149363498987724","3.5017772102768303","1742","77","22","21031","SEMA5A,TAFA1,RUNX2,LARGE,CNTN5,TIAM1,GRID2,CNTN6,LMO4,CNTN4,LRRC4C,NRP2,CAMK1D,SRRM4,SDK1,TCF12,ADCY1,ROBO1,ZNF804A,GRIN3A,NCAM2,DCC"
"GO:BP","homophilic cell adhesion via plasma membrane adhesion molecules","GO:0007156","false","0.00035536290025574594","3.4493279143338538","168","77","8","21031","CNTN6,CDH20,CADM1,CNTN4,CLSTN2,SDK1,ROBO1,PTPRT"
"GO:BP","synapse organization","GO:0050808","true","0.0003587396750920138","3.4452205895334687","485","77","12","21031","LARGE,CNTN5,TIAM1,GRID2,SEZ6L,CLSTN2,LRRC4C,NRP2,SDK1,ZNF804A,DGKB,PTPRT"
"GO:BP","modulation of chemical synaptic transmission","GO:0050804","true","0.0003917870857886753","3.4069498834590752","489","77","12","21031","GRIK1,ADRA1A,LARGE,GRID2,CNTN4,CLSTN2,LRRC4C,ADCY1,GRIK2,GRIN3A,DCC,DGKB"
"GO:BP","regulation of trans-synaptic signaling","GO:0099177","false","0.00040046240073321585","3.3974382534140335","490","77","12","21031","GRIK1,ADRA1A,LARGE,GRID2,CNTN4,CLSTN2,LRRC4C,ADCY1,GRIK2,GRIN3A,DCC,DGKB"
"GO:BP","axon development","GO:0061564","false","0.0008701485779566958","3.0604065852233915","527","77","12","21031","SEMA5A,CNTN5,TIAM1,CNTN6,LMO4,CNTN4,LRRC4C,NRP2,ADCY1,ROBO1,NCAM2,DCC"
"GO:BP","regulation of cell communication","GO:0010646","false","0.0009342780389158817","3.0295238595326808","3443","77","31","21031","ARHGAP42,SEMA5A,TAFA1,NRG1,RUNX2,GRIK1,ADRA1A,LARGE,PCSK6,GPC5,TIAM1,GRID2,CNTN6,SEZ6L,CADM1,GPC6,CNTN4,ARHGAP26,CLSTN2,LRRC4C,SLC8A1,PDE4D,SORBS1,ADCY1,GAS2,GRIK2,ROBO1,GRIN3A,DCC,DGKB,PTPRT"
"GO:BP","chemical synaptic transmission","GO:0007268","false","0.0009597533781161533","3.0178403505889135","750","77","14","21031","GRIK1,ADRA1A,LARGE,GRID2,HCRTR2,CNTN4,CLSTN2,LRRC4C,CADPS,ADCY1,GRIK2,GRIN3A,DCC,DGKB"
"GO:BP","anterograde trans-synaptic signaling","GO:0098916","false","0.0009597533781161533","3.0178403505889135","750","77","14","21031","GRIK1,ADRA1A,LARGE,GRID2,HCRTR2,CNTN4,CLSTN2,LRRC4C,CADPS,ADCY1,GRIK2,GRIN3A,DCC,DGKB"
"GO:BP","trans-synaptic signaling","GO:0099537","false","0.0010557588838656096","2.976435255441696","756","77","14","21031","GRIK1,ADRA1A,LARGE,GRID2,HCRTR2,CNTN4,CLSTN2,LRRC4C,CADPS,ADCY1,GRIK2,GRIN3A,DCC,DGKB"
"GO:BP","cell junction organization","GO:0034330","false","0.0011069303540021183","2.9558797032622754","759","77","14","21031","LARGE,CNTN5,TIAM1,GRID2,SEZ6L,CDH20,CLSTN2,LRRC4C,NRP2,SORBS1,SDK1,ZNF804A,DGKB,PTPRT"
"GO:BP","cell communication","GO:0007154","false","0.0011905721403755287","2.9242442842424694","6537","77","45","21031","TAFA2,ARHGAP42,SEMA5A,TAFA1,PDE1A,NRG1,RUNX2,GRIK1,ADRA1A,LARGE,PCSK6,GPC5,TIAM1,GRID2,CNTN6,SEZ6L,HCRTR2,CADM1,GPC6,CNTN4,ARHGAP26,CLSTN2,NCALD,SORCS1,ADGRL2,LRRC4C,NRP2,SLC8A1,CADPS,PDE4D,ATP1A1,SORBS1,ARAP2,MAST4,ESRRG,ARID5B,ADCY1,GAS2,GRIK2,KCNN2,ROBO1,GRIN3A,DCC,DGKB,PTPRT"
"GO:BP","neuron recognition","GO:0008038","false","0.001208388652340335","2.917793361724738","45","77","5","21031","SEMA5A,CNTN6,CNTN4,ROBO1,NCAM2"
