"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:BP","neuron differentiation","GO:0030182","true","0.0010304616348225325","2.986968172827064","1431","43","14","21031","NEGR1,VWC2,PCDH15,NLGN1,GRIN3A,SEMA3D,CNTNAP2,PCP4,ROBO1,ETV1,SPOCK1,ALCAM,MYO16,TENM1"
"GO:BP","nervous system development","GO:0007399","false","0.0016217758711435265","2.7900091653229673","2531","43","18","21031","LINGO2,NEGR1,VWC2,PCDH15,NLGN1,GRIN3A,GRIA1,SEMA3D,CNTNAP2,PCP4,ROBO1,ETV1,SPOCK1,PCDH9,ALCAM,MYO16,TENM1,CBLN2"
"GO:BP","generation of neurons","GO:0048699","false","0.002033310571865491","2.6917962812999834","1514","43","14","21031","NEGR1,VWC2,PCDH15,NLGN1,GRIN3A,SEMA3D,CNTNAP2,PCP4,ROBO1,ETV1,SPOCK1,ALCAM,MYO16,TENM1"
"GO:BP","cell-cell adhesion via plasma-membrane adhesion molecules","GO:0098742","true","0.002942403188575852","2.5312978174765295","280","43","7","21031","PCDH15,NLGN1,ROBO1,PCDH9,ALCAM,CDH10,TENM1"
"GO:BP","neuron development","GO:0048666","false","0.004970963995696607","2.3035593824105716","1167","43","12","21031","NEGR1,PCDH15,NLGN1,GRIN3A,SEMA3D,CNTNAP2,ROBO1,ETV1,SPOCK1,ALCAM,MYO16,TENM1"
"GO:BP","cell junction assembly","GO:0034329","true","0.006105943306140137","2.2142472324554383","449","43","8","21031","LINGO2,NEGR1,NLGN1,GRIA1,CNTNAP2,PTPRK,CDH10,CBLN2"
"GO:BP","neuron projection development","GO:0031175","false","0.008603214644609183","2.0653392415992946","1014","43","11","21031","NEGR1,PCDH15,NLGN1,GRIN3A,SEMA3D,CNTNAP2,ROBO1,ETV1,SPOCK1,ALCAM,MYO16"
"GO:BP","neurogenesis","GO:0022008","false","0.010683191974924148","1.9712989673468764","1742","43","14","21031","NEGR1,VWC2,PCDH15,NLGN1,GRIN3A,SEMA3D,CNTNAP2,PCP4,ROBO1,ETV1,SPOCK1,ALCAM,MYO16,TENM1"
"GO:BP","plasma membrane bounded cell projection organization","GO:0120036","false","0.018634582261365204","1.72968033854832","1570","43","13","21031","NEGR1,PCDH15,NLGN1,GRIN3A,SEMA3D,CNTNAP2,FNBP1L,ROBO1,ETV1,SPOCK1,ALCAM,MYO16,TENM1"
"GO:BP","cell projection organization","GO:0030030","false","0.024956636775248214","1.6028139417606844","1613","43","13","21031","NEGR1,PCDH15,NLGN1,GRIN3A,SEMA3D,CNTNAP2,FNBP1L,ROBO1,ETV1,SPOCK1,ALCAM,MYO16,TENM1"
"GO:CC","neuron projection","GO:0043005","true","0.0022534772241737176","2.6471468269720413","1334","45","12","22097","NEGR1,PCDH15,NLGN1,GRIN3A,GRIA1,CNTNAP2,ROBO1,GLRA3,SPOCK1,PCDH9,ALCAM,TENM1"
"GO:CC","cell junction","GO:0030054","true","0.004515537266458448","2.345290569165193","2230","45","15","22097","VWC2,PCDH15,NLGN1,GRIN3A,GRIA1,CNTNAP2,PTPRK,GPC6,GLRA3,SPOCK1,PCDH9,ALCAM,CDH10,CBLN2,CCDC85A"
"GO:CC","neuronal cell body","GO:0043025","true","0.013846751546752491","1.8586521003029668","498","45","7","22097","NEGR1,PDE1A,GRIN3A,GRIA1,CNTNAP2,GLRA3,ALCAM"
"GO:CC","ionotropic glutamate receptor complex","GO:0008328","true","0.018030498062458974","1.7439922764506428","41","45","3","22097","VWC2,GRIN3A,GRIA1"
"GO:CC","plasma membrane protein complex","GO:0098797","true","0.020099662061228856","1.6968112443793775","718","45","8","22097","VWC2,GRIN3A,GRIA1,CNTNAP2,SGCZ,GLRA3,ALCAM,CDH10"
"GO:CC","postsynaptic specialization membrane","GO:0099634","false","0.025025424074555453","1.6016185543409969","122","45","4","22097","NLGN1,GRIN3A,GRIA1,CDH10"
"GO:CC","neurotransmitter receptor complex","GO:0098878","false","0.0254936242214834","1.593568420022839","46","45","3","22097","VWC2,GRIN3A,GRIA1"
"GO:CC","synapse","GO:0045202","false","0.030074150452233318","1.5218066319554766","1468","45","11","22097","VWC2,PCDH15,NLGN1,GRIN3A,GRIA1,CNTNAP2,GPC6,GLRA3,SPOCK1,CDH10,CBLN2"
"GO:CC","cell body","GO:0044297","false","0.03041723048670798","1.5168803313446857","565","45","7","22097","NEGR1,PDE1A,GRIN3A,GRIA1,CNTNAP2,GLRA3,ALCAM"
"GO:CC","synaptic membrane","GO:0097060","false","0.033916597486517215","1.4695877226579175","399","45","6","22097","NLGN1,GRIN3A,GRIA1,CNTNAP2,GLRA3,CDH10"
"GO:CC","glutamatergic synapse","GO:0098978","false","0.04712634514739173","1.3267362403563978","424","45","6","22097","NLGN1,GRIN3A,GRIA1,GPC6,CDH10,CBLN2"
"KEGG","Cell adhesion molecules","KEGG:04514","false","0.030834095846964598","1.510968781936271","153","21","4","8484","NEGR1,NLGN1,CNTNAP2,ALCAM"
"WP","NRXN1 deletion syndrome","WP:WP5398","false","0.0005859023678534237","3.232174746840413","17","17","3","8286","NLGN1,GRIN3A,GRIA1"
"TF","Factor: LHX3; motif: ATTAAW; match class: 1","TF:M02097_1","false","0.014210810961826324","1.8473811376814884","6559","48","31","20045","LUZP2,NEGR1,PDE1A,VWC2,PCDH15,TPK1,GRIN3A,CNTNAP2,FNBP1L,ERG,TRMT9B,OR51E2,KCNT2,THSD4,ROBO1,TMEFF2,ANXA4,SGCZ,PARP8,ETV1,SPHKAP,GLRA3,SPOCK1,INPP4B,PTCHD4,LMO3,ALCAM,MYO16,CDH10,TENM1,CBLN2"
