"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","calcium ion binding","GO:0005509","true","0.0000123182952523409","4.909449390688555","726","91","17","20212","PCDH11X,EYS,CDH8,CDH18,CDH12,CDH7,LRP1B,UNC13B,PCDH9,MCTP1,FAT3,MCC,CDH10,FSTL4,ANXA4,TENM2,SPOCK3"
"GO:BP","cell-cell adhesion via plasma-membrane adhesion molecules","GO:0098742","true","0.000005570126481518391","5.254134943138328","280","89","12","21031","PCDH11X,CDH8,CDH18,CDH12,TENM3,CDH7,PCDH9,FAT3,TENM1,CDH10,TENM2,ROBO1"
"GO:BP","homophilic cell adhesion via plasma membrane adhesion molecules","GO:0007156","false","0.00000568569193917986","5.245216674849354","168","89","10","21031","PCDH11X,CDH8,CDH18,CDH12,TENM3,CDH7,PCDH9,FAT3,CDH10,ROBO1"
"GO:BP","signaling","GO:0023052","true","0.0003921835312733846","3.4065106473517166","6447","89","51","21031","EDNRB,TAFA2,VWC2L,SEMA3E,PCDH11X,TRHDE,CDH8,LAMA2,FGF12,RORA,TMTC4,RERG,TENM3,KCTD8,UNC13B,BTNL9,PPARG,EPHA6,KCNC2,CADPS2,PDE7B,ARHGEF10,GHR,NEK11,DAPK1,MCTP1,GFRA1,NYAP2,TENM1,FNIP2,HTR1F,MCC,ADGRG6,SIPA1L2,ARHGAP15,GABRG3,PTPRK,PIP5K1B,FSTL4,MGAT5,ANXA4,NR3C1,RIT2,DCC,FHIT,RASGRF2,TENM2,GPC6,VWC2,ROBO1,PDE1A"
"GO:BP","cell communication","GO:0007154","false","0.0006359520156830208","3.196575651820539","6537","89","51","21031","EDNRB,TAFA2,VWC2L,SEMA3E,PCDH11X,TRHDE,CDH8,LAMA2,FGF12,RORA,TMTC4,RERG,TENM3,KCTD8,UNC13B,BTNL9,PPARG,EPHA6,KCNC2,CADPS2,PDE7B,ARHGEF10,GHR,NEK11,DAPK1,MCTP1,GFRA1,NYAP2,TENM1,FNIP2,HTR1F,MCC,ADGRG6,SIPA1L2,ARHGAP15,GABRG3,PTPRK,PIP5K1B,FSTL4,MGAT5,ANXA4,NR3C1,RIT2,DCC,FHIT,RASGRF2,TENM2,GPC6,VWC2,ROBO1,PDE1A"
"GO:BP","signal transduction","GO:0007165","false","0.0023519478575973946","2.628572310745875","5959","89","47","21031","EDNRB,TAFA2,VWC2L,SEMA3E,PCDH11X,TRHDE,LAMA2,FGF12,RORA,TMTC4,RERG,TENM3,KCTD8,UNC13B,BTNL9,PPARG,EPHA6,KCNC2,PDE7B,ARHGEF10,GHR,NEK11,DAPK1,MCTP1,GFRA1,NYAP2,TENM1,FNIP2,HTR1F,MCC,ADGRG6,SIPA1L2,ARHGAP15,PTPRK,PIP5K1B,FSTL4,MGAT5,ANXA4,NR3C1,RIT2,FHIT,RASGRF2,TENM2,GPC6,VWC2,ROBO1,PDE1A"
"GO:BP","calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules","GO:0016339","false","0.004279029451259627","2.3686547243888123","48","89","5","21031","CDH8,CDH18,CDH12,CDH7,CDH10"
"GO:BP","cell-cell adhesion mediated by cadherin","GO:0044331","false","0.004279029451259627","2.3686547243888123","48","89","5","21031","CDH8,CDH18,CDH12,CDH7,CDH10"
"GO:BP","nervous system development","GO:0007399","true","0.008058898650559265","2.0937243059203183","2531","89","27","21031","EDNRB,VWC2L,SEMA3E,LAMA2,FGF12,RORA,CA10,TENM3,MAMDC2,PPARG,EPHA6,KCNC2,PCDH9,ARHGEF10,GFRA1,NYAP2,FAT3,TENM1,ADGRG6,POU6F2,FSTL4,NR3C1,RIT2,DCC,TENM2,VWC2,ROBO1"
"GO:BP","cell adhesion","GO:0007155","false","0.009340654066601452","2.0296227118244885","1512","89","20","21031","SEMA3E,PCDH11X,LAMA3,CDH8,LAMA2,CDH18,CDH12,TENM3,CDH7,DPP4,PCDH9,FAT3,TENM1,SPON1,PTPRK,CDH10,DCC,TENM2,VWC2,ROBO1"
"GO:BP","adherens junction organization","GO:0034332","true","0.01015497009850331","1.993321351045401","57","89","5","21031","CDH8,CDH18,CDH12,CDH7,CDH10"
"GO:BP","neurogenesis","GO:0022008","false","0.021605389516820644","1.6654378995225778","1742","89","21","21031","EDNRB,VWC2L,SEMA3E,LAMA2,RORA,TENM3,PPARG,EPHA6,ARHGEF10,GFRA1,NYAP2,FAT3,TENM1,ADGRG6,FSTL4,NR3C1,RIT2,DCC,TENM2,VWC2,ROBO1"
"GO:BP","cell-cell adhesion","GO:0098609","false","0.022481172403873546","1.64818104384782","946","89","15","21031","PCDH11X,LAMA3,CDH8,CDH18,CDH12,TENM3,CDH7,DPP4,PCDH9,FAT3,TENM1,CDH10,DCC,TENM2,ROBO1"
"GO:BP","anterograde trans-synaptic signaling","GO:0098916","false","0.03741981180333693","1.4268984010417227","750","89","13","21031","CDH8,LAMA2,FGF12,UNC13B,CADPS2,PDE7B,MCTP1,HTR1F,GABRG3,NR3C1,RIT2,DCC,RASGRF2"
"GO:BP","chemical synaptic transmission","GO:0007268","true","0.03741981180333693","1.4268984010417227","750","89","13","21031","CDH8,LAMA2,FGF12,UNC13B,CADPS2,PDE7B,MCTP1,HTR1F,GABRG3,NR3C1,RIT2,DCC,RASGRF2"
"GO:BP","trans-synaptic signaling","GO:0099537","false","0.04069421900231975","1.390467282020852","756","89","13","21031","CDH8,LAMA2,FGF12,UNC13B,CADPS2,PDE7B,MCTP1,HTR1F,GABRG3,NR3C1,RIT2,DCC,RASGRF2"
"GO:CC","cell periphery","GO:0071944","true","1.742446935539134e-8","7.758840439028203","6228","92","56","22097","EDNRB,VWC2L,PCDH11X,EYS,TRHDE,LAMA3,CDH8,LAMA2,CDH18,CDH12,SGCZ,RERG,TENM3,CDH7,KCTD8,LRP1B,UNC13B,DPP4,BTNL9,EPHA6,KCNC2,PCDH9,GHR,SLC38A6,NAALAD2,ATP8A1,DAPK1,GFRA1,MTCL1,FAT3,TENM1,HTR1F,PARM1,MCC,SPON1,ADGRG6,RNF144A,CPNE4,ARHGAP15,GABRG3,PTPRK,PIP5K1B,SLC2A13,CDH10,ANXA4,RIT2,DCC,FHIT,RASGRF2,TENM2,ADAMTSL3,SPOCK3,GPC6,TRPM3,VWC2,ROBO1"
"GO:CC","plasma membrane","GO:0005886","false","5.494283339466447e-7","6.26008894782885","5742","92","51","22097","EDNRB,VWC2L,PCDH11X,TRHDE,CDH8,LAMA2,CDH18,CDH12,SGCZ,RERG,TENM3,CDH7,KCTD8,LRP1B,UNC13B,DPP4,BTNL9,EPHA6,KCNC2,PCDH9,GHR,SLC38A6,NAALAD2,ATP8A1,DAPK1,GFRA1,MTCL1,FAT3,TENM1,HTR1F,PARM1,MCC,ADGRG6,RNF144A,CPNE4,ARHGAP15,GABRG3,PTPRK,PIP5K1B,SLC2A13,CDH10,ANXA4,RIT2,DCC,FHIT,RASGRF2,TENM2,GPC6,TRPM3,VWC2,ROBO1"
"GO:CC","cell junction","GO:0030054","true","9.063356174088068e-7","6.0427109526561145","2230","92","30","22097","VWC2L,LAMA3,CDH8,LAMA2,CDH18,FGF12,CDH12,CDH7,KCTD8,UNC13B,DPP4,KCNC2,CADPS2,PDE7B,PCDH9,SLC38A6,ATP8A1,DAPK1,MCTP1,HTR1F,CCDC85A,GABRG3,PTPRK,CDH10,NR3C1,RIT2,DCC,TENM2,GPC6,VWC2"
"GO:CC","synapse","GO:0045202","false","0.000031627034111561294","4.499941533009241","1468","92","22","22097","VWC2L,CDH8,LAMA2,FGF12,KCTD8,UNC13B,KCNC2,CADPS2,PDE7B,SLC38A6,ATP8A1,DAPK1,MCTP1,HTR1F,GABRG3,CDH10,NR3C1,RIT2,DCC,TENM2,GPC6,VWC2"
