"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:BP","nervous system development","GO:0007399","true","4.613520386901497e-10","9.335967555924299","2531","100","41","21031","CRH,BDNF,ZNF804A,TOX,TNC,RUNX2,PTPRO,CCK,TRPC5,EPHA5,SLC7A11,PCDH10,PCSK1,RIMS1,PRKD1,EPHA3,FLRT2,NRXN3,FOXP2,ZEB2,NELL1,ARHGAP26,NELL2,LRRN3,CBLN2,SPOCK1,CTNNA2,PRICKLE1,SOX5,OPCML,PCSK2,CA10,NCAM2,CNTN4,NRGN,CNTN6,RIT2,ASIC2,DCC,LINGO2,NRG1"
"GO:BP","anatomical structure development","GO:0048856","false","1.2729323681581002e-8","7.8951946701216835","5899","100","61","21031","CRH,BDNF,DCHS2,DACH1,ZNF804A,TOX,TNC,RUNX2,FAP,PTPRO,CSGALNACT1,CCK,TRPC5,EPHA5,SLC7A11,PCDH10,RXFP1,CDH6,PCSK1,RIMS1,SGCD,PRKD1,EPHA3,PLEKHA5,FLRT2,MMP16,NRXN3,FOXP2,KAZN,CDH12,ZEB2,PSME4,THEMIS,NELL1,ARHGAP26,SPARCL1,NELL2,SLC39A10,RASA1,HOMER1,ATP2B1,LRRN3,CBLN2,SPOCK1,CTNNA2,PRICKLE1,SOX5,OPCML,PCSK2,CDH10,CA10,NCAM2,CNTN4,NRGN,TESPA1,CNTN6,RIT2,ASIC2,DCC,LINGO2,NRG1"
"GO:BP","system development","GO:0048731","false","1.9383836432454025e-8","7.712560263582805","3973","100","49","21031","CRH,BDNF,DCHS2,ZNF804A,TOX,TNC,RUNX2,FAP,PTPRO,CSGALNACT1,CCK,TRPC5,EPHA5,SLC7A11,PCDH10,RXFP1,PCSK1,RIMS1,SGCD,PRKD1,EPHA3,PLEKHA5,FLRT2,MMP16,NRXN3,FOXP2,ZEB2,NELL1,ARHGAP26,NELL2,RASA1,LRRN3,CBLN2,SPOCK1,CTNNA2,PRICKLE1,SOX5,OPCML,PCSK2,CA10,NCAM2,CNTN4,NRGN,CNTN6,RIT2,ASIC2,DCC,LINGO2,NRG1"
"GO:BP","multicellular organism development","GO:0007275","false","1.1616293287755448e-7","6.934932431454086","4643","100","52","21031","CRH,BDNF,DCHS2,DACH1,ZNF804A,TOX,TNC,RUNX2,FAP,PTPRO,CSGALNACT1,CCK,TRPC5,EPHA5,SLC7A11,PCDH10,RXFP1,PCSK1,RIMS1,SGCD,PRKD1,EPHA3,PLEKHA5,FLRT2,MMP16,NRXN3,FOXP2,ZEB2,NELL1,ARHGAP26,NELL2,RASA1,ATP2B1,LRRN3,CBLN2,SPOCK1,CTNNA2,PRICKLE1,SOX5,OPCML,PCSK2,CA10,NCAM2,CNTN4,NRGN,TESPA1,CNTN6,RIT2,ASIC2,DCC,LINGO2,NRG1"
"GO:BP","developmental process","GO:0032502","false","7.597665185955514e-7","6.119319848856563","6453","100","61","21031","CRH,BDNF,DCHS2,DACH1,ZNF804A,TOX,TNC,RUNX2,FAP,PTPRO,CSGALNACT1,CCK,TRPC5,EPHA5,SLC7A11,PCDH10,RXFP1,CDH6,PCSK1,RIMS1,SGCD,PRKD1,EPHA3,PLEKHA5,FLRT2,MMP16,NRXN3,FOXP2,KAZN,CDH12,ZEB2,PSME4,THEMIS,NELL1,ARHGAP26,SPARCL1,NELL2,SLC39A10,RASA1,HOMER1,ATP2B1,LRRN3,CBLN2,SPOCK1,CTNNA2,PRICKLE1,SOX5,OPCML,PCSK2,CDH10,CA10,NCAM2,CNTN4,NRGN,TESPA1,CNTN6,RIT2,ASIC2,DCC,LINGO2,NRG1"
"GO:BP","synapse organization","GO:0050808","true","0.0000024712232565912415","5.607088017557967","485","100","16","21031","BDNF,ZNF804A,TNC,PTPRO,SLC7A11,CDH6,FLRT2,NRXN3,SPARCL1,HOMER1,LRRN3,CBLN2,CTNNA2,CDH10,ASIC2,LINGO2"
"GO:BP","neuron projection development","GO:0031175","false","0.000003760427284005868","5.424762804927953","1014","100","22","21031","BDNF,ZNF804A,TOX,TNC,PTPRO,CCK,TRPC5,EPHA5,RIMS1,PRKD1,EPHA3,FLRT2,NRXN3,NELL2,SPOCK1,CTNNA2,PRICKLE1,NCAM2,CNTN4,CNTN6,RIT2,DCC"
"GO:BP","cell junction organization","GO:0034330","false","0.000005746423815842578","5.240602346653488","759","100","19","21031","BDNF,ZNF804A,TNC,PTPRO,SLC7A11,CDH6,EPHA3,FLRT2,NRXN3,CDH12,SPARCL1,HOMER1,LRRN3,CBLN2,CTNNA2,PRICKLE1,CDH10,ASIC2,LINGO2"
"GO:BP","axon development","GO:0061564","false","0.000008109166824132665","5.091023765057624","527","100","16","21031","BDNF,TNC,PTPRO,CCK,TRPC5,EPHA5,EPHA3,FLRT2,NRXN3,NELL2,CTNNA2,PRICKLE1,NCAM2,CNTN4,CNTN6,DCC"
"GO:BP","neuron development","GO:0048666","false","0.00000937825695039564","5.0278778724064885","1167","100","23","21031","BDNF,ZNF804A,TOX,TNC,PTPRO,CCK,TRPC5,EPHA5,RIMS1,PRKD1,EPHA3,FLRT2,NRXN3,NELL2,SPOCK1,CTNNA2,PRICKLE1,OPCML,NCAM2,CNTN4,CNTN6,RIT2,DCC"
"GO:BP","cell adhesion","GO:0007155","true","0.00001280112746334716","4.892751778043811","1512","100","26","21031","DCHS2,TNC,FAP,PTPRO,SLC7A11,PCDH10,CDH6,EPHA3,FLRT2,NRXN3,CDH12,SPARCL1,RASA1,SPOCK1,CTNNA2,PRICKLE1,OPCML,CDH10,CNTNAP4,NCAM2,CNTN4,TESPA1,CNTN6,DCC,PCDH7,NRG1"
