"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","glutamate receptor activity","GO:0008066","true","1.188015241325669e-7","6.925177987653499","27","215","8","20212","GRIN3A,GRM8,GRIN2B,GRIA3,GRIK4,GRIA4,GRIA1,GRM3"
"GO:MF","gated channel activity","GO:0022836","true","0.0000036449656187736272","5.438306563819893","315","215","18","20212","GRIN3A,KCNG2,NALF1,RYR2,GRIN2B,KCNN2,KCNAB1,GRIA3,CACNA1B,GRIK4,CACNB2,OPRM1,CACNG3,GRIA4,KCNMB4,GRIA1,ASIC2,KCNH7"
"GO:MF","glutamate-gated receptor activity","GO:0004970","false","0.00001445023909908862","4.840124966848213","19","215","6","20212","GRIN3A,GRIN2B,GRIA3,GRIK4,GRIA4,GRIA1"
"GO:MF","cytoskeletal protein binding","GO:0008092","true","0.0001320508739242375","3.879258720248666","1002","215","30","20212","TRIM36,LIMCH1,MYO1D,AGBL1,PDE4B,KCNN2,MAP2,RAB27B,DST,FHOD3,SLC8A1,STXBP5L,PRKN,PHACTR1,DYNC1I1,CLSTN2,MYRIP,DMD,STXBP5,SSH2,CALD1,CACNB2,CTNNA2,PRKCE,GRIA1,EPB41L3,SORBS1,ENC1,DIAPH2,CAMK2D"
"GO:MF","monoatomic ion channel activity","GO:0005216","false","0.00013545771643233272","3.8681962500732006","444","215","19","20212","GRIN3A,KCNG2,NALF1,RYR2,ANO3,GRIN2B,KCNN2,KCNAB1,GRIA3,CACNA1B,GRIK4,CACNB2,OPRM1,CACNG3,GRIA4,KCNMB4,GRIA1,ASIC2,KCNH7"
"GO:MF","ligand-gated monoatomic ion channel activity involved in regulation of presynaptic membrane potential","GO:0099507","false","0.0002283933767846295","3.6413164944174086","16","215","5","20212","GRIN2B,GRIA3,GRIK4,GRIA4,GRIA1"
"GO:MF","calcium ion binding","GO:0005509","true","0.0004058574584401195","3.3916264685964093","726","215","24","20212","CCBE1,FSTL5,SLIT3,CDH11,RYR2,DGKB,ASTN2,MCTP1,ANXA4,DST,CALN1,SLC8A1,ADGRL3,PCDH17,PLCB1,CDH6,CLSTN2,CACNA1B,FAT3,LRP1B,CAPS2,UNC13C,PCDH7,TENM2"
"GO:MF","myosin binding","GO:0017022","false","0.0005253582660361672","3.279544430122638","74","215","8","20212","LIMCH1,RAB27B,STXBP5L,MYRIP,DMD,STXBP5,CALD1,GRIA1"
"GO:MF","channel activity","GO:0015267","false","0.000982846418502474","3.007514340568608","507","215","19","20212","GRIN3A,KCNG2,NALF1,RYR2,ANO3,GRIN2B,KCNN2,KCNAB1,GRIA3,CACNA1B,GRIK4,CACNB2,OPRM1,CACNG3,GRIA4,KCNMB4,GRIA1,ASIC2,KCNH7"
"GO:MF","ligand-gated monoatomic ion channel activity","GO:0015276","false","0.0010079883353310043","2.996544493615384","171","215","11","20212","GRIN3A,RYR2,GRIN2B,KCNN2,GRIA3,GRIK4,GRIA4,KCNMB4,GRIA1,ASIC2,KCNH7"
"GO:MF","passive transmembrane transporter activity","GO:0022803","false","0.001011540144981407","2.9950168767113374","508","215","19","20212","GRIN3A,KCNG2,NALF1,RYR2,ANO3,GRIN2B,KCNN2,KCNAB1,GRIA3,CACNA1B,GRIK4,CACNB2,OPRM1,CACNG3,GRIA4,KCNMB4,GRIA1,ASIC2,KCNH7"
"GO:MF","ligand-gated channel activity","GO:0022834","false","0.0010669328376557196","2.9718629181140015","172","215","11","20212","GRIN3A,RYR2,GRIN2B,KCNN2,GRIA3,GRIK4,GRIA4,KCNMB4,GRIA1,ASIC2,KCNH7"
"GO:MF","inorganic cation transmembrane transporter activity","GO:0022890","false","0.0013915216074327865","2.8565100455886734","569","215","20","20212","GRIN3A,KCNG2,NALF1,RYR2,GRIN2B,KCNN2,KCNAB1,SLC8A1,GRIA3,CACNA1B,GRIK4,CACNB2,OPRM1,CACNG3,GRIA4,KCNMB4,GRIA1,ASIC2,SLC39A11,KCNH7"
"GO:MF","monoatomic cation channel activity","GO:0005261","false","0.0014899305149529039","2.8268339850616795","336","215","15","20212","GRIN3A,KCNG2,NALF1,RYR2,GRIN2B,KCNN2,KCNAB1,CACNA1B,GRIK4,CACNB2,OPRM1,CACNG3,KCNMB4,ASIC2,KCNH7"
"GO:MF","voltage-gated monoatomic ion channel activity","GO:0005244","false","0.0019442742717313646","2.7112424707381706","183","215","11","20212","GRIN3A,KCNG2,GRIN2B,KCNN2,KCNAB1,CACNA1B,CACNB2,OPRM1,CACNG3,KCNMB4,KCNH7"
"GO:MF","AMPA glutamate receptor activity","GO:0004971","false","0.0020844406632558143","2.681010463208519","4","215","3","20212","GRIA3,GRIA4,GRIA1"
