"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:BP","multicellular organism development","GO:0007275","true","0.00004248149315695313","4.371800226897659","4643","44","27","21031","PAPSS2,PCDH15,FHOD3,PTPN13,COL12A1,DAB1,ITGA8,FAT3,PTPRM,PCP4,FMN1,COL11A1,NRSN1,ETV6,HDAC9,PBX1,MEIS2,SEZ6L,PRKCA,PRKG1,LINGO2,DDR2,RAPGEF5,ASTN2,TESPA1,NCAM2,TOX"
"GO:BP","system development","GO:0048731","false","0.000047098618525816125","4.326991831202608","3973","44","25","21031","PAPSS2,PCDH15,FHOD3,PTPN13,DAB1,ITGA8,FAT3,PTPRM,PCP4,FMN1,COL11A1,NRSN1,ETV6,HDAC9,PBX1,MEIS2,SEZ6L,PRKCA,PRKG1,LINGO2,DDR2,RAPGEF5,ASTN2,NCAM2,TOX"
"GO:BP","nervous system development","GO:0007399","false","0.00007151251988019144","4.145617918494148","2531","44","20","21031","PCDH15,PTPN13,DAB1,ITGA8,FAT3,PTPRM,PCP4,NRSN1,ETV6,HDAC9,PBX1,MEIS2,SEZ6L,PRKG1,LINGO2,DDR2,RAPGEF5,ASTN2,NCAM2,TOX"
"GO:BP","anatomical structure development","GO:0048856","false","0.000370503314997808","3.4312079019118733","5899","44","29","21031","PAPSS2,PCDH15,FHOD3,PTPN13,DIAPH2,COL12A1,DAB1,ITGA8,FAT3,PTPRM,PCP4,FMN1,COL11A1,NRSN1,ETV6,HDAC9,PBX1,MEIS2,SEZ6L,PRKCA,PRKG1,LINGO2,DDR2,PPARGC1A,RAPGEF5,ASTN2,TESPA1,NCAM2,TOX"
"GO:BP","developmental process","GO:0032502","false","0.0006379200323315492","3.1952337596704363","6453","44","30","21031","PAPSS2,CTBP2,PCDH15,FHOD3,PTPN13,DIAPH2,COL12A1,DAB1,ITGA8,FAT3,PTPRM,PCP4,FMN1,COL11A1,NRSN1,ETV6,HDAC9,PBX1,MEIS2,SEZ6L,PRKCA,PRKG1,LINGO2,DDR2,PPARGC1A,RAPGEF5,ASTN2,TESPA1,NCAM2,TOX"
"GO:BP","cell differentiation","GO:0030154","false","0.0072471100801881376","2.1398351419030286","4366","44","23","21031","CTBP2,PCDH15,FHOD3,DIAPH2,COL12A1,DAB1,ITGA8,FAT3,PTPRM,PCP4,COL11A1,ETV6,HDAC9,PBX1,MEIS2,PRKCA,PRKG1,DDR2,PPARGC1A,ASTN2,TESPA1,NCAM2,TOX"
"GO:BP","cellular developmental process","GO:0048869","false","0.007276889269715265","2.138054233559725","4367","44","23","21031","CTBP2,PCDH15,FHOD3,DIAPH2,COL12A1,DAB1,ITGA8,FAT3,PTPRM,PCP4,COL11A1,ETV6,HDAC9,PBX1,MEIS2,PRKCA,PRKG1,DDR2,PPARGC1A,ASTN2,TESPA1,NCAM2,TOX"
"GO:BP","multicellular organismal process","GO:0032501","false","0.009086567330964536","2.0416001509667634","7669","44","31","21031","PAPSS2,PCDH15,FHOD3,PTPN13,CRACD,DIAPH2,COL12A1,DAB1,ITGA8,FAT3,PTPRM,PCP4,FMN1,COL11A1,NRSN1,ETV6,HDAC9,PBX1,MEIS2,SEZ6L,PRKCA,PRKG1,LINGO2,DDR2,PPARGC1A,RAPGEF5,ASTN2,TESPA1,NCAM2,ESRRG,TOX"
"GO:BP","cell adhesion","GO:0007155","true","0.01577483882092072","1.802035069455767","1512","44","13","21031","PCDH15,COL12A1,DAB1,ITGA8,FAT3,PTPRM,FMN1,PRKCA,PRKG1,DDR2,ASTN2,TESPA1,NCAM2"
"GO:BP","cell-cell adhesion","GO:0098609","false","0.03823376373423015","1.4175529478990643","946","44","10","21031","PCDH15,DAB1,ITGA8,FAT3,PTPRM,PRKCA,PRKG1,ASTN2,TESPA1,NCAM2"
"GO:BP","cell development","GO:0048468","false","0.049789617834183966","1.3028612071879275","2819","44","17","21031","PCDH15,FHOD3,DIAPH2,DAB1,FAT3,PTPRM,COL11A1,ETV6,HDAC9,PBX1,MEIS2,PRKCA,PRKG1,DDR2,TESPA1,NCAM2,TOX"
"WP","Cardiac hypertrophic response","WP:WP2795","false","0.026306159548355898","1.579942550192481","55","18","3","8286","HDAC9,PRKCA,PRKG1"
