"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","chemorepellent activity","GO:0045499","true","0.0001285537347624581","3.8909153016491604","28","41","4","20212","SEMA5A,DPP4,SEMA6D,NRG1"
"GO:BP","nervous system development","GO:0007399","true","0.00011064999169745733","3.956048614323697","2531","41","19","21031","SCN1A,SEMA5A,ARHGAP26,SERPINE2,SEMA6D,DDR2,PCP4,FOXP1,NRG1,HCN1,PLCB1,LDB2,FAT3,SEZ6L,ITGA8,ASTN2,SDK1,LINGO2,NCAM2"
"GO:BP","negative chemotaxis","GO:0050919","true","0.00417272311158507","2.3795804327098957","47","41","4","21031","SEMA5A,DPP4,SEMA6D,NRG1"
"GO:BP","behavior","GO:0007610","true","0.008167533411128292","2.0879090802698532","662","41","9","21031","SCN1A,DPP4,SERPINE2,HCN1,PLCB1,NETO1,ITGA8,SDK1,HOMER1"
"GO:BP","cell communication","GO:0007154","true","0.0095640754420599","2.019357006799143","6537","41","27","21031","THEMIS,ESRRG,GAB1,ARHGAP10,SCN1A,SEMA5A,ARHGAP26,SERPINE2,TESPA1,SYN3,PITPNC1,ITPR2,SEMA6D,DDR2,PCP4,NXPH2,FOXP1,NRG1,HCN1,PLCB1,SEZ6L,NETO1,CDC14B,ITGA8,PLCL1,FSTL5,HOMER1"
"GO:BP","multicellular organismal process","GO:0032501","false","0.01698023645299699","1.7700562664173414","7669","41","29","21031","THEMIS,ESRRG,PPARGC1A,GAB1,SCN1A,SEMA5A,DPP4,ARHGAP26,SERPINE2,TESPA1,SEMA6D,DDR2,PCP4,FOXP1,NRG1,HCN1,PLCB1,LDB2,CABP1,FAT3,SEZ6L,NETO1,ITGA8,ASTN2,PLCL1,SDK1,HOMER1,LINGO2,NCAM2"
"GO:BP","system development","GO:0048731","false","0.028101316280614644","1.5512733370337424","3973","41","20","21031","GAB1,SCN1A,SEMA5A,ARHGAP26,SERPINE2,SEMA6D,DDR2,PCP4,FOXP1,NRG1,HCN1,PLCB1,LDB2,FAT3,SEZ6L,ITGA8,ASTN2,SDK1,LINGO2,NCAM2"
"GO:BP","cellular response to stimulus","GO:0051716","true","0.03149056425399867","1.5018195575215205","7394","41","28","21031","THEMIS,ESRRG,PPARGC1A,GAB1,ARHGAP10,SEMA5A,DPP4,ARHGAP26,GRAMD1B,SERPINE2,TESPA1,PITPNC1,ITPR2,SEMA6D,DDR2,PCP4,NXPH2,FOXP1,NRG1,HCN1,PLCB1,SEZ6L,NETO1,CDC14B,ITGA8,PLCL1,FSTL5,HOMER1"
"GO:BP","response to stimulus","GO:0050896","false","0.03746143189874616","1.4264156264845649","8976","41","31","21031","THEMIS,ESRRG,PPARGC1A,GAB1,ARHGAP10,SCN1A,SEMA5A,DPP4,ARHGAP26,GRAMD1B,SERPINE2,TESPA1,PITPNC1,ITPR2,SEMA6D,DDR2,PCP4,NXPH2,FOXP1,NRG1,HCN1,PLCB1,CABP1,SEZ6L,NETO1,CDC14B,ITGA8,PLCL1,SDK1,FSTL5,HOMER1"
"GO:BP","biological regulation","GO:0065007","true","0.04336085928977662","1.3629021198942408","12680","41","37","21031","THEMIS,ESRRG,PPARGC1A,GAB1,ARHGAP10,SCN1A,SEMA5A,DPP4,ARHGAP26,SERPINE2,TESPA1,SYN3,PITPNC1,ITPR2,SEMA6D,DDR2,PCP4,NXPH2,FOXP1,NRG1,HCN1,PLCB1,LDB2,ANO4,NPAS3,CABP1,FAT3,SEZ6L,NETO1,CDC14B,ITGA8,ASTN2,PLCL1,SDK1,FSTL5,HOMER1,LINGO2"
"GO:CC","cell junction","GO:0030054","true","0.00031658670056240935","3.499507333294494","2230","42","16","22097","THEMIS,GAB1,SCN1A,DPP4,ARHGAP26,SERPINE2,SYN3,DDR2,NRG1,HCN1,PLCB1,CABP1,NETO1,ITGA8,SDK1,HOMER1"
"GO:CC","glutamatergic synapse","GO:0098978","true","0.0030871154869364635","2.510447123546383","424","42","7","22097","SYN3,NRG1,HCN1,PLCB1,NETO1,ITGA8,HOMER1"
"GO:CC","postsynapse","GO:0098794","true","0.04556098111076445","1.3414069323891757","650","42","7","22097","SYN3,HCN1,PLCB1,CABP1,NETO1,ITGA8,HOMER1"
"KEGG","GnRH secretion","KEGG:04929","false","0.026922415052184602","1.5698859846860602","64","20","3","8484","ITPR2,HCN1,PLCB1"
"WP","Fragile X syndrome","WP:WP4549","false","0.018477442289403876","1.7333581454792775","121","19","4","8286","GAB1,HCN1,PLCB1,HOMER1"
