"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:BP","cell communication","GO:0007154","true","2.2595970958298474e-7","6.645968992116752","6537","36","30","21031","SV2C,PCP4,CBLN2,KCTD8,SERPINE2,MAML3,TRPC3,PCSK1,SYNE1,BMP6,HOMER1,SNTG1,PLCL1,SPARCL1,PDE8B,ERG,ADRA1A,CHN2,SCN1A,RGS6,RCAN2,ESRRG,MYO16,MAGI3,NRG1,ITGA8,ALCAM,GRIA4,SIK2,MCTP2"
"GO:BP","signaling","GO:0023052","false","0.000012859735784846194","4.890767954301541","6447","36","28","21031","SV2C,PCP4,CBLN2,KCTD8,SERPINE2,MAML3,TRPC3,PCSK1,SYNE1,BMP6,HOMER1,PLCL1,SPARCL1,PDE8B,ERG,ADRA1A,CHN2,RGS6,RCAN2,ESRRG,MYO16,MAGI3,NRG1,ITGA8,ALCAM,GRIA4,SIK2,MCTP2"
"GO:BP","modulation of chemical synaptic transmission","GO:0050804","false","0.0001714222900419079","3.765932707425652","489","36","9","21031","SV2C,CBLN2,SERPINE2,SYNE1,HOMER1,PLCL1,ADRA1A,GRIA4,MCTP2"
"GO:BP","regulation of trans-synaptic signaling","GO:0099177","false","0.00017442488773042255","3.758391547884858","490","36","9","21031","SV2C,CBLN2,SERPINE2,SYNE1,HOMER1,PLCL1,ADRA1A,GRIA4,MCTP2"
"GO:BP","signal transduction","GO:0007165","false","0.000628442003897868","3.2017347952243362","5959","36","25","21031","PCP4,KCTD8,SERPINE2,MAML3,TRPC3,SYNE1,BMP6,HOMER1,PLCL1,SPARCL1,PDE8B,ERG,ADRA1A,CHN2,RGS6,RCAN2,ESRRG,MYO16,MAGI3,NRG1,ITGA8,ALCAM,GRIA4,SIK2,MCTP2"
"GO:BP","anterograde trans-synaptic signaling","GO:0098916","false","0.00607407183606204","2.2165200761285107","750","36","9","21031","SV2C,CBLN2,SERPINE2,SYNE1,HOMER1,PLCL1,ADRA1A,GRIA4,MCTP2"
"GO:BP","chemical synaptic transmission","GO:0007268","false","0.00607407183606204","2.2165200761285107","750","36","9","21031","SV2C,CBLN2,SERPINE2,SYNE1,HOMER1,PLCL1,ADRA1A,GRIA4,MCTP2"
"GO:BP","trans-synaptic signaling","GO:0099537","false","0.006481984886668188","2.1882919858993444","756","36","9","21031","SV2C,CBLN2,SERPINE2,SYNE1,HOMER1,PLCL1,ADRA1A,GRIA4,MCTP2"
"GO:BP","response to stimulus","GO:0050896","false","0.006531439972395746","2.1849910602068117","8976","36","29","21031","PCP4,KCTD8,SERPINE2,PAM,MAML3,TRPC3,PCSK1,SYNE1,BMP6,HOMER1,PLCL1,SPARCL1,PDE8B,ERG,ADRA1A,CHN2,SCN1A,RGS6,RCAN2,ESRRG,MYO16,MAGI3,NRG1,ITGA8,ALCAM,GRIA4,ETV1,SIK2,MCTP2"
"GO:BP","synaptic signaling","GO:0099536","false","0.008359210409355722","2.077834743022074","780","36","9","21031","SV2C,CBLN2,SERPINE2,SYNE1,HOMER1,PLCL1,ADRA1A,GRIA4,MCTP2"
"GO:BP","regulation of signaling","GO:0023051","false","0.02592114617287127","1.5863457988837022","3437","36","17","21031","SV2C,CBLN2,KCTD8,SERPINE2,SYNE1,BMP6,HOMER1,PLCL1,PDE8B,ADRA1A,CHN2,RGS6,NRG1,ITGA8,GRIA4,SIK2,MCTP2"
"GO:BP","cell-cell signaling","GO:0007267","false","0.0264016977455531","1.5783681451825036","1704","36","12","21031","SV2C,CBLN2,SERPINE2,PCSK1,SYNE1,BMP6,HOMER1,PLCL1,PDE8B,ADRA1A,GRIA4,MCTP2"
"GO:BP","regulation of cell communication","GO:0010646","false","0.026544053590217873","1.576032754514696","3443","36","17","21031","SV2C,CBLN2,KCTD8,SERPINE2,SYNE1,BMP6,HOMER1,PLCL1,PDE8B,ADRA1A,CHN2,RGS6,NRG1,ITGA8,GRIA4,SIK2,MCTP2"
"GO:BP","cellular response to stimulus","GO:0051716","false","0.049934555042979514","1.3015988156833087","7394","36","25","21031","PCP4,KCTD8,SERPINE2,MAML3,TRPC3,SYNE1,BMP6,HOMER1,PLCL1,SPARCL1,PDE8B,ERG,ADRA1A,CHN2,RGS6,RCAN2,ESRRG,MYO16,MAGI3,NRG1,ITGA8,ALCAM,GRIA4,SIK2,MCTP2"
"GO:CC","cell junction","GO:0030054","true","0.000014553869629183508","4.837021519725121","2230","39","17","22097","SV2C,CBLN2,KCTD8,SERPINE2,PCSK1,KIRREL3,SYNE1,HOMER1,SPARCL1,CHN2,SCN1A,MAGI3,NRG1,ITGA8,ALCAM,GRIA4,MCTP2"
"GO:CC","synapse","GO:0045202","false","0.0000218283650806144","4.660978791228897","1468","39","14","22097","SV2C,CBLN2,KCTD8,SERPINE2,PCSK1,KIRREL3,SYNE1,HOMER1,SPARCL1,CHN2,NRG1,ITGA8,GRIA4,MCTP2"
"GO:CC","dendrite","GO:0030425","true","0.021711026663055764","1.6633196393020258","622","39","7","22097","PCSK1,KIRREL3,SYNE1,HOMER1,ITGA8,ALCAM,GRIA4"
"GO:CC","dendritic tree","GO:0097447","false","0.022149968472857013","1.6546268875932355","624","39","7","22097","PCSK1,KIRREL3,SYNE1,HOMER1,ITGA8,ALCAM,GRIA4"
"GO:CC","somatodendritic compartment","GO:0036477","false","0.022195270471467334","1.6537395582957417","848","39","8","22097","PCSK1,KIRREL3,SYNE1,HOMER1,SCN1A,ITGA8,ALCAM,GRIA4"
"HPA","cerebellum; Purkinje cells - cytoplasm/membrane[High]","HPA:0090943","false","0.04117964276210556","1.3853174252536657","188","19","4","11019","SV2C,PCP4,KCTD8,ALCAM"
